NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	-0.6708121	-2.9299989	0.0	0.0	0.0	3520	tags=68%, list=19%, signal=84%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.61132604	-2.6147194	0.0	0.0	0.0	3473	tags=57%, list=19%, signal=70%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		141	-0.49766994	-2.1195421	0.0	0.0	0.0	3322	tags=37%, list=18%, signal=45%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		174	-0.4767874	-2.0707998	0.0	0.0	0.0	4250	tags=57%, list=23%, signal=73%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.44580394	-1.9296949	0.0	1.7857144E-4	0.001	5199	tags=42%, list=28%, signal=59%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	-0.3826888	-1.6727004	0.0	0.0062568965	0.04	2346	tags=30%, list=13%, signal=34%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.4813586	-1.5992001	0.013257576	0.013215854	0.094	3662	tags=40%, list=20%, signal=50%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		70	-0.4148389	-1.5920966	0.0018518518	0.012813957	0.105	3453	tags=39%, list=19%, signal=47%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		90	-0.3836346	-1.5179856	0.0077220076	0.021833112	0.182	2816	tags=26%, list=15%, signal=30%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.42477927	-1.5132089	0.019569471	0.020559922	0.191	5263	tags=46%, list=29%, signal=64%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.4692486	-1.4886671	0.039325844	0.024018636	0.242	4646	tags=52%, list=25%, signal=69%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		34	-0.41475296	-1.3580811	0.09039548	0.071895555	0.602	3073	tags=38%, list=17%, signal=46%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	-0.28850287	-1.2505869	0.054844607	0.16674533	0.904	3700	tags=33%, list=20%, signal=40%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		145	-0.29383644	-1.2348866	0.08680555	0.17476808	0.939	3449	tags=33%, list=19%, signal=40%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	-0.29435557	-1.2304342	0.09962406	0.16870862	0.944	2899	tags=24%, list=16%, signal=28%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.35939798	-1.2045702	0.18846154	0.19764717	0.969	5205	tags=49%, list=28%, signal=68%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		132	-0.28272742	-1.1856891	0.124125876	0.2101136	0.985	4858	tags=44%, list=27%, signal=59%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		156	-0.26728314	-1.1585512	0.15891473	0.23927413	0.989	4593	tags=38%, list=25%, signal=51%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	-0.2664194	-1.1539574	0.14711359	0.23351389	0.99	2221	tags=16%, list=12%, signal=19%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		163	-0.2615967	-1.1261714	0.20437956	0.26883566	0.996	4700	tags=39%, list=26%, signal=52%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		107	-0.27507564	-1.1067995	0.24574669	0.2920043	0.999	4057	tags=35%, list=22%, signal=44%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.3412773	-1.1062417	0.28256512	0.2794265	0.999	2762	tags=33%, list=15%, signal=39%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		123	-0.22874217	-0.95692724	0.58960575	0.60245854	1.0	3168	tags=24%, list=17%, signal=28%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	-0.2228193	-0.94945407	0.56653994	0.5956578	1.0	3988	tags=28%, list=22%, signal=35%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.21504316	-0.9057487	0.70498085	0.67910093	1.0	4090	tags=27%, list=22%, signal=34%	
