NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.53651494	2.3358917	0.0	0.0	0.0	5681	tags=64%, list=31%, signal=91%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		132	0.52509284	2.207686	0.0	0.0	0.0	3927	tags=48%, list=21%, signal=60%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	0.49371827	2.1348715	0.0	0.0	0.0	3288	tags=41%, list=18%, signal=49%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.51471573	2.0913537	0.0	0.0	0.0	4407	tags=53%, list=24%, signal=70%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.50182194	2.0377705	0.0	0.0	0.0	5169	tags=61%, list=28%, signal=84%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.49163064	1.9424207	0.0	0.0	0.0	3903	tags=42%, list=21%, signal=53%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		169	0.43758878	1.918519	0.0	0.0	0.0	3048	tags=36%, list=17%, signal=43%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.41522247	1.8309711	0.0	7.378587E-4	0.006	4641	tags=46%, list=25%, signal=61%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		47	0.49428263	1.7502156	0.0	0.0019373228	0.016	3569	tags=40%, list=19%, signal=50%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.3620257	1.5913662	0.0	0.009836202	0.087	3220	tags=36%, list=18%, signal=43%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		164	0.36431324	1.5852576	0.0	0.009464168	0.092	3086	tags=33%, list=17%, signal=39%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.3916647	1.4534184	0.030991735	0.030408243	0.281	2782	tags=25%, list=15%, signal=29%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.32688123	1.4413953	0.0068649887	0.03119946	0.306	3927	tags=40%, list=21%, signal=50%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		178	0.326127	1.4367571	0.0044444446	0.029834228	0.317	2579	tags=28%, list=14%, signal=32%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	0.32432812	1.3806471	0.0121951215	0.046180837	0.472	2309	tags=27%, list=13%, signal=31%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		159	0.3092728	1.3488151	0.028571429	0.057078645	0.576	2184	tags=25%, list=12%, signal=28%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		90	0.33155027	1.3187549	0.0518018	0.0698445	0.677	4590	tags=38%, list=25%, signal=50%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	0.3519384	1.2141777	0.13627255	0.15473337	0.93	2446	tags=29%, list=13%, signal=33%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		122	0.28084067	1.1795111	0.13725491	0.18804358	0.971	2697	tags=22%, list=15%, signal=26%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	0.27400488	1.1791817	0.11460674	0.17913608	0.971	3378	tags=30%, list=18%, signal=36%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.30224395	1.1150198	0.26012793	0.27134603	0.994	4723	tags=43%, list=26%, signal=58%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.252668	1.0304084	0.3859275	0.43552572	1.0	4629	tags=34%, list=25%, signal=45%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		151	0.23270805	1.010803	0.42031872	0.46370667	1.0	2938	tags=21%, list=16%, signal=25%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	0.29871964	1.0098348	0.43207127	0.44708845	1.0	3829	tags=27%, list=21%, signal=34%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.20518255	0.8365998	0.83609957	0.8452394	1.0	3085	tags=22%, list=17%, signal=27%	
