"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FCGBP",14169.0549313852,2.09173165982637,0.28228427037693,7.41001847900809,1.26281819464463e-13,1.10117746573012e-09
"LIMA1",4931.9427806933,1.25921650946314,0.169091645474739,7.44694692589798,9.55250255529046e-14,1.10117746573012e-09
"PARP14",4341.95862225263,1.18420060646991,0.161536454863332,7.33085672501483,2.28686049299392e-13,1.32942823326047e-09
"TESC",87.9237121408827,-1.22340614112474,0.169059249814438,-7.2365525250323,4.60233473543247e-13,2.00661794464856e-09
"CLIC5",6210.90500730742,1.52433904732814,0.211705570021384,7.20027842051664,6.00897328348034e-13,2.09592988127794e-09
"DDX54",1326.0160800049,-0.741539027135918,0.103945716675405,-7.13390653172892,9.75595928075535e-13,2.64153657386307e-09
"TMEM50B",945.481238919631,0.810149999097662,0.113745967026117,7.12245031871453,1.06024977161935e-12,2.64153657386307e-09
"SPTAN1",5385.31521990404,0.983340170208239,0.139782642267215,7.03478024351864,1.99575296077958e-12,4.35074145449948e-09
"LOC100857706",554.620316413561,1.07503289156048,0.153431074214845,7.00661777323633,2.44148055847985e-12,4.73104677109873e-09
"IL1B",60.8960040417191,-1.57604695598308,0.229219060651028,-6.87572382290892,6.16758861459058e-12,1.0756274543846e-08
"TAX1BP3",3522.92578858139,1.36431072026723,0.200756627088783,6.79584400301699,1.07680245876586e-11,1.70722135280697e-08
"ACOX1",2042.82856198068,1.53414843246783,0.22984488434405,6.67471210789009,2.47717963708089e-11,3.3232317592839e-08
"SCNN1A",5679.2083007484,2.26274047831043,0.338743286558439,6.67980907105022,2.39253749606085e-11,3.3232317592839e-08
"DEGS1",1208.80471681736,1.02222961817036,0.154814657469345,6.6029252971268,4.03122707418072e-11,3.8158002526804e-08
"EPS8",2048.37077557016,1.38385708056765,0.208674143196694,6.63166532934194,3.31920481935057e-11,3.8158002526804e-08
"GPBP1L1",2691.9339139441,0.818635628643447,0.123756820500205,6.61487282345047,3.71871304970036e-11,3.8158002526804e-08
"KLF6",1456.88592330144,1.3163134891779,0.198579236037592,6.62865622531004,3.38756477994632e-11,3.8158002526804e-08
"LOC422993",16025.1488524802,1.69722260844412,0.256915278719939,6.60615677238193,3.94425206360472e-11,3.8158002526804e-08
"LRRC8A",1556.27949007072,1.07373436249912,0.162727296209069,6.59836663862226,4.15712183491558e-11,3.8158002526804e-08
"NUDT4",713.912241653568,1.59552346349238,0.242337518622795,6.5838895791281,4.58297546689865e-11,3.99635460713562e-08
"LIPG",3478.76887002915,1.34274706684515,0.205451564292296,6.53558940507661,6.33595189629399e-11,5.26185719387463e-08
"SLC38A4",5211.41931560202,2.14748179072514,0.32969340731217,6.51357213428232,7.33843392084255e-11,5.81737670815882e-08
"PEX13",245.649669408483,0.841360313010228,0.129336654097668,6.50519621742247,7.75920333655966e-11,5.88350026911307e-08
"FGFBP1",2822.81857140224,1.86982071675523,0.287747997363913,6.49811895785491,8.13304856132359e-11,5.91001528789514e-08
"MX1",1796.87507433601,1.6453744489317,0.254988561077645,6.45273827962298,1.09846973088439e-10,7.36819696408608e-08
"PAPSS2",8171.92998235032,1.96407723409602,0.304281597556939,6.45480124287992,1.0836102494255e-10,7.36819696408608e-08
"DDX60",2319.31082574504,1.90857918832871,0.296436952182991,6.43839836522992,1.20740766517418e-10,7.79895914097696e-08
"CMTR1",513.29656334745,0.960153426891828,0.149269017558958,6.43236917207275,1.25630152688022e-10,7.82496379599681e-08
"TRANK1",1769.48422407277,1.44849495339194,0.225575369805336,6.42133471682633,1.35084632333102e-10,8.12371030306658e-08
"ANXA7",1731.66280413815,1.31749676615755,0.205935432732446,6.39762059727363,1.5781682658689e-10,8.77820768085535e-08
"MUC13",43994.5585499826,1.79578268852484,0.280832155478309,6.3945052355785,1.61068030841382e-10,8.77820768085535e-08
"PXK",1014.32144866883,0.959318333131365,0.149826865535726,6.40284590951825,1.52507093037034e-10,8.77820768085535e-08
"PNPLA2",892.620530591664,1.31674495259132,0.206315241586591,6.38219911658189,1.74562778314097e-10,9.22537834484196e-08
"NCK1",805.474905030859,0.688912316228334,0.108432302429581,6.35338640600882,2.10625740815572e-10,1.04951797709245e-07
"SPINT1",11968.3877367707,1.50688631592686,0.237078289905377,6.35607046317186,2.0698011120299e-10,1.04951797709245e-07
"EIF2AK2",892.828421135137,1.19880750296611,0.188887902434852,6.34666110170599,2.20038112177894e-10,1.06596241010624e-07
"CHAC2",249.723746291479,1.03600960564455,0.163526342118059,6.33542946185757,2.36681079011517e-10,1.11559946431374e-07
"LOC121108878",214.424544380584,-2.3345070998687,0.36958000234511,-6.3166488583134,2.67295976088348e-10,1.22674784815284e-07
"MTSS1",969.356308304647,1.16834992880958,0.185179644271246,6.3092783950822,2.8033945239412e-10,1.25362052557781e-07
"LOC417386",83.1871105754461,-1.41226213588014,0.224046520894062,-6.30343256500696,2.9112490847788e-10,1.26930460096356e-07
"WDR55",855.934317459088,-1.19202164068458,0.18941570385433,-6.29315107685741,3.11085299777599e-10,1.3232506410052e-07
"ALDH3A2",3601.07546189932,0.905553906115436,0.144386407852527,6.27173928338428,3.5703706985766e-10,1.48255392817086e-07
"IFIH1",1366.88647969822,1.09688629519259,0.175258563404369,6.25867446295204,3.88263382600271e-10,1.57472404477877e-07
"BIRC8",950.173097381817,0.985417583372802,0.157644075525767,6.25090146956861,4.08090281418536e-10,1.61752147907711e-07
"UGP2",2782.35887452849,1.26917410690935,0.203345987055079,6.24145145566888,4.33528989183101e-10,1.68016568252295e-07
"CCDC186",1348.56060107989,1.07549344649439,0.173672913765886,6.19263777622898,5.91655924225667e-10,2.01785287181901e-07
"EPHA1",990.497030833311,1.16623104701421,0.188099695385933,6.20006877002856,5.64384942857125e-10,2.01785287181901e-07
"GIMAP7L5",6367.37570741559,1.32353494331235,0.21380418501634,6.19040709241122,6.0009029723198e-10,2.01785287181901e-07
"KIAA1109",2598.87607134307,1.3488698666213,0.21726804958982,6.20832133011658,5.35535628439731e-10,2.01785287181901e-07
"LOC422513",2142.02575858783,1.32242542090421,0.213399504477766,6.19694700857184,5.7568872151888e-10,2.01785287181901e-07
"LRRC66",697.973909721963,1.68768927611738,0.272647831700567,6.18999705807626,6.01653379212091e-10,2.01785287181901e-07
"UBAP1",525.933110991861,1.11467503967351,0.180019706967086,6.19196119387814,5.94201832907645e-10,2.01785287181901e-07
"DNAJC13",1504.61983129249,0.6907450852763,0.111791448779955,6.17887229134967,6.4561092433268e-10,2.12442538120036e-07
"LOC107049485",660.487490159246,-0.949185327810394,0.153889615581022,-6.16796217357925,6.91756863471205e-10,2.23411846276626e-07
"PLS1",5294.41046323374,1.34650346774617,0.219072277311137,6.14638914733059,7.92666740601084e-10,2.51347417383326e-07
"GPD2",1280.99538919544,0.966236322194164,0.157416746884705,6.13807832594744,8.35256804643568e-10,2.6012283344614e-07
"CCNG2",1479.44760220271,1.48609183300141,0.242542991108742,6.12712750926344,8.9479762675055e-10,2.73776677377712e-07
"TTC12",96.3662713879956,-1.38473940343354,0.226251360422978,-6.12035835207692,9.33651470758005e-10,2.80739338793441e-07
"ALAS1",2329.24041390909,1.29713421764081,0.212888421721278,6.0930237875457,1.10797590451403e-09,3.275101656733e-07
"GJB6",1345.38156059862,1.45336699470028,0.239163777904782,6.07686919579815,1.22551648248234e-09,3.56216790908201e-07
"FAM83G",347.828470242916,1.36866737532749,0.225327710830501,6.07411920301737,1.2467009702145e-09,3.56433851156408e-07
"MYL12B",3550.96986206734,0.902046986409222,0.148861131921869,6.05965422110768,1.36414479504899e-09,3.83720729446038e-07
"APLP2",8348.21019496823,1.08987508502218,0.180772404475162,6.02899036601531,1.64987121609515e-09,4.42673138595377e-07
"LOC422270",5567.59285003028,1.84725780414113,0.306388305602184,6.02913939717927,1.64835067994512e-09,4.42673138595377e-07
"PLEKHA1",2213.49209615043,1.04986113636899,0.174073709653102,6.03112979243782,1.62817350631348e-09,4.42673138595377e-07
"LPCAT3",1563.05802141358,1.22047198392289,0.202533368065076,6.02602917031797,1.68036867997611e-09,4.44024693617931e-07
"LOC121106759",71.6721461669252,-1.15441100027196,0.191951839251902,-6.01406584469872,1.8092696460488e-09,4.70950188464045e-07
"ENAH",3085.86205673555,1.21174925589934,0.20169812870238,6.00773672862065,1.88131000960151e-09,4.82500684815446e-07
"CPT1A",876.635687229592,1.64119130558788,0.273725746981406,5.9957505776735,2.02547704153628e-09,5.01500163929365e-07
"DST",2359.97200985678,1.49502284403363,0.249338659717841,5.99595283669787,2.02295731698017e-09,5.01500163929365e-07
"USP41",1962.12709833182,1.7018371249648,0.283901772379024,5.99445755728764,2.04165777746473e-09,5.01500163929365e-07
"CALCOCO2",3823.42929275307,1.33308410015092,0.222890053949037,5.98090438102602,2.21902112734848e-09,5.3013326658846e-07
"PLEKHF2",648.0872639686,0.812989048525485,0.135897086634225,5.98238761890233,2.19890220685448e-09,5.3013326658846e-07
