NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.74243295	2.5198832	0.0	0.0	0.0	3154	tags=65%, list=17%, signal=78%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.7483215	2.3344114	0.0	0.0	0.0	1558	tags=57%, list=8%, signal=62%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		132	0.6333419	2.2405596	0.0	0.0	0.0	3690	tags=52%, list=20%, signal=64%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.6187056	2.2208514	0.0	0.0	0.0	4411	tags=61%, list=24%, signal=80%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.6193102	2.1843135	0.0	0.0	0.0	1986	tags=38%, list=11%, signal=42%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.58517635	1.95073	0.0	0.0	0.0	3037	tags=42%, list=16%, signal=50%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		148	0.5408359	1.9331124	0.0	0.0	0.0	3748	tags=43%, list=20%, signal=54%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.53696096	1.9265295	0.0	0.0	0.0	3157	tags=38%, list=17%, signal=46%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.52825856	1.9151068	0.0	2.3148148E-4	0.002	2303	tags=30%, list=12%, signal=34%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.5593486	1.9081404	0.0	2.0833332E-4	0.002	2436	tags=34%, list=13%, signal=39%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.5850448	1.8533	0.0	1.8939393E-4	0.002	3227	tags=48%, list=17%, signal=58%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.51877135	1.8506912	0.0	1.736111E-4	0.002	1859	tags=32%, list=10%, signal=35%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.59608054	1.8051325	0.0	4.623745E-4	0.006	2983	tags=50%, list=16%, signal=59%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		164	0.49739543	1.7863182	0.0	5.0463737E-4	0.007	2176	tags=26%, list=12%, signal=29%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.5291399	1.7669188	0.0	6.6322536E-4	0.01	2940	tags=36%, list=16%, signal=42%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.48555124	1.7657088	0.0	6.217738E-4	0.01	3344	tags=38%, list=18%, signal=46%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		169	0.47709414	1.7174089	0.0	0.0010406487	0.017	2850	tags=34%, list=15%, signal=40%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.47617766	1.7103422	0.0	0.001169409	0.02	3154	tags=36%, list=17%, signal=43%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.5104245	1.7087156	0.0	0.0011078612	0.02	2479	tags=33%, list=13%, signal=38%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	0.47113037	1.6679865	0.0	0.0018449298	0.035	2902	tags=33%, list=16%, signal=39%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		178	0.44506547	1.622482	0.0012547051	0.0033581196	0.065	1793	tags=22%, list=10%, signal=24%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		159	0.4479408	1.6022288	0.0	0.004086792	0.08	2882	tags=29%, list=16%, signal=34%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	0.43932512	1.585189	0.0	0.005192786	0.103	3709	tags=38%, list=20%, signal=47%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		123	0.44800916	1.5587715	0.0026281208	0.00689591	0.142	2176	tags=24%, list=12%, signal=27%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	0.4181428	1.5237433	0.0025740026	0.009817618	0.204	2529	tags=27%, list=14%, signal=31%	
