"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FAAH",627.484812501364,-1.01296922950581,0.11227866663305,-9.02192072530038,1.84819946773739e-19,3.16873798743576e-15
"HEXDCL",202.983656134293,-1.66260597645457,0.2714537233791,-6.1248228823616,9.07845371683684e-10,4.5047746418364e-06
"RGS13",27.1725463329831,-2.38482332673901,0.393164812495229,-6.06570896211102,1.31372838782047e-09,4.5047746418364e-06
"SELE",113.831340489544,-1.96022889706966,0.322655296845039,-6.07530363281496,1.23753334157747e-09,4.5047746418364e-06
"LIPG",3295.21833438294,1.17298126931557,0.195462502846433,6.0010552010435,1.96039324219173e-09,5.60182368956285e-06
"LOC124416951",302.976040354469,-1.27488773571216,0.214568101431811,-5.94164615898098,2.82173986941064e-09,6.1760096140472e-06
"RNF207",205.028440543053,-1.25760443604345,0.211782285400171,-5.9381946590441,2.88177759768898e-09,6.1760096140472e-06
"NR1I3",441.474350116392,-2.10204429092242,0.35756384133889,-5.87879435194386,4.13265404710744e-09,6.44130487615065e-06
"WDR55",891.934745154483,-1.14080532698826,0.193866340655826,-5.88449404434546,3.99273515279483e-09,6.44130487615065e-06
"MGAM",2248.22326744095,-5.31366899646263,0.907452682537861,-5.85558795374538,4.75325380710811e-09,6.79121137690571e-06
"FCGBP",12975.783609652,1.87816454600583,0.323996589850355,5.79686516723309,6.75659696571944e-09,8.91091192132768e-06
"LOC101747667",47.8923732857862,-3.2164591133258,0.557278435313259,-5.77172721840161,7.84630634404705e-09,9.6089230191919e-06
"P2RX6",33.5009571155363,-1.15226596727042,0.201837797771034,-5.70887108358939,1.13727990100152e-08,1.29991092684474e-05
"TM4SF4",139.194040156752,-1.82727567359498,0.321289063004997,-5.68732609975758,1.2904389894991e-08,1.38278602968513e-05
"CCNG2",1278.24565275363,1.13072869472541,0.200962887620122,5.6265547739482,1.83844427897756e-08,1.85412512723943e-05
"CARMIL3",624.912683032249,-1.27225276990144,0.227878039121866,-5.58304246782227,2.36347002956525e-08,2.13272071878401e-05
"LOC112532831",44.7320136630764,1.22056814418975,0.220615325095926,5.53256281565675,3.15585367189345e-08,2.57652910498158e-05
"LOC121106759",75.3392312372385,-1.05111904454622,0.1910695933366,-5.501236623739,3.77136659546424e-08,2.93909455814702e-05
"INSL5",867.01515019586,-1.72069539311994,0.3139330015525,-5.48109113922573,4.22710642226046e-08,3.15103215694155e-05
"MTFP1",383.607003433822,-1.31050932531124,0.239767786550474,-5.46574393568656,4.60969380439747e-08,3.29305001151644e-05
"CLIC5",5330.43575048452,1.15480923185242,0.212969063953154,5.42242713761677,5.87951829159736e-08,3.76551530421931e-05
"KIAA1109",2348.2798677831,1.07753060595058,0.198773348037235,5.42090082292489,5.9299453609753e-08,3.76551530421931e-05
"TESC",94.8788161946393,-1.0196980012513,0.188095688411568,-5.42116626841613,5.92114545217742e-08,3.76551530421931e-05
"CHEK1",820.642925255608,-1.15726659664152,0.213831472872268,-5.41204987786252,6.23073270543694e-08,3.81521115123987e-05
"CD300LF",126.419584566336,-1.31254366650508,0.242819773123769,-5.40542332949159,6.46555037124214e-08,3.82247796948091e-05
"TRPT1",86.88493251583,-1.26268670813095,0.2344747855427,-5.38517054278743,7.23759906619916e-08,4.13628786633282e-05
"GNMT",343.422033933861,-1.13678090179583,0.211729344538029,-5.36902857880264,7.91618757133438e-08,4.37816244872671e-05
"LOC770794",632.829820274594,-1.45714109514885,0.273784492883507,-5.32221923821248,1.02508922583461e-07,5.16916316968659e-05
"AMN",21.5971700491972,-3.82686335385393,0.72724296186779,-5.26215247793575,1.4237860958222e-07,6.61951932250333e-05
"TDRD12",15.1989675730076,-3.54727162163147,0.674188793324707,-5.26154047168062,1.4285343536461e-07,6.61951932250333e-05
"LPCAT3",1483.86256068089,1.05197829767494,0.200576760193243,5.24476662531304,1.56480267230733e-07,7.0601425833445e-05
"ERICH3",69.7584322474964,-1.37154428123503,0.263117569659385,-5.21266703326022,1.8614483102562e-07,7.63218935889882e-05
"CLDN10",200.620905711761,-5.65978165483472,1.09275424634473,-5.17937283132664,2.22633120113831e-07,8.87684847523637e-05
