"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MHCY11",159.198704617733,-3.44997175156299,0.516511681234243,-6.67936830260844,2.39974380507274e-11,4.17819393901214e-07
"LOC121106759",69.113790492035,-1.13638880407273,0.178040369691744,-6.38275918006829,1.73925309657236e-10,1.51410678322107e-06
"FCGBP",14451.2330720824,2.19632742564473,0.361967278196891,6.06775130775783,1.29713552891616e-09,3.2263466705656e-06
"HBA1",1355.23163590695,-2.81209931337102,0.463352520170825,-6.06902777249226,1.28686893370136e-09,3.2263466705656e-06
"HLF",62.532220363199,-1.65945466002019,0.268657212761481,-6.17684760056483,6.53941404241534e-10,3.2263466705656e-06
"LPCAT3",1375.67990113838,1.03490075051488,0.170398597931332,6.0734111845916,1.25221269861732e-09,3.2263466705656e-06
"OSBPL6",82.7973034567064,-1.25416535656986,0.204786244618754,-6.12426561610482,9.11028109237412e-10,3.2263466705656e-06
"LOC101747364",22.5997821195848,-2.20874678896893,0.368009786232809,-6.0018697099855,1.95058199130036e-09,4.24519788131632e-06
"LOC422993",16245.5929988413,1.79640432941986,0.305190946659782,5.88616519946262,3.95259243321268e-09,7.64650965051843e-06
"ENPP4",913.172267851692,1.25459309253638,0.215770321021238,5.81448406156327,6.08211800966109e-09,1.05895756666209e-05
"TAX1BP3",3289.41054198006,1.3056051530782,0.227171741418184,5.74721637879603,9.07245997377906e-09,1.43600546003152e-05
"CSNK2A2",1395.41904593134,0.369547608977902,0.0654413831796082,5.64700180562587,1.63270116484492e-08,2.25757757607443e-05
"HBBA",1522.29441888757,-2.55841286773641,0.454196993406523,-5.63282651553471,1.7727977059377e-08,2.25757757607443e-05
"LOC112531323",97.6950018598598,-1.9176387595961,0.340916939268389,-5.62494419817147,1.85567951344987e-08,2.25757757607443e-05
"LOC121108878",217.006559507064,-1.94359599204377,0.346030941634822,-5.61682716251114,1.9449579944355e-08,2.25757757607443e-05
"HBAD",425.805498035683,-2.47850341247838,0.442930902819052,-5.59568862028781,2.19747790955191e-08,2.39126799270052e-05
"ERICH3",63.8669316228772,-1.48015185560658,0.266595188497449,-5.55205764946033,2.8232644832067e-08,2.89152105394776e-05
"TMEM50B",897.186270135418,0.780022660305625,0.141769811086324,5.50203639497456,3.75429427470427e-08,3.63144542315978e-05
"LOC419322",29.4631418625805,-1.88428908398524,0.344792927878526,-5.46498762483057,4.62939098918281e-08,4.24222771119273e-05
"DNLZ",332.270468800373,-1.01529073790975,0.186293756022993,-5.44994507375994,5.03853786550509e-08,4.38629913881545e-05
"HOXB3",94.8898992174727,-1.61001054373871,0.297306748613407,-5.41531785352185,6.11799248725958e-08,4.6313203128555e-05
"LOC107049485",653.429914698842,-0.833437169742275,0.153833925087449,-5.41777224541659,6.03462191489072e-08,4.6313203128555e-05
"MYL12B",3559.1490633517,0.992599775916531,0.183082045893888,5.42161177558519,5.90640466599296e-08,4.6313203128555e-05
"PLEKHF2",652.088470227785,0.912421925904157,0.169769342021366,5.37447995639476,7.68040259486951e-08,5.57181206580304e-05
"ANXA7",1533.41071808209,1.14857368945303,0.214976355338861,5.34279078107247,9.15263820967863e-08,6.25542758920726e-05
"DCK",614.120838308193,0.679767941523958,0.12731899857974,5.3390927442633,9.34128524033017e-08,6.25542758920726e-05
"ATXN3",754.257199571054,0.517713273560023,0.0972307538423197,5.32458356128355,1.01184580103637e-07,6.52490638586821e-05
"MEP1A",1082.01952518231,-6.17443699305652,1.16158303701821,-5.31553646729064,1.06343548521119e-07,6.61266972607575e-05
"CCNG2",1297.69304729008,1.30373941735306,0.248224434476703,5.25226060078074,1.50243679608799e-07,8.33767708016607e-05
"LIMA1",4433.57249913255,1.11961733829616,0.213316366094973,5.24862371693359,1.53239714298613e-07,8.33767708016607e-05
"MUC13",41067.9432901674,1.74083429354109,0.331547329489841,5.25063584803942,1.51575069658845e-07,8.33767708016607e-05
"RSAD2",1162.35054429276,2.47836145159855,0.470851098631642,5.26357793111456,1.41278580994272e-07,8.33767708016607e-05
"RANGAP1",1253.42610821298,0.638526273840376,0.12233870273705,5.21933173684863,1.79569871683496e-07,9.47421526024649e-05
"MYH9",17595.7868704039,1.14173231291889,0.219400827343623,5.20386512094014,1.95185695361903e-07,9.99522982925321e-05
"LOC101747667",43.6966814565375,-3.50846854336774,0.676653997359317,-5.18502596165802,2.15984776297824e-07,0.000107443169717755
"ABHD12",1958.18882271224,0.852865148819509,0.164692972636609,5.17851572635911,2.23658223209499e-07,0.000108169814563905
"SCNN1A",4662.05769416997,1.98404696220511,0.383994016467859,5.16686947482989,2.38047377728617e-07,0.000112017375503593
"ENAH",2794.63515540037,1.08687893365653,0.211411064034402,5.14106931262438,2.73179244850409e-07,0.000121845678653998
"S100A10",1823.66246510952,1.0541168946148,0.205221539207638,5.13648274291654,2.79928042396181e-07,0.000121845678653998
"WDR55",865.512550530347,-0.970252334629828,0.188676879054102,-5.14240186446807,2.71248135869346e-07,0.000121845678653998
"ESYT3",189.452193787557,1.31818379488231,0.256920244982693,5.13071204245157,2.88648195192548e-07,0.000121863952946689
"LRRC8A",1426.27269693896,0.969432887711208,0.189073766657303,5.12727336451866,2.93968527009417e-07,0.000121863952946689
"APLP2",7681.8036607711,0.99547801558918,0.194494889765094,5.11827337361662,3.08345451694473e-07,0.000124851224638429
