"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MHCY11",159.198704617733,-3.44997175156299,0.516511681234243,-6.67936830260844,2.39974380507274e-11,4.17819393901214e-07
"LOC121106759",69.113790492035,-1.13638880407273,0.178040369691744,-6.38275918006829,1.73925309657236e-10,1.51410678322107e-06
"FCGBP",14451.2330720824,2.19632742564473,0.361967278196891,6.06775130775783,1.29713552891616e-09,3.2263466705656e-06
"HBA1",1355.23163590695,-2.81209931337102,0.463352520170825,-6.06902777249226,1.28686893370136e-09,3.2263466705656e-06
"HLF",62.532220363199,-1.65945466002019,0.268657212761481,-6.17684760056483,6.53941404241534e-10,3.2263466705656e-06
"LPCAT3",1375.67990113838,1.03490075051488,0.170398597931332,6.0734111845916,1.25221269861732e-09,3.2263466705656e-06
"OSBPL6",82.7973034567064,-1.25416535656986,0.204786244618754,-6.12426561610482,9.11028109237412e-10,3.2263466705656e-06
"LOC101747364",22.5997821195848,-2.20874678896893,0.368009786232809,-6.0018697099855,1.95058199130036e-09,4.24519788131632e-06
"LOC422993",16245.5929988413,1.79640432941986,0.305190946659782,5.88616519946262,3.95259243321268e-09,7.64650965051843e-06
"ENPP4",913.172267851692,1.25459309253638,0.215770321021238,5.81448406156327,6.08211800966109e-09,1.05895756666209e-05
"TAX1BP3",3289.41054198006,1.3056051530782,0.227171741418184,5.74721637879603,9.07245997377906e-09,1.43600546003152e-05
"HBBA",1522.29441888757,-2.55841286773641,0.454196993406523,-5.63282651553471,1.7727977059377e-08,2.25757757607443e-05
"LOC112531323",97.6950018598598,-1.9176387595961,0.340916939268389,-5.62494419817147,1.85567951344987e-08,2.25757757607443e-05
"LOC121108878",217.006559507064,-1.94359599204377,0.346030941634822,-5.61682716251114,1.9449579944355e-08,2.25757757607443e-05
"HBAD",425.805498035683,-2.47850341247838,0.442930902819052,-5.59568862028781,2.19747790955191e-08,2.39126799270052e-05
"ERICH3",63.8669316228772,-1.48015185560658,0.266595188497449,-5.55205764946033,2.8232644832067e-08,2.89152105394776e-05
"LOC419322",29.4631418625805,-1.88428908398524,0.344792927878526,-5.46498762483057,4.62939098918281e-08,4.24222771119273e-05
"DNLZ",332.270468800373,-1.01529073790975,0.186293756022993,-5.44994507375994,5.03853786550509e-08,4.38629913881545e-05
"HOXB3",94.8898992174727,-1.61001054373871,0.297306748613407,-5.41531785352185,6.11799248725958e-08,4.6313203128555e-05
"ANXA7",1533.41071808209,1.14857368945303,0.214976355338861,5.34279078107247,9.15263820967863e-08,6.25542758920726e-05
"MEP1A",1082.01952518231,-6.17443699305652,1.16158303701821,-5.31553646729064,1.06343548521119e-07,6.61266972607575e-05
"CCNG2",1297.69304729008,1.30373941735306,0.248224434476703,5.25226060078074,1.50243679608799e-07,8.33767708016607e-05
"LIMA1",4433.57249913255,1.11961733829616,0.213316366094973,5.24862371693359,1.53239714298613e-07,8.33767708016607e-05
"MUC13",41067.9432901674,1.74083429354109,0.331547329489841,5.25063584803942,1.51575069658845e-07,8.33767708016607e-05
"RSAD2",1162.35054429276,2.47836145159855,0.470851098631642,5.26357793111456,1.41278580994272e-07,8.33767708016607e-05
"MYH9",17595.7868704039,1.14173231291889,0.219400827343623,5.20386512094014,1.95185695361903e-07,9.99522982925321e-05
"LOC101747667",43.6966814565375,-3.50846854336774,0.676653997359317,-5.18502596165802,2.15984776297824e-07,0.000107443169717755
"SCNN1A",4662.05769416997,1.98404696220511,0.383994016467859,5.16686947482989,2.38047377728617e-07,0.000112017375503593
"ENAH",2794.63515540037,1.08687893365653,0.211411064034402,5.14106931262438,2.73179244850409e-07,0.000121845678653998
"S100A10",1823.66246510952,1.0541168946148,0.205221539207638,5.13648274291654,2.79928042396181e-07,0.000121845678653998
"ESYT3",189.452193787557,1.31818379488231,0.256920244982693,5.13071204245157,2.88648195192548e-07,0.000121863952946689
"ADM2",1084.89561910463,2.24170922970431,0.438723225718151,5.10962059515958,3.22806392370385e-07,0.000127735956762745
"P2RX6",29.9471191276534,-1.39319675004804,0.274400902448826,-5.07723093333436,3.82975286135905e-07,0.000141871972487494
"CA13",71.6688195751495,-2.29377571631423,0.452396902300775,-5.07027281718481,3.97245848542742e-07,0.000144092655603702
"KIAA1109",2415.1365009329,1.27883768973742,0.252538295356483,5.0639357010477,4.10688216474119e-07,0.000145928419123079
"PERPB",812.252102198797,1.9630457816358,0.388689776303928,5.05041784299681,4.40844686220553e-07,0.000147606669842039
"LOC107054133",54.412244596411,-2.69130890830494,0.534906532270322,-5.03136295023754,4.87005182924547e-07,0.000157023097035172
"CAPN5",1492.71424683488,1.40280505331736,0.279786864934475,5.01383456169714,5.335586723813e-07,0.000168905273542378
"SLC38A4",4211.56340962955,1.83477530673512,0.367673228859361,4.99023361702774,6.03063125774869e-07,0.000181279220296164
"SPTAN1",5350.96127302866,1.05386577207204,0.211336651156859,4.98666826744518,6.14294066824059e-07,0.000181279220296164
"PAQR8",578.600763260775,1.32024045679055,0.265311594317039,4.97618831996051,6.48485596002629e-07,0.000186446793839274
"PPP1R1B",1544.18423070677,-1.13732978578082,0.228619173631446,-4.9747786579541,6.53222355074131e-07,0.000186446793839274
"ANK1",63.0250345972294,-2.99155790509696,0.602540030273484,-4.9649114661131,6.8732417226474e-07,0.000189952399417482
