"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107054716",66.4433668023394,-5.07704131698201,0.887747474910976,-5.71901521600063,1.07143201144849e-08,0.000144772920588839
"TMEM8B",49.2236050007302,-1.06605324713823,0.189796340533683,-5.61682719561729,1.94495762193644e-08,0.000144772920588839
"TMEM50B",816.223870272091,0.602745227035043,0.109880964184135,5.48543809667504,4.12445972130136e-08,0.000204669439570045
"MBOAT2",615.694279725679,1.04658471236023,0.193079778033035,5.42047812060965,5.94398472827969e-08,0.00022122025162475
"GPBP1L1",2355.66301396493,0.643992399738901,0.120810361033676,5.33060570491456,9.78857378421987e-08,0.000291444995851362
"LRRC8A",1293.45531194539,0.794002211645071,0.153271756485096,5.18035566273606,2.2146323475932e-07,0.000549487195976999
"RNF207",194.187302707081,-1.11079925499976,0.220375408870543,-5.04048641675935,4.64350086923968e-07,0.000987539963433873
"CNOT6L",1021.77710583157,0.339182051027712,0.0679701886864912,4.99015903269257,6.03296028302897e-07,0.0010739847727854
"RRP9",874.038018771146,-0.742747192001813,0.149267397245016,-4.97595058070602,6.49282122326099e-07,0.0010739847727854
"CHEK1",773.539491796189,-1.03565374817414,0.210547034629017,-4.91887121563578,8.70447128449737e-07,0.00129583464012312
"CPT1A",774.159592495358,1.5143939460921,0.313300775530771,4.83367442524368,1.34035730946303e-06,0.00179986964410895
"KIAA1109",2143.53220694614,1.06986570790587,0.224141785221823,4.77316492704418,1.81353158202689e-06,0.00179986964410895
"LOC422993",14327.9735350466,1.59541973812145,0.333140609653353,4.78902809171644,1.67591021452418e-06,0.00179986964410895
"MUC13",36476.7055749106,1.55187536567287,0.32239606704103,4.8135679194727,1.48259180609907e-06,0.00179986964410895
"NARF",798.816927228984,0.908933669001116,0.190025498105716,4.78321950507637,1.72509561167189e-06,0.00179986964410895
"FCGBP",11903.7796427516,1.88292399080366,0.395799055759178,4.75727256901116,1.96226136763451e-06,0.00182576156124843
"GNA13",1037.43823084661,0.683048946058457,0.146338046639201,4.66761011059911,3.0472345051187e-06,0.00212065978994283
"LOC100857892",3510.40846340369,-2.3921091824948,0.510767313076673,-4.68336387480558,2.82204890978531e-06,0.00212065978994283
"MAPK4",4080.52797513747,1.03569838328044,0.222415101442286,4.65660099770334,3.2147261036094e-06,0.00212065978994283
"MYH9",16017.2548527501,0.981608668731463,0.210976686940055,4.65268785366018,3.27636025852657e-06,0.00212065978994283
"NCSTN",983.966973456218,0.761398260786729,0.162024550166856,4.69927711573725,2.61083986206384e-06,0.00212065978994283
"OGFOD1",407.771555849488,-0.678303266455414,0.144237606258137,-4.70267972446434,2.56769027961964e-06,0.00212065978994283
"TAX1BP3",2836.88784714555,1.03674214948857,0.221576199285799,4.67894183955801,2.88359216484062e-06,0.00212065978994283
"DHX37",253.609452390864,-0.55294904291054,0.119237736063286,-4.6373661658341,3.52876952136784e-06,0.00216357280592959
"PIK3IP1",1318.18995492141,0.653582823120685,0.141122203025262,4.6313252564778,3.63332573038487e-06,0.00216357280592959
"UBAP1",459.73097417265,0.950861209553695,0.206647513070787,4.60136778528749,4.19725548499146e-06,0.00240325163096415
"SFXN2",363.240620977999,-0.729948341300476,0.159540917105491,-4.57530490950996,4.7552691085232e-06,0.00262191448957722
