"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107054716",66.4433668023394,-5.07704131698201,0.887747474910976,-5.71901521600063,1.07143201144849e-08,0.000144772920588839
"TMEM8B",49.2236050007302,-1.06605324713823,0.189796340533683,-5.61682719561729,1.94495762193644e-08,0.000144772920588839
"MBOAT2",615.694279725679,1.04658471236023,0.193079778033035,5.42047812060965,5.94398472827969e-08,0.00022122025162475
"RNF207",194.187302707081,-1.11079925499976,0.220375408870543,-5.04048641675935,4.64350086923968e-07,0.000987539963433873
"CHEK1",773.539491796189,-1.03565374817414,0.210547034629017,-4.91887121563578,8.70447128449737e-07,0.00129583464012312
"CPT1A",774.159592495358,1.5143939460921,0.313300775530771,4.83367442524368,1.34035730946303e-06,0.00179986964410895
"KIAA1109",2143.53220694614,1.06986570790587,0.224141785221823,4.77316492704418,1.81353158202689e-06,0.00179986964410895
"LOC422993",14327.9735350466,1.59541973812145,0.333140609653353,4.78902809171644,1.67591021452418e-06,0.00179986964410895
"MUC13",36476.7055749106,1.55187536567287,0.32239606704103,4.8135679194727,1.48259180609907e-06,0.00179986964410895
"FCGBP",11903.7796427516,1.88292399080366,0.395799055759178,4.75727256901116,1.96226136763451e-06,0.00182576156124843
"LOC100857892",3510.40846340369,-2.3921091824948,0.510767313076673,-4.68336387480558,2.82204890978531e-06,0.00212065978994283
"MAPK4",4080.52797513747,1.03569838328044,0.222415101442286,4.65660099770334,3.2147261036094e-06,0.00212065978994283
"TAX1BP3",2836.88784714555,1.03674214948857,0.221576199285799,4.67894183955801,2.88359216484062e-06,0.00212065978994283
"SCUBE2",28.1334065519144,-2.53623206062877,0.559217543381411,-4.53532277491329,5.75154569874179e-06,0.00295252623507479
"LOC429249",6598.47033752928,-2.62652115965568,0.585390903286253,-4.48678164438665,7.23071127191981e-06,0.00358811995683568
"TMEM59L",10.3699940388981,-2.42810124437971,0.542579676058349,-4.47510541128081,7.63736236355797e-06,0.00366765850020282
"ST6GALNAC2",95.5047425211941,-1.74366991887092,0.392803240665686,-4.43904158202949,9.03603592035397e-06,0.00406131351042628
"IFI27L2",11089.1447156216,1.50475429209798,0.344022634480479,4.37399793292778,1.21991534084087e-05,0.00465663581515335
"MAPK10",11.4059644149409,-2.76766369540508,0.631689075672779,-4.38137020567814,1.17935290639662e-05,0.00465663581515335
"CLIC5",4726.46907825015,1.08749767174341,0.249536355726488,4.35807306946243,1.31212580243386e-05,0.004764296785569
"TRANK1",1617.8621189897,1.38412299812977,0.320853957731947,4.31387229228482,1.60419636595683e-05,0.00519166767391289
"CPS1",19.5112100216415,-1.02586872587194,0.238952667036817,-4.29318801331426,1.76125739801193e-05,0.00547151235425066
"ACOX1",1638.16516228983,1.20941022658048,0.283761196047898,4.26207051360305,2.02541507359984e-05,0.00557500015688975
"ADM2",1141.47724080747,2.36340948299439,0.556172741913874,4.24941624226592,2.14328329603855e-05,0.00557500015688975
"B2M",33675.0842165565,1.078614142888,0.253411983201904,4.25636597472435,2.07776494498367e-05,0.00557500015688975
"LOC112531323",98.6907586070508,-1.72836487053142,0.405872720688511,-4.25839131932659,2.05903281131231e-05,0.00557500015688975
"LOC422513",1834.68438250719,1.12098075011106,0.264427810720266,4.23926948930849,2.24248326167558e-05,0.00557500015688975
