NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		172	-0.4856733	-2.070974	0.0	0.0	0.0	6115	tags=60%, list=33%, signal=89%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.54687595	-1.8894475	0.0	6.7873305E-4	0.002	4120	tags=46%, list=22%, signal=59%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		173	-0.42353752	-1.780602	0.0	0.0012719331	0.005	4592	tags=53%, list=25%, signal=69%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.3026151	-1.2897296	0.036885247	0.13903196	0.542	4151	tags=30%, list=22%, signal=39%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		153	-0.2991564	-1.2547681	0.055776894	0.14781705	0.652	3666	tags=37%, list=20%, signal=45%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.25825912	-1.0535185	0.31338027	0.5300021	0.994	3919	tags=31%, list=21%, signal=39%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.24688816	-1.0377591	0.3181818	0.50405544	0.997	2815	tags=15%, list=15%, signal=18%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		122	-0.23240536	-0.92581064	0.66312057	0.8234086	1.0	3018	tags=23%, list=16%, signal=27%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.2900818	-0.92049325	0.58885944	0.74808496	1.0	2577	tags=29%, list=14%, signal=33%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.27022266	-0.8529097	0.73218673	0.84033227	1.0	1883	tags=23%, list=10%, signal=26%	
