NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.6981116	2.549137	0.0	0.0	0.0	2818	tags=51%, list=15%, signal=59%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.7290186	2.5419002	0.0	0.0	0.0	3162	tags=65%, list=17%, signal=78%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.7291654	2.3391533	0.0	0.0	0.0	2818	tags=68%, list=15%, signal=80%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		132	0.61546904	2.2309618	0.0	0.0	0.0	4004	tags=52%, list=22%, signal=66%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.58965516	2.197424	0.0	0.0	0.0	5051	tags=65%, list=27%, signal=88%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		164	0.5699879	2.1306183	0.0	0.0	0.0	3002	tags=38%, list=16%, signal=45%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.5569045	2.086826	0.0	0.0	0.0	2902	tags=33%, list=16%, signal=39%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.6558979	2.0284402	0.0	0.0	0.0	2994	tags=50%, list=16%, signal=60%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.5741003	1.9992192	0.0	0.0	0.0	3738	tags=46%, list=20%, signal=57%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.5748068	1.9783114	0.0	0.0	0.0	2041	tags=32%, list=11%, signal=36%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	0.52419406	1.9408908	0.0	1.010101E-4	0.001	3803	tags=37%, list=21%, signal=46%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	0.5212833	1.9005847	0.0	9.259259E-5	0.001	2273	tags=31%, list=12%, signal=35%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		142	0.50777155	1.8787035	0.0	1.6644175E-4	0.002	2912	tags=28%, list=16%, signal=33%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.5046476	1.8728733	0.0	2.3177314E-4	0.003	2954	tags=38%, list=16%, signal=45%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	0.49651584	1.87158	0.0	2.163216E-4	0.003	2794	tags=30%, list=15%, signal=35%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.48845437	1.8597829	0.0	2.0280149E-4	0.003	3576	tags=37%, list=19%, signal=45%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		169	0.4932786	1.8492713	0.0	2.6217324E-4	0.004	3954	tags=39%, list=21%, signal=49%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.487799	1.8481655	0.0	2.4760808E-4	0.004	3174	tags=37%, list=17%, signal=44%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.52227926	1.8238726	0.0	2.3457606E-4	0.004	4111	tags=44%, list=22%, signal=57%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	0.48796123	1.7921321	0.0	4.3429478E-4	0.008	3182	tags=38%, list=17%, signal=46%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	0.47838274	1.7700773	0.0	6.190057E-4	0.012	2532	tags=28%, list=14%, signal=32%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.46982032	1.7523884	0.0	8.496833E-4	0.017	3480	tags=38%, list=19%, signal=47%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		70	0.51868236	1.7340046	0.0	9.948191E-4	0.021	1914	tags=29%, list=10%, signal=32%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	0.46191362	1.6980575	0.001344086	0.0013729664	0.03	3482	tags=36%, list=19%, signal=44%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		123	0.46309742	1.6765972	0.0	0.0016839744	0.038	2994	tags=29%, list=16%, signal=35%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.49714354	1.6168305	0.0062111802	0.0032230692	0.076	4022	tags=50%, list=22%, signal=64%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.46412724	1.6133759	0.0041841003	0.0032692936	0.079	3894	tags=46%, list=21%, signal=58%	
