"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC121106759",74.6260272451301,-1.16338895711406,0.188938543505596,-6.15749934094097,7.39025508792285e-10,1.18842692068887e-05
"LOC107054049",34.7456268472203,-2.05654866680952,0.360402044271943,-5.70626249072478,1.15483860836357e-08,9.28547983054727e-05
"LOC100857892",3930.07648653364,-2.28961300063048,0.416152258242777,-5.50186369358771,3.75797448913355e-08,0.000201439959199189
"SYNM",120.362460017133,-1.3721308772128,0.254718410995594,-5.3868539453025,7.17016530477323e-08,0.000230606856532117
"TMEM59L",11.3943731625922,-2.54114855380855,0.471515476505336,-5.38932162448287,7.0724136995333e-08,0.000230606856532117
"DNAH5",16.6908560884541,-2.26472885761107,0.427480537363028,-5.29785255623884,1.1717251915505e-07,0.000314041880088726
"CFAP65",52.0252735794704,-1.28167162810098,0.247594223230421,-5.17650053130765,2.26086408903236e-07,0.000519385077367564
"DCK",664.365389499724,0.669160595484842,0.13016178416688,5.14099126535414,2.73292760154715e-07,0.000549352609505996
"CARMIL3",647.061981074052,-1.17412929978882,0.233545412439747,-5.02741324491543,4.97140272855037e-07,0.000665116984356034
"CNTFR",198.373141011787,-1.81568547298,0.363276745502529,-4.99807789917387,5.79045941234033e-07,0.000665116984356034
"ERICH3",70.6133011524675,-1.38980331441628,0.276822897043658,-5.02055042866304,5.15236218514592e-07,0.000665116984356034
"HN1",2429.90451927891,0.397063975765294,0.078854767184656,5.03538327410796,4.7689366042869e-07,0.000665116984356034
"RANGAP1",1310.50538711896,0.544301567801647,0.10825427227754,5.02799156421446,4.95643674653704e-07,0.000665116984356034
"RGS13",29.9443866261164,-1.74624203717531,0.34922231202809,-5.00037362170275,5.72193239464633e-07,0.000665116984356034
"HLF",76.0609648421049,-1.08216241022471,0.218545609727878,-4.95165476703999,7.35850630456508e-07,0.000788880932558074
"GPR25",18.250832251824,-2.19264452825676,0.452043325394808,-4.8505185345713,1.23139125796315e-06,0.00104221067470029
"HOXA9",938.217874184486,-1.02547734328919,0.211059246382506,-4.85871792335835,1.18148317565175e-06,0.00104221067470029
"LOC769366",8.83292555488745,-5.47375539843378,1.12679580658899,-4.8578059719656,1.18693634420009e-06,0.00104221067470029
"TMEM50B",853.13989199836,0.461422300951225,0.0946908518507354,4.87293431131639,1.09952790380964e-06,0.00104221067470029
"PIK3CG",899.630761810268,0.704939660052776,0.145673916550465,4.83916185371847,1.30387830655294e-06,0.00104838335238389
"ENPP4",777.242679667541,0.724828374053293,0.150814985154902,4.80607661969945,1.53920930732053e-06,0.00112509203959189
"RECK",160.925143758947,-0.705534836832528,0.146575385923277,-4.81346054379028,1.48338899632093e-06,0.00112509203959189
"GRIA3",10.2796003586244,-2.22387738722948,0.470307293304052,-4.72856240779526,2.2611512660161e-06,0.0014544629403522
"LOC121113175",71.6568040095055,-1.24386197436973,0.262658501183739,-4.73566234774028,2.18340840822211e-06,0.0014544629403522
"UNC5A",14.6400142623919,-2.00201915965294,0.423352142820562,-4.72896900040376,2.25662832136334e-06,0.0014544629403522
"LOC121111300",35.5284339053898,-1.80762295142866,0.38324374203436,-4.71664049054869,2.39770820030756e-06,0.00146796004667566
"LPAR3",68.2843771849469,-1.22292992660048,0.259588768180019,-4.71102788912812,2.46470500965381e-06,0.00146796004667566
"AS3MT",616.67306488922,-0.782672488025716,0.167690993505064,-4.66734957952337,3.05109966125949e-06,0.00163549112175713
"CNP",1414.00079223485,0.47734614818116,0.102186367282081,4.6713290713571,2.99257067079167e-06,0.00163549112175713
"PKIA",16.0098996612339,-1.66223837203968,0.356088939479192,-4.6680426931284,3.04082722055106e-06,0.00163549112175713
"ARHGAP33L1",160.199650338231,-1.00084793029692,0.215756682883082,-4.63878067146256,3.50470740935395e-06,0.00179241889093021
"RNF207",221.039203058122,-0.986515486489926,0.212833545078151,-4.63515037597896,3.56678095328442e-06,0.00179241889093021
"TESC",98.5885953538715,-0.917436923073603,0.19822654123167,-4.62822444145552,3.68814187735736e-06,0.00179724271302375
"CAP1",7005.99877689507,0.615210050278501,0.133728262910929,4.60044897680505,4.21581278741484e-06,0.00180966240309071
"DMTN",171.126837067518,-1.40019038558016,0.303766349386423,-4.60943217841083,4.03770220148466e-06,0.00180966240309071
"LOC121106808",8.20387886269623,-4.8967325404307,1.06462697417971,-4.59948193986312,4.23542907656696e-06,0.00180966240309071
"MT3",270.182749719848,-1.36267172747292,0.296395303347745,-4.59748083752248,4.27629944141827e-06,0.00180966240309071
"ST6GALNAC2",103.21837860443,-1.91160250810415,0.413999731677397,-4.61740035521022,3.88577161510241e-06,0.00180966240309071
"PPFIA2",52.0612986789347,-2.20016971874518,0.47997669127586,-4.58390950797372,4.56361801609167e-06,0.00188173182863513
"FAM132A",88.4519163231307,-1.41951620859651,0.31134078422737,-4.55936478774926,5.13085792026548e-06,0.00191882153990207
"LOC124418141",36.4680351842592,-1.4994245917318,0.328426099363293,-4.56548549167888,4.98339663479487e-06,0.00191882153990207
"OSBPL6",96.9901814178883,-0.912891595839827,0.200165919734782,-4.56067444972351,5.09895810472679e-06,0.00191882153990207
"RUNDC3A",32.4022689141562,-1.19042111958596,0.260576521243706,-4.56841281748713,4.91431400524398e-06,0.00191882153990207
"LOC101747364",26.7814287588875,-1.62171204076066,0.356349771247618,-4.55089962618155,5.34170277174274e-06,0.00192926504932931
"LOC121106536",97.8901671319263,-1.31741556684976,0.290211344353598,-4.53950402863852,5.63867031394054e-06,0.00192926504932931
"MT4",6567.38051869737,-1.48073509460105,0.326106151305311,-4.54065367572518,5.60800852230087e-06,0.00192926504932931
"SDK2",596.138265787495,-1.3165220261269,0.289658565123168,-4.54508233018101,5.49137855964563e-06,0.00192926504932931
"USP41",1896.01903549537,1.55588716273317,0.343782749892901,4.52578601811135,6.01714402044326e-06,0.00201586860401559
"LOC107055115",1086.96891617355,-1.28414051894305,0.285057597863748,-4.50484578754098,6.64211597022298e-06,0.00217983401871746
"ARHGAP33L2",170.788459231418,-1.05227451815214,0.234072366439137,-4.49550937669418,6.94035995480686e-06,0.00223215856866498
"LOC770794",676.822966801986,-1.19403749866569,0.266149388204009,-4.48634320267696,7.24559948395495e-06,0.00224070164041307
"RGS11",21.4794038832203,-1.98899909300621,0.442968566579332,-4.49015854187026,7.11701804857258e-06,0.00224070164041307
"KLHDC8B",64.4833090849304,-1.15704980928378,0.258199603325369,-4.48122225743982,7.42167717664362e-06,0.00225184888070955
"CACNA1B",126.340132537846,-1.34180131088033,0.301408717178488,-4.45176676852961,8.5166641925743e-06,0.00243062668456382
"HAPLN1",91.6572338693574,-1.37570664010528,0.309987675418705,-4.43793979308077,9.08240141511692e-06,0.00243062668456382
"LOC101748259",243.998248827653,1.11657570800186,0.251463307849871,4.4403126545543,8.9828275852302e-06,0.00243062668456382
"LOC101748323",108.832905989692,-1.9481715979311,0.438313174075663,-4.44470235702932,8.80136323260529e-06,0.00243062668456382
"LOC429249",7439.42103843001,-2.44329609427855,0.548265864000324,-4.45640747438018,8.33445479806677e-06,0.00243062668456382
"LOC770996",22.197028473526,-1.52408203930552,0.343158707063091,-4.44133285251396,8.94033781529296e-06,0.00243062668456382
"MYH9",16732.4014127516,0.851789373360799,0.192225664795848,4.43119483688839,9.37123651781339e-06,0.00243062668456382
"MYL12B",3178.14831985314,0.543514088528152,0.122305498892952,4.44390557618236,8.83403872134882e-06,0.00243062668456382
"NKX2-3",930.107999386964,-1.37549223556276,0.310285866368358,-4.43298385344383,9.29378286197667e-06,0.00243062668456382
"SAMD9L",852.458593039021,1.75757049044919,0.398599169150626,4.40936817353229,1.03672643370766e-05,0.00264628536197665
"CPXM1",107.358604583664,-1.65862502719041,0.37843082353316,-4.38290150814068,1.17109065420654e-05,0.00294254825160865
"APLNR",130.802825204914,-1.66427755074048,0.381691067390718,-4.36027377354588,1.29899817947695e-05,0.00311778951106998
"C7H2ORF66",18.8017591558242,-1.43495986530347,0.328625406887273,-4.36655181014565,1.26223357934441e-05,0.00311778951106998
"PDLIM3",100.583963418422,-1.73351707799825,0.397525483751358,-4.36076968359221,1.29605732935305e-05,0.00311778951106998
"LOC121111042",17.4480088527852,-1.69656519025304,0.390041733049463,-4.34970170240192,1.36322843731017e-05,0.00317711253628765
"PARP14",3893.55152505203,0.854996676267894,0.196535612750622,4.35033968806851,1.35926799810405e-05,0.00317711253628765
"CCNF",244.472550508979,0.892223361681682,0.205661890542155,4.33830185713867,1.43587854887899e-05,0.00325216379500325
"KIFC2",376.153240905803,-1.41374022524414,0.325810076918278,-4.33915438901155,1.43032015549851e-05,0.00325216379500325
"SLIT3",99.5329383413308,-1.19264217961617,0.275467627522364,-4.32951846408647,1.49435741461274e-05,0.00333760577560938
"TTC12",111.047036585898,-0.930373868471962,0.215119787404113,-4.32491069138243,1.52593670023574e-05,0.00336145042143711
"FABP4",18.0473148613217,-2.64926826726417,0.61427219445839,-4.31285721731236,1.61158202083198e-05,0.00336569486714275
"GPX3",3327.10624645988,-1.57750227956331,0.365302620872472,-4.31834372224232,1.57204474424111e-05,0.00336569486714275
"LOC422993",12896.0821705251,1.18205044455451,0.273887390460666,4.31582645176312,1.59006870662527e-05,0.00336569486714275
"RXFP2",171.502982778348,-1.37132121882675,0.317873000775898,-4.31405377455616,1.60287931080202e-05,0.00336569486714275
"MITD1",386.331305541753,0.726539629566912,0.168780400447875,4.30464454189567,1.67254063320413e-05,0.00344822127212251
"DRP2",26.7121517995187,-1.48209174726744,0.34542824876151,-4.29059219268053,1.78197288073457e-05,0.0036273298601383
"LOC112530775",15.15174765837,-2.46861844492453,0.576615218216973,-4.28122319171191,1.85868822426457e-05,0.00373619566679981
"KIZ",162.919579305553,-0.871421354355179,0.204176238058467,-4.26798614100062,1.97245578799952e-05,0.00378663340487071
"LOC124417555",31.9815751209871,-1.30353847943638,0.30569365666556,-4.2641986544801,2.00620897462881e-05,0.00378663340487071
"PLAG1",139.839450292607,-0.860526772242003,0.201567305119473,-4.26917833590101,1.96194361381903e-05,0.00378663340487071
"TRANK1",1746.52422431725,1.33466754401669,0.313145999688872,4.26212547930599,2.02491682265443e-05,0.00378663340487071
"VSTM2B",22.1419168967695,-1.7696557989955,0.415206574715854,-4.26210928910882,2.02506357079088e-05,0.00378663340487071
"ZBTB20",465.916399282506,-1.11505291959833,0.260968931028652,-4.27274202796159,1.93083795056072e-05,0.00378663340487071
"LOC101747667",50.9609013762653,-2.60260835641007,0.612907898854549,-4.24632862665667,2.17301844814587e-05,0.004016587317774
"CAP2",72.555737721395,-1.39317998137687,0.328637986471079,-4.23925425157591,2.24263546819331e-05,0.0040913541417886
"CD47",4209.88363187109,0.445538645500273,0.1051961814663,4.23531195990228,2.28234626973149e-05,0.0040913541417886
"MAMDC2",73.0220802128049,-1.50191618282645,0.354678918134568,-4.2345798017141,2.28979461949489e-05,0.0040913541417886
"COL3A1",6379.67885882845,-1.38964042258276,0.328579033531219,-4.22924252849727,2.34479461021719e-05,0.00411117143591497
"SMAD4",366.176404672592,-1.11847273993088,0.264504992955966,-4.22855057453332,2.35201649215955e-05,0.00411117143591497
"SLC7A2",46.8853133443913,-2.07837485674025,0.492094685760481,-4.22352631898135,2.40509269457146e-05,0.00415874146466705
"LIM2",166.515114269689,-1.79958356743845,0.426554020134797,-4.21888783716013,2.4551036310363e-05,0.00420005547773349
"CSNK2A2",1466.92162658057,0.283193957631573,0.0675935575772355,4.18965901162965,2.79373953825263e-05,0.00467980474110839
"EIF2AK2",821.723370768406,0.929300594106005,0.221751182564168,4.19073568564666,2.78051419837163e-05,0.00467980474110839
"HPSE2",64.4530672568103,-1.08040887156051,0.258259012370038,-4.18343143825118,2.8714171524216e-05,0.00470708689736385
"PLACL2",4038.34049122103,1.31930134095804,0.315281241697323,4.18452215506243,2.85766577330985e-05,0.00470708689736385
"WNT9A",9.14820160672292,-1.96131988760346,0.46906384284576,-4.18134954871888,2.89783970424116e-05,0.00470708689736385
"FNDC1",481.936126892347,-1.23967139576177,0.297422526168389,-4.16804810224736,3.07219111445053e-05,0.00479649566130864
"HBA1",1641.86980152619,-1.85128195184674,0.443825012216337,-4.17119788405336,3.03002587736319e-05,0.00479649566130864
"KLHDC8A",412.251362452434,-0.739486891604779,0.177220090315535,-4.17270350267933,3.01006541911759e-05,0.00479649566130864
"OTUD4",803.03033612998,0.524712507777159,0.125853598758868,4.16922927076955,3.05631421740486e-05,0.00479649566130864
"HEY2",84.2067164790555,-1.37087092569292,0.329473564453977,-4.16079186190495,3.17146027031434e-05,0.00490387044297355
"LOC101749593",19.2197529228081,-2.05593027193768,0.494597098610964,-4.15677786568419,3.22767543694169e-05,0.00494326178109136
"LOC112530352",12.8488148733503,-1.90484537875181,0.459241183224744,-4.14781044978628,3.35670127717534e-05,0.00509236917342044
"SLC6A11",43.439614847771,-1.63680780220083,0.395032581468683,-4.14347544730456,3.42081710392794e-05,0.0051411364344173
"HORMAD2",13.9972604705197,-1.32092911595081,0.319492631870242,-4.13445877677483,3.55792107123147e-05,0.00529767858763642
"LOC124417153",6.45090618947487,-3.67491937518539,0.889479221380331,-4.13154044170081,3.60340277852648e-05,0.00531617615426461
"CFAP45",43.0551373935508,-1.89911292245696,0.461011162001556,-4.11945106537474,3.79776064576566e-05,0.00549198958878153
"MYOC",12.7213531694876,-1.65308277518363,0.401447838774335,-4.11780215390043,3.82502850533879e-05,0.00549198958878153
"VIPR2",148.098810825015,-1.92244213615537,0.466653096552044,-4.1196386574089,3.7946701747916e-05,0.00549198958878153
"LOC112531190",403.515612652871,1.5610274512415,0.379602133235979,4.11227259956174,3.91783302372403e-05,0.00557545777473506
"GNAO1",126.492446464786,-0.91879494262497,0.223588188772566,-4.10931788333225,3.96829518393919e-05,0.00559773288183563
"CTNNA1",7994.31094010258,0.612342206073165,0.149190198217346,4.10443992561149,4.0529556980107e-05,0.00566744178954
"FJX1",213.068344852528,-1.11998467134889,0.273197775373756,-4.09953803546411,4.13975634142552e-05,0.00569915695051179
"PRMT1",526.563740232379,-1.36793623686132,0.333711325587721,-4.09916035798953,4.14651677886873e-05,0.00569915695051179
"SCN9A",6.36231626901867,-2.35215198660554,0.574567565588441,-4.09377787309764,4.24400910787844e-05,0.00578372122574519
"LOC107052314",13.209050743205,-1.33369719729589,0.326230279478636,-4.08820787398193,4.34718528700504e-05,0.00587454509246455
"PRCC",851.141586934263,0.233458977542777,0.0572953494764617,4.07465840903349,4.60819371552439e-05,0.00617536359494564
"AP3B2",126.594302369343,-1.29276217317516,0.317511605027052,-4.07154306396145,4.67027257697324e-05,0.00620683085209145
"KIF12",107.962307181997,-1.28997498599047,0.317322703838269,-4.06518339339481,4.79947071996696e-05,0.00632625316785153
"ANKRD13D",890.068648599326,-0.912657590724402,0.224704324767039,-4.06159334792775,4.87389221292631e-05,0.00637211875415188
"GNA13",1106.57987347393,0.594074537935892,0.146396289240121,4.05798904480076,4.94970891847513e-05,0.00641905396112892
"NTN3",327.244027912147,-1.55784017495986,0.38418308617587,-4.05494211227904,5.01467198815545e-05,0.00645127521932222
"ADAMTS19",58.6212289904809,-1.66163001583748,0.410080098616251,-4.0519645343541,5.07893653341981e-05,0.0064820935233273
"AMIGO2",75.791744201948,-1.44107830467439,0.356704108450305,-4.03998235662361,5.34552225571064e-05,0.00671795318128388
"CFD",27623.4716988422,-1.73076929558994,0.428418344718355,-4.03990472613342,5.34729187988519e-05,0.00671795318128388
"LOC112531347",143.171090549806,-1.8727838322947,0.464145535205203,-4.03490648997997,5.46240474675363e-05,0.0068093744753911
"LOC107051857",91.4702057984255,-0.915140190468315,0.227017104686767,-4.03115083214106,5.55044080235979e-05,0.00686589527251906
"MEIS1",508.719488372067,-0.626999581380722,0.156069041223833,-4.01745007506957,5.88312942128668e-05,0.00716716698664478
"TMEM168",760.420650501689,0.460271659713822,0.114539892604616,4.01843977017378,5.8584779725525e-05,0.00716716698664478
"RGS5",6808.90976359517,-1.43901690775846,0.358712987603201,-4.01161083509544,6.03058527699564e-05,0.00729156705559149
"CLEC3B",844.735280616473,-1.67684610751931,0.418422604800243,-4.00754186863267,6.1353987454227e-05,0.00736293636008526
"GDF10",32.1210475342778,-1.99946829787188,0.499276602795084,-4.00473061761421,6.20881936782297e-05,0.00739585364844157
"MSTO1",515.972582077854,-0.64486868364547,0.161378561233358,-3.99599970849271,6.44218128641414e-05,0.00761740568138425
"LOC422295",50.2300508259117,-1.12871700268013,0.283093760546783,-3.98707834641096,6.68919413712209e-05,0.00785174678241317
"PLPPR4",8.35522742355718,-2.3343183843847,0.585791842819377,-3.98489397385559,6.75102625060562e-05,0.00786690240115862
"ABCC10",731.218375008148,-0.63632359882637,0.159985029878767,-3.97739463066363,6.96744807067909e-05,0.00800310945889931
"PTCH1",396.654491301191,-0.735015002930449,0.184726484573759,-3.97893677577655,6.9224144751754e-05,0.00800310945889931
"NLK",1200.43744684495,0.412173952868353,0.103798690056529,3.9708974423847,7.16023995431295e-05,0.00810885104876663
"S100A10",1841.594543634,0.894273634728531,0.225207152084258,3.97089358154111,7.1603560035126e-05,0.00810885104876663
"NDE1",462.329237462336,0.53721175318497,0.1353829095159,3.96809135736499,7.24505613537735e-05,0.00814739494496526
"ARHGAP33L6",465.219511615283,-0.819244742358106,0.206966862206757,-3.95833774365141,7.54731852358588e-05,0.00839455616175658
"DNLZ",381.714802358402,-0.784843245556963,0.19847490226872,-3.95437023314085,7.67365061736346e-05,0.00839455616175658
"MX1",1648.89705826132,1.39402986485608,0.352387538305774,3.95595676157667,7.62289487517118e-05,0.00839455616175658
"SCARA3",85.5532791307164,-1.39784899587343,0.353443282806612,-3.95494571228922,7.65520324040555e-05,0.00839455616175658
"KCTD9",541.109350281151,-0.439894890815096,0.111403639938095,-3.94865815030404,7.85904873572267e-05,0.00848197065229237
"PDE2A",288.471880542311,-1.36834406658656,0.346441530788692,-3.94971140865084,7.82454756965869e-05,0.00848197065229237
"BOC",151.077115418939,-1.1605577576616,0.294167000356139,-3.94523436094649,7.97219674716762e-05,0.00854672639274683
"HTRA3",225.565495409122,-1.15852318368292,0.29400715830803,-3.9404591042955,8.13258147466409e-05,0.00856143215011613
"MPV17",240.92608172258,-0.600438521610723,0.152392683860178,-3.9400744602781,8.14563223038223e-05,0.00856143215011613
"SNED1",553.43773330034,-1.26555024557986,0.321145698771733,-3.94073546810727,8.12321680979441e-05,0.00856143215011613
"TAF13",685.115606998841,0.362242075745614,0.0919837902703572,3.93810773268766,8.21267214339675e-05,0.00857584290506254
"DPT",389.843749537456,-1.94337017196131,0.49400094763349,-3.93394017009687,8.35645923595439e-05,0.0086696916757021
"FOXK2",528.971833425688,0.393086132181232,0.100051274099483,3.92884684097455,8.53541774008162e-05,0.00879859312040081
