NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.6234257	2.688799	0.0	0.0	0.0	3137	tags=48%, list=17%, signal=58%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.64927506	2.671358	0.0	0.0	0.0	3516	tags=58%, list=19%, signal=71%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.6769689	2.6507807	0.0	0.0	0.0	4230	tags=73%, list=23%, signal=94%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.6022372	2.542498	0.0	0.0	0.0	3876	tags=61%, list=21%, signal=76%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.707563	2.5417724	0.0	0.0	0.0	2540	tags=65%, list=14%, signal=75%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.57663757	2.4628727	0.0	0.0	0.0	4052	tags=54%, list=22%, signal=68%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.54761624	2.3322954	0.0	0.0	0.0	4317	tags=55%, list=23%, signal=71%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		132	0.5479959	2.2530792	0.0	0.0	0.0	4467	tags=52%, list=24%, signal=68%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.5257827	2.2195725	0.0	0.0	0.0	2868	tags=39%, list=15%, signal=46%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.5562894	2.1748304	0.0	0.0	0.0	4044	tags=47%, list=22%, signal=59%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		142	0.50837207	2.1337173	0.0	0.0	0.0	3897	tags=49%, list=21%, signal=61%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.54264337	2.1240337	0.0	0.0	0.0	2503	tags=38%, list=13%, signal=44%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	0.46985105	2.0100145	0.0	0.0	0.0	4412	tags=45%, list=24%, signal=58%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.5008406	1.9669371	0.0	0.0	0.0	3380	tags=47%, list=18%, signal=58%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.50151676	1.8191055	0.002994012	4.925926E-4	0.003	2921	tags=40%, list=16%, signal=47%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.40256646	1.7124552	0.0	0.0014765266	0.009	3480	tags=40%, list=19%, signal=49%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		171	0.38164914	1.6275654	0.0	0.0054969597	0.035	3727	tags=37%, list=20%, signal=46%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.3819466	1.6164447	0.0	0.005741132	0.039	3708	tags=37%, list=20%, signal=45%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.3757642	1.6097584	0.0	0.005534205	0.04	3677	tags=36%, list=20%, signal=44%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		148	0.37440673	1.5663925	0.0	0.008087544	0.058	2059	tags=26%, list=11%, signal=29%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		169	0.33765984	1.4391915	0.008064516	0.026944786	0.189	3738	tags=31%, list=20%, signal=39%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		167	0.33453795	1.4142663	0.008403362	0.03262361	0.23	3923	tags=35%, list=21%, signal=44%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	0.33637628	1.4066801	0.011952192	0.033135246	0.245	3612	tags=37%, list=19%, signal=45%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.36652008	1.4062687	0.012307692	0.031754613	0.245	3356	tags=32%, list=18%, signal=39%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.40554333	1.3860033	0.045584045	0.036190152	0.285	3511	tags=40%, list=19%, signal=49%	
