"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MEP1A",1033.48857841806,-7.86876452763925,1.06983870168072,-7.35509429157629,1.90792388773227e-13,1.5927348614789e-09
"SLC7A9",1235.35376513092,-6.74201662847698,0.915979310163161,-7.36044641365976,1.83296205183972e-13,1.5927348614789e-09
"MGAM",2010.02965285376,-5.97901981608018,0.900427032264851,-6.64020470491773,3.13247802861649e-11,1.66237405790272e-07
"SLC34A2",230.961965457271,-8.20056177818202,1.24162137496069,-6.60472020179392,3.98268820772093e-11,1.66237405790272e-07
"FREM2",15.042274518825,-6.42981411141273,1.00239206029199,-6.41447031168597,1.41313324784858e-10,4.71873454121598e-07
"HNF4beta",114.468483874859,-5.10867192598927,0.803004214218204,-6.36194908511535,1.99209483184721e-10,5.54333588542018e-07
"SLC15A1",331.190346216029,-6.23972174422102,0.992407062036615,-6.2874620535407,3.22697853569588e-10,7.69680480456835e-07
"PCDH11X",14.533263520207,-2.90402302781052,0.473422360816087,-6.13410617699712,8.56393100930048e-10,1.78729240164101e-06
"LOC100858256",44.6924430092958,-4.48437669212033,0.737918788500051,-6.0770599177121,1.22406034616929e-09,2.27076794884917e-06
"PLACL2",4687.5541157734,1.83515175320701,0.304804485151467,6.02075048959683,1.7361020531799e-09,2.89859598798915e-06
"FCGBP",10638.389720057,1.7049882847376,0.29106974138848,5.85766241658907,4.69427645986452e-09,6.0902122180419e-06
"S100A10",2056.62414224927,1.37571563097541,0.234843068158573,5.85802102554072,4.68415359115563e-09,6.0902122180419e-06
"SLC6A19",834.204900111875,-6.61829538797967,1.13017702739573,-5.85598116715416,4.74201957561959e-09,6.0902122180419e-06
"MYO7A",16.8527262072445,-5.69448009060104,0.981098431770697,-5.80418835276659,6.46785382659668e-09,7.71337767777558e-06
"RSAD2",1558.35681916478,3.02565052854451,0.52737283432566,5.73721346950558,9.62469163851251e-09,1.07129234397737e-05
"LOC101747667",42.2578823781002,-3.50878615834773,0.613378355779419,-5.72042708270839,1.06256622413261e-08,1.10878785488238e-05
"SLC10A2",180.864063767314,-4.44067064330017,0.77999717782014,-5.69318809038582,1.24688894789936e-08,1.22459163965457e-05
"LOC422993",14924.4701183867,1.70540618176713,0.304160486621649,5.60692876549912,2.0594837295284e-08,1.80974422885295e-05
"SLC13A2",260.210318293068,-5.35353177126139,0.954392615863856,-5.60936000789959,2.03076189660229e-08,1.80974422885295e-05
"ENPEP",918.447285191621,-7.47834820186083,1.34965693346724,-5.54092526509617,3.00877613728865e-08,2.51172631940856e-05
"CDKN1A",865.858700025793,1.32135450848268,0.240065286509347,5.50414650820929,3.70960968585516e-08,2.94931634833513e-05
"SI",248.764211346024,-3.93298319055848,0.716665783699793,-5.48789028304718,4.06762572117359e-08,3.08695813821429e-05
"SLC16A9",405.052582812947,-2.49053782005695,0.456153394795956,-5.45986908893007,4.76485791710801e-08,3.3147528243348e-05
"STC2",134.246185801362,-3.39174405082684,0.620365553405149,-5.46733136972188,4.56861491423884e-08,3.3147528243348e-05
"SH2D4A",83.9407921333514,-3.13140573059761,0.576411516032502,-5.43258703807895,5.55428464551435e-08,3.56670524775029e-05
"SLC5A11",133.808283061161,-7.61516629008624,1.40579256828787,-5.41699142666607,6.0610245785973e-08,3.74795801349113e-05
"LPAR3",57.9010434703652,-1.44925361359741,0.269024773917202,-5.38706377295739,7.16180280171216e-08,4.27048069919236e-05
"ATF3",450.876232615216,1.53927523514424,0.28639153223794,5.37472327870848,7.67003847461442e-08,4.41582628869525e-05
"PDZK1P1",58.9232751216684,-1.94610511758161,0.363668060074855,-5.35132262421131,8.73136954087789e-08,4.85929819514991e-05
"TRANK1",1862.30957950348,1.69002668670282,0.317222681436029,5.32757203568254,9.95343082167921e-08,5.19320253121113e-05
"SCNN1A",4063.73081693726,1.79733928083611,0.33811794473357,5.31571692313574,1.06238201297797e-07,5.37500911778187e-05
"CPO",71.1074404787422,-5.97979858731194,1.12677497444886,-5.30700337060366,1.11442118017399e-07,5.47246353652498e-05
"HIST1H2BO",183.900191027967,1.51996619970783,0.288194914909101,5.27409097480863,1.33415716848457e-07,6.3643108814338e-05
"ACE",605.781081133972,-3.63801559191337,0.693048122576462,-5.24929723262037,1.52680553010474e-07,6.50599976191853e-05
"CYBRD1",351.067116966458,-2.68387285795285,0.512098260162126,-5.2409333652162,1.59766405269921e-07,6.50599976191853e-05
"GPRC5A",5597.68414029946,2.00767405021891,0.382781430703668,5.24496197876737,1.56314558936625e-07,6.50599976191853e-05
"LOC396365",258.84313407649,1.88608047161525,0.358316424216594,5.26372877196151,1.41162658569506e-07,6.50599976191853e-05
"MAMDC4",90.4174091112154,-3.30352225883725,0.630169622168195,-5.24227468704532,1.58609011908962e-07,6.50599976191853e-05
"SLC38A4",3929.82882964844,1.77287536635893,0.337138002063034,5.25860435640674,1.45152805557488e-07,6.50599976191853e-05
"HEY2",69.2976158177604,-1.81601457647484,0.346816707215577,-5.23623729391453,1.63883227824539e-07,6.5147485041869e-05
"SMIM24",988.489568514671,-2.50859280517003,0.479815744815394,-5.22824194969924,1.71129470829353e-07,6.6445991743416e-05
"LYG2",470.655023614571,2.85932328567253,0.551635983026429,5.18335165517211,2.17933577603173e-07,8.26958866286948e-05
"ACE2",922.675665881755,-5.26570296125206,1.01783047350842,-5.17345775972043,2.29801092029274e-07,8.52613118337947e-05
"HOXA9",825.110772770735,-1.07078890364723,0.210328460526892,-5.09103190773519,3.5612008687376e-07,0.000123870436884256
"MX1",1815.1302092676,1.80488719626954,0.354864319200852,5.08613320249866,3.65437442139797e-07,0.000124517214978899
"ALDOC",11863.2322508307,1.14605439161279,0.225742188075344,5.07682857769716,3.83786831405451e-07,0.000125700875393642
"CDKL2",182.879050687349,-2.54188179000035,0.500691896391322,-5.07673842600743,3.83968893452069e-07,0.000125700875393642
"ADM2",915.377952887846,2.00180789303804,0.398770644397327,5.01994798554801,5.16854729347673e-07,0.000162818991720543
"SLC16A1",2617.05940740348,1.08190036018489,0.215820546406059,5.01296275169895,5.35982755005027e-07,0.000165717927362295
"FABP4",15.8521214430326,-2.80039679317141,0.560522135060231,-4.99605032167106,5.85163971431772e-07,0.000166603016150793
"HMCN1",105.382276475281,-2.4702093682189,0.493945054443506,-5.0009800604278,5.70396122754864e-07,0.000166603016150793
"RGS13",26.0967358166933,-1.89170130385904,0.377991970093811,-5.00460711741985,5.59760786106631e-07,0.000166603016150793
"MUC13",35419.7014636229,1.52818101626284,0.306633695684541,4.983734787696,6.23685519336692e-07,0.00017355089051409
"MEP1B",211.948897116222,-3.85597425658832,0.774483344019017,-4.97876976485842,6.39897077288388e-07,0.000175142977088638
"SLC9A3",117.750401838629,-4.73378381932043,0.951493378562483,-4.97510957614044,6.52107414926212e-07,0.00017560621612271
"CLDN10",181.929954433453,-5.43944915694468,1.09514249005222,-4.96688714606015,6.80361539244245e-07,0.000180306607289237
"NEGR1",31.0852658333779,-2.16714087464656,0.436910453326032,-4.96014883175477,7.04391905698606e-07,0.000181006676343731
"TTC12",94.290134812422,-1.1345245123724,0.230185454348829,-4.92874111260356,8.27611534454223e-07,0.000203202973224231
"RHOC",1592.05583485842,1.36881904985004,0.2784678439986,4.91553721318329,8.8539329452892e-07,0.000211178949220783
"LOC124418141",30.2235336038395,-1.94452354633152,0.398406908574275,-4.88074755854543,1.05684454756793e-06,0.000248522205157664
"TPD52",3909.88792725451,1.03514498689507,0.212873673409185,4.86271961354901,1.1578380344234e-06,0.000268489775315738
"EMP1",2997.56309574294,1.58777365462596,0.328079399024217,4.83960181391567,1.30099528151781e-06,0.000294589254509818
"PPFIA2",44.9576405850478,-2.4583134601552,0.508032763223469,-4.83888764290948,1.30567829622224e-06,0.000294589254509818
"PLAC8L1",13123.8265573545,1.38101364837143,0.285986567554248,4.82894584938667,1.37257724148549e-06,0.000305553994984558
"PERPB",630.831167596424,1.55565306305561,0.322953574009659,4.81695571205875,1.4576502534707e-06,0.000320222745157195
"LOC121113175",59.6348300378748,-1.57887426160958,0.32849879900382,-4.80633191475145,1.53724609081942e-06,0.00033332286665352
"EIF2AK2",815.623246727406,1.16653971131997,0.244709716977359,4.76703469616575,1.86957123753942e-06,0.000384138720223735
"SLC1A1",423.41438025914,-2.19748686217121,0.460813178108629,-4.76871532014474,1.85404438639911e-06,0.000384138720223735
"AVD",13423.1431521647,2.43679079544992,0.512578478829369,4.75398577212038,1.99445079424101e-06,0.000391757064242917
"CHST4",1336.29660251435,1.70481721545654,0.358568713005982,4.75450632924601,1.98931909906363e-06,0.000391757064242917
"LY6EL",438.959697579581,4.70072446436734,0.991566564243921,4.74070489453392,2.129759496287e-06,0.000408717983333422
"PRKG2",95.1955301917397,-2.84277408194986,0.600206076228482,-4.73633006152323,2.17623060116673e-06,0.000412890296784997
