"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BTN3A3L2",29.3283549177658,-1.41798301735296,0.306814503319552,-4.62162968833356,3.80737198784029e-06,0.0692713259467663
"NOL7",511.21719666438,-0.466361064421269,0.106996515768679,-4.35865655129855,1.30863294377644e-05,0.089306888393207
"PI3",152.111289360454,-1.97764576049356,0.456441141572532,-4.33275088586486,1.47257703187656e-05,0.089306888393207
"MHCY11",119.441117032425,2.93913200218455,0.699496522775431,4.20178214828401,2.64821918765795e-05,0.0945943755681514
"S100A12",170.921818963569,-1.80052618702693,0.426107831611235,-4.22551770573807,2.3839207901794e-05,0.0945943755681514
"ZDHHC2",52.291775768493,1.16339867392736,0.27935686802688,4.16456084342775,3.11952431245965e-05,0.0945943755681514
"LOC121107823",3.56252879265178,4.05127748909568,1.03489365395901,3.91467999982164,9.05241847889858e-05,0.235285288292972
"LOC107049819",14.5799769223068,3.73579593206338,0.98262448022642,3.8018551412464,0.000143616691993379,0.326620261765942
"PCMT1",515.809223357911,-0.214661019690797,0.0580760171343194,-3.6962076651077,0.000218843987022113,0.442405277764481
"LOC107054473",7.71344846046392,-3.25930007609799,0.900500391638305,-3.61943215834505,0.000295250202275428,0.481050696425931
"LOC124417284",14.7628382467999,1.64058612296992,0.455621405147454,3.60076612827041,0.000317280881450543,0.481050696425931
"PLB1",125.978983549446,1.51043953603276,0.417957215217233,3.61386161319816,0.000301670118819833,0.481050696425931
"SIRT5",618.406721326628,-0.532187264979917,0.150281811492296,-3.54126197771577,0.000398217972159749,0.55732136811342
"CUTAL",29.9802956263915,1.28270218639396,0.371962619977031,3.44847067286808,0.000563770688550435,0.732660279106187
"LOC112531723",3.64805908353914,-1.76222040424842,0.518838713356318,-3.3964705386936,0.000682609051843916,0.827959272616547
"GBX2",2.7431490639624,2.09711915177071,0.623913925410702,3.36123151986108,0.00077595753505219,0.830457140749385
"SLC16A9",337.08471361419,1.59634637059785,0.474032094708747,3.36759132644525,0.000758279071138175,0.830457140749385
"LOC121110770",19.0928839794173,1.58927323750546,0.475100105356026,3.34513341417701,0.000822429991895413,0.831293959585842
"APOA4",19.3907925605592,2.50288376989547,0.759365119315836,3.29602151353817,0.00098064505364432,0.86129843271702
"LOC100859740",11.578538097396,2.8719927471949,0.87236763134712,3.29218169495805,0.000994133620262581,0.86129843271702
"LOC112530313",18.2040742609424,-1.0058773928291,0.30490874574474,-3.29894569069263,0.000970486851041302,0.86129843271702
"A1CF",571.401360893522,0.215935631965093,0.249481543581726,0.865537501752536,0.386743841792844,0.999847884748191
"A2M",1.10148772500527,-1.98311819325252,1.41508296214719,-1.40141479072253,0.161090071852374,0.999847884748191
"A2ML1",64.7131201643287,0.00633455951773982,0.297994781364081,0.0212572833951761,0.983040419044232,0.999847884748191
"A2ML2",2.30077980410121,-0.0479067611633189,0.74095252109585,-0.064655642297385,0.948448181200676,0.999847884748191
"A2ML4",61.5304001037702,0.137091357994838,0.216379678766666,0.63356854384959,0.526362434968684,0.999847884748191
"A4GALT",144.420239989795,-0.0494241126539496,0.496539549029617,-0.0995371118988179,0.920711823160191,0.999847884748191
"AAAS",1261.87372383078,-0.139116223164185,0.212991912124181,-0.653152609302252,0.513657898727458,0.999847884748191
"AACS",1990.82963471222,0.176413565628592,0.20844407429637,0.846335239915542,0.397365754247925,0.999847884748191
"AADAC",610.620351621021,0.120819778179588,0.371642624284325,0.32509666621866,0.745107912014325,0.999847884748191
"AADACL3A",1.48646101182443,0.394641319311688,1.12297541037135,0.351424720138071,0.725269739593914,0.999847884748191
"AADACL3C",13.2464691689052,-1.36174724611019,0.500582895745975,-2.72032316262204,0.00652181445919325,0.999847884748191
"AADAT",108.832897175726,0.304615942949843,0.278888715891295,1.0922490785485,0.274723635732753,0.999847884748191
"AAED1",261.32603821822,0.0175448174561394,0.171689165081685,0.102189427316465,0.91860631960181,0.999847884748191
"AAGAB",1155.24071942159,0.0300767492885625,0.116860286805534,0.25737357070339,0.796890403352221,0.999847884748191
"AAK1",765.9097903371,0.00693720956086579,0.0800870986617601,0.0866208125501512,0.930972922056545,0.999847884748191
"AAMDC",175.415241902555,-0.0937115879655456,0.165457487905697,-0.566378645969512,0.571136407844991,0.999847884748191
"AAMP",1159.01546701513,0.0332237750131965,0.10991719315933,0.302261857842724,0.762452452271151,0.999847884748191
"AANAT",7.38051117764793,-0.08586616890112,0.452548000784451,-0.189739361906977,0.849513374707595,0.999847884748191
"AAR2",355.69213048056,-0.0996983991667746,0.15864433121799,-0.62843972048255,0.52971592347789,0.999847884748191
"AARS1",2054.24855897463,-0.217469085956402,0.128877584394171,-1.68740814765177,0.0915248982400396,0.999847884748191
"AARS2",381.732125647095,-0.125263071431678,0.115642371856293,-1.08319355112623,0.278722521562965,0.999847884748191
"AARSD1",953.884758524385,-0.110128070723304,0.103051108059231,-1.06867429955247,0.285216456077368,0.999847884748191
"AASDH",124.257512902607,0.0941638833603499,0.220590547769176,0.42687179624252,0.6694727091112,0.999847884748191
"AASDHPPT",60.1829651935515,-0.114977002585759,0.173714728450161,-0.6618725056393,0.508052933699173,0.999847884748191
"AASS",149.829042082223,0.1239537349523,0.405097861421403,0.305984668784407,0.759616318841569,0.999847884748191
"AATF",157.44988285715,-0.166708993543218,0.26399441408687,-0.631486821870255,0.527722263116868,0.999847884748191
"AATK",54.8060956973769,-0.227790905912338,0.35849127576035,-0.635415479579523,0.525157474922637,0.999847884748191
"ABAT",721.238204681586,0.175613499007439,0.225252808065931,0.779628456201256,0.435609601276286,0.999847884748191
"ABCA1",376.00948697905,-0.0748282074304549,0.402580526133847,-0.185871403540211,0.852545608063303,0.999847884748191
"ABCA12",2.87189393360596,-0.478936412750243,0.628191898049332,-0.76240463182897,0.445818542658049,0.999847884748191
"ABCA13",48.5960207784332,0.935922487351352,0.547917180557902,1.70814590336148,0.087609273276789,0.999847884748191
"ABCA2",2084.47700783032,0.0201035021781781,0.247576293352251,0.0812012406598834,0.935281912872435,0.999847884748191
