NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	0.40924248	1.7252747	0.0	0.027264785	0.018	2760	tags=27%, list=15%, signal=32%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.40474218	1.6311964	0.0033003301	0.027948515	0.036	1740	tags=21%, list=10%, signal=23%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.4054991	1.6094095	0.0032786885	0.026318545	0.052	3529	tags=34%, list=19%, signal=43%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.39025754	1.5326743	0.010600707	0.03537189	0.094	3913	tags=36%, list=22%, signal=45%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.3227683	1.4084885	0.012765957	0.095347695	0.281	3457	tags=26%, list=19%, signal=32%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.32930967	1.2993634	0.07348243	0.19205251	0.569	5694	tags=46%, list=31%, signal=66%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		131	0.30480623	1.2699958	0.05019305	0.20478864	0.646	2879	tags=26%, list=16%, signal=31%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	0.3874267	1.2555411	0.12465374	0.20158622	0.687	1691	tags=19%, list=9%, signal=21%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.30623242	1.1144087	0.26530612	0.4959161	0.949	4193	tags=35%, list=23%, signal=45%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		47	0.28981918	1.0245148	0.43235293	0.78071237	0.997	4388	tags=36%, list=24%, signal=48%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.23952062	1.0096762	0.42372882	0.7762303	0.999	3634	tags=25%, list=20%, signal=31%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.22463189	0.98406035	0.48	0.81987137	0.999	2983	tags=19%, list=16%, signal=22%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		176	0.22233027	0.97810763	0.53669727	0.7788414	0.999	4972	tags=38%, list=27%, signal=52%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		164	0.22284651	0.96227014	0.5714286	0.782761	0.999	3469	tags=21%, list=19%, signal=25%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		156	0.22851233	0.96013486	0.57751936	0.7370837	0.999	2926	tags=21%, list=16%, signal=24%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.21454841	0.94111806	0.6351931	0.75287217	0.999	4191	tags=25%, list=23%, signal=32%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		153	0.22052665	0.93133426	0.6573705	0.73966306	0.999	4220	tags=26%, list=23%, signal=34%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	0.2921561	0.92948383	0.5794872	0.70418876	0.999	3962	tags=37%, list=22%, signal=47%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		122	0.203517	0.8480958	0.8769231	0.8701661	1.0	2872	tags=18%, list=16%, signal=21%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.22000246	0.7387601	0.8952381	0.95852333	1.0	5275	tags=49%, list=29%, signal=68%	
