"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL9A1",20.2256143869087,-3.80852303514709,0.882686487649636,-4.31469506833416,1.5982335577742e-05,0.0974815921338411
"CUTAL",76.7403538137172,-2.4009765279852,0.555758814245587,-4.32017714598804,1.5590399724031e-05,0.0974815921338411
"MHCY36",13.6061775585335,-3.52357595100318,0.781783589292019,-4.50709889445763,6.57200073997057e-06,0.0974815921338411
"TM4SF4",139.777292664648,-1.90476585862696,0.454472414237535,-4.19115836067317,2.77533855266229e-05,0.126957862091536
"NELL2",13.3419550700204,2.35188634310165,0.582778464287996,4.03564388051821,5.44527572979198e-05,0.199275310607467
"PI3",287.698858474972,-2.53054853527109,0.645369657948317,-3.92108383792927,8.81515843253008e-05,0.268832948330726
"C1orf21",746.448786013115,-0.547854917902716,0.147135871522562,-3.72346262154506,0.000196508965796371,0.299643421345166
"GFI1B",16.7284585357474,-1.55131815247049,0.414326399356602,-3.74419335789245,0.000180974248121961,0.299643421345166
"LOC121106934",22.0136745034038,-1.20282919985442,0.321802083289163,-3.737791836399,0.000185643547360475,0.299643421345166
"RGS13",19.3137923315115,-1.84180037168446,0.486232953677586,-3.78789705172006,0.000151927772718045,0.299643421345166
"S100A12",410.942156670254,-2.50885669454852,0.659081523447516,-3.80659539873796,0.000140892959868631,0.299643421345166
"YLEC8",16.430832652573,-3.39880983316717,0.906362295877823,-3.7499461844619,0.000176872524483939,0.299643421345166
"KBTBD11",99.1224393349849,-2.16766637686931,0.591618719397044,-3.66395840057008,0.00024834713739334,0.302950394668222
"MYRF",112.00995091269,-2.5774110316591,0.701127472256916,-3.67609476685097,0.000236831575720828,0.302950394668222
"VWA3A",6.53006728716561,1.3318378656271,0.360038538802123,3.69915362410431,0.000216319641490201,0.302950394668222
"HTATIP2",609.824182867597,-0.646366290981531,0.177732608567671,-3.63673439663397,0.000276116383689878,0.315773599297337
"LOC121110044",10.2368956398675,1.28655183602563,0.36076946219051,3.56613286560892,0.000362287746291175,0.368285621201996
"LOC121113201",25.6514728166353,-1.30365530613784,0.364486796522786,-3.5766873274279,0.000347975978240627,0.368285621201996
"FADS6",47.2278030702249,-0.935511088336946,0.26509034855873,-3.52902734265215,0.000417090033968473,0.40167965481869
"H1FOO",7.79315065548555,-2.0148247988006,0.580192276693406,-3.47268462497183,0.000515280464887369,0.471430097325454
"LOC101748003",59.63589824974,-2.0795157179689,0.602578238451262,-3.45103023188099,0.000558451010454761,0.486596980442915
"SLC2A5",149.728415376771,-1.8998750592116,0.554031741979856,-3.42918088487551,0.0006054058993999,0.503532597600881
"ADAM12",5.99034848161229,1.7346132483587,0.522965095187812,3.31688149805821,0.000910282168154821,0.510382696337637
"APOA4",139.327683151658,-3.77164931951433,1.14821447635014,-3.28479512948085,0.00102056550649332,0.510382696337637
"ASPDH",3.35065028178786,-4.09231124902494,1.24703041291636,-3.28164510395097,0.001032034089217,0.510382696337637
"BTBD11",236.557137585587,-0.457084461412411,0.137395219640705,-3.32678576887688,0.000878538868912216,0.510382696337637
"CLSTN2",11.2439646103603,-1.39287216250379,0.4231455375479,-3.29170944487655,0.000995804356850949,0.510382696337637
"LOC100859272",789.238150112385,-1.44323571158794,0.428018571828696,-3.37189974122329,0.000746516183150296,0.510382696337637
"LOC101748065",19.3461006759135,-0.83534706124128,0.248860135454281,-3.35669294608555,0.000788806611368084,0.510382696337637
"LOC121106942",4.58796228851239,-4.10140660608755,1.22540824134374,-3.34697161950706,0.000816995742688292,0.510382696337637
"LOC121113364",12.1451435879619,-1.03323470973659,0.30487831148123,-3.3890069277696,0.00070146238269518,0.510382696337637
"LOC124416957",3.06683073762174,2.11823506738938,0.634064665977603,3.34072403186745,0.000835602350112834,0.510382696337637
"RORC",74.4124358306905,-0.773522732023352,0.233481773347352,-3.31298979330853,0.000923043483587486,0.510382696337637
"SELE",81.9190613072214,-1.40364571506553,0.418854913942928,-3.35115016761338,0.00080476649092309,0.510382696337637
"SGK2",61.0939149928037,-1.31135704819597,0.397037448065484,-3.30285481781477,0.000957059240306132,0.510382696337637
"SLC5A5",2.44158338156157,-3.25374457276928,0.966872216059984,-3.3652270886719,0.000764806848630089,0.510382696337637
"ZPR1",855.178942184271,-0.35961737737205,0.109070516340094,-3.29710896619139,0.000976855943625625,0.510382696337637
"LOC121107540",329.840508018939,-0.858543897972843,0.263498580310718,-3.2582486666928,0.00112102127851435,0.538621386874422
"TGM3",19.2102944890677,-0.771228318898688,0.237192078404666,-3.2514927314854,0.00114800710941646,0.538621386874422
"SLC5A9",320.310206496141,-1.82415605780442,0.565031453833077,-3.22841506509002,0.00124478217359974,0.569425605313202
"CFAP65",40.5016567031231,-0.999056171484183,0.321727992601316,-3.10528208442904,0.00190097637229503,0.570230584594334
"DND1",6.32276692325957,-1.13925955971034,0.366658176771776,-3.10714347008675,0.00188904695425475,0.570230584594334
"FER1L6",363.419535624502,-1.27835446216623,0.398760653598356,-3.20581895588382,0.00134678694877629,0.570230584594334
"HEXDCL",157.25234118857,-1.23528659620563,0.387291973686027,-3.18954866130809,0.00142495146862345,0.570230584594334
"J6367_mgp10",304245.989775494,-0.919136779098277,0.290046202955666,-3.16893229331041,0.00153000032361258,0.570230584594334
"LOC101747532",8.55166478128431,-1.9924052630712,0.632901076628936,-3.14805162551387,0.00164362662430625,0.570230584594334
"LOC101747727",1.54899517527842,3.23419797264226,1.0160361214387,3.18315255176428,0.00145680837999333,0.570230584594334
"LOC101751658",5.99855407810321,-3.40568753555807,1.08525541021324,-3.13814379869242,0.00170021443832561,0.570230584594334
"LOC107052763",174.468067842841,-0.834303589073171,0.26167130968755,-3.18836478507857,0.0014307990957861,0.570230584594334
"LOC112530505",23.7393634286542,-1.43831429623344,0.462939960607828,-3.1069132471195,0.00189051869270029,0.570230584594334
"LOC121107312",19.3930541795123,-1.23015587188151,0.391199121235336,-3.14457728840725,0.00166326969758765,0.570230584594334
"LOC121107494",58.6144170359803,-0.680215002374979,0.216844604212744,-3.13687769564065,0.00170757341874133,0.570230584594334
"LOC121109046",4.72931848902422,-3.02482509644059,0.969751553394687,-3.11917530407862,0.00181358024377535,0.570230584594334
"LOC121109583",1.3177577435968,2.71972376507892,0.857733371937439,3.1708265692585,0.00152005866216066,0.570230584594334
"LOC420486",3306.51231788729,-1.57147260136949,0.489159998406882,-3.21259425645501,0.00131541977507989,0.570230584594334
"LOC421415",61.4926341352083,-0.803602582527186,0.257987890090163,-3.11488489729629,0.00184016701677478,0.570230584594334
"MMP1",71.1665406067234,-1.88185769922115,0.584623729116308,-3.21892117185474,0.00128673852829492,0.570230584594334
"MYO5B",16.4194875768081,-2.0944476976272,0.67108829309207,-3.12097188877626,0.00180255240415737,0.570230584594334
"NR1I3",266.874704493608,-1.22283391954804,0.390763212908501,-3.12934759248787,0.00175194929863772,0.570230584594334
"SLC8B1",1164.36288363006,-0.474693224650969,0.149838237500631,-3.1680379625993,0.00153471478924096,0.570230584594334
"SUSD2",20.1261106176878,-5.29308993802126,1.68345375476907,-3.14418493708332,0.00166550147895541,0.570230584594334
"STOML3",3.45393334294068,-1.5814010192607,0.511421975742337,-3.092164776387,0.00198702518542976,0.586428820048287
"ABCB1",1156.48970944501,-1.71450508073463,0.561619473779218,-3.05278780523311,0.00226726199178149,0.587628287750373
"CERS6",19.5553794875487,1.15713027897383,0.380213039370526,3.0433734752747,0.00233941794117268,0.587628287750373
"HIPK2",1666.80165968443,-0.489903252785352,0.160901381842255,-3.04474235818339,0.0023287971311774,0.587628287750373
"INSL5",589.97901598087,-1.03097296003314,0.338300368550696,-3.04750764668067,0.0023074765519451,0.587628287750373
"LOC107055072",13.0378930935062,-0.99525108606687,0.32704700275605,-3.0431438835391,0.0023412036217879,0.587628287750373
"LOC121107490",1.53192353811803,3.27518538847664,1.07560112499583,3.04498137122098,0.00232694722507831,0.587628287750373
"MKRN2OS",88.3321883375613,-0.502437998709803,0.164999221485581,-3.04509314762863,0.0023260825632413,0.587628287750373
"MUC2",10527.7238972872,-1.8478246383398,0.601096663837243,-3.07408899351358,0.0021114643679056,0.587628287750373
"SLC22A13L",72.0042542125233,-3.14675340886879,1.02075914657059,-3.08275798403652,0.00205091874177203,0.587628287750373
"SMIM24",1117.14729312729,-1.97029648867516,0.643559703348033,-3.06155975649961,0.00220187036645152,0.587628287750373
"ZRSR2",383.832597228422,-0.212747980403514,0.0699198663061196,-3.04274009152236,0.00234434719673064,0.587628287750373
"LOC121111686",23.7502720750839,0.980873131499342,0.322826440556638,3.03839155742032,0.00237844690934218,0.588119210096531
"LOC107049269",258.866823837444,-0.613081286782502,0.202278181944168,-3.03088193145676,0.00243840577708917,0.588502519950324
"LOC107049516",8.22620250656802,1.60798458610679,0.531354347621097,3.02620011166904,0.00247648344279019,0.588502519950324
"TTC36",5.50032381234866,-1.3958996775633,0.461053245197156,-3.02763225745518,0.00246477830703399,0.588502519950324
"CCL20",200.119202180017,-0.926290120304694,0.306559981202989,-3.02156242530348,0.00251473781559518,0.589931699355905
"GSTM2",2087.14035183089,-1.01941143571514,0.340262463312716,-2.99595619743179,0.00273585729977618,0.592710675133404
"LOC101751866",41.1224691801589,-0.914047404405301,0.303101948195512,-3.01564344883626,0.00256434608103981,0.592710675133404
"LOC112530948",5.72195811917233,1.15970448888587,0.385587131393025,3.00763276174741,0.00263291093025308,0.592710675133404
"LOC112531855",2.63205906470272,2.34417945858916,0.785283568910865,2.98513753680136,0.00283450844695488,0.592710675133404
"LOC121110397",1.3005997259837,2.97631558903829,0.997280751858011,2.98443099748309,0.00284106273241181,0.592710675133404
"LOC124417242",21.5085332519707,-1.60855136602395,0.5363670658362,-2.99897489700678,0.00270889624958302,0.592710675133404
