NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	-0.46492952	-1.5447974	0.0036188178	0.18664633	0.185	3314	tags=32%, list=18%, signal=39%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	-0.4216564	-1.4937413	0.0055309734	0.17559384	0.323	3832	tags=30%, list=21%, signal=38%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	-0.4239822	-1.4890561	0.0022222223	0.12472359	0.341	4342	tags=36%, list=24%, signal=47%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	-0.4402035	-1.4842379	0.010625738	0.10119173	0.363	5027	tags=47%, list=27%, signal=64%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	-0.41586527	-1.4602067	0.011235955	0.10359364	0.443	4428	tags=34%, list=24%, signal=45%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		164	-0.41221583	-1.4542338	0.0055617355	0.092181884	0.467	3068	tags=23%, list=17%, signal=28%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.48594025	-1.3958815	0.083106264	0.1465174	0.71	1544	tags=27%, list=8%, signal=29%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		132	-0.3959469	-1.372162	0.025	0.16151671	0.795	1939	tags=18%, list=11%, signal=20%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		108	-0.39989507	-1.3649105	0.044258375	0.15397984	0.812	3206	tags=25%, list=18%, signal=30%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	-0.36888933	-1.2971936	0.058114037	0.26751044	0.965	5563	tags=39%, list=30%, signal=55%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	-0.3612839	-1.2824806	0.051569507	0.2763495	0.974	5420	tags=38%, list=30%, signal=54%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		141	-0.36165932	-1.2612556	0.08208092	0.3026984	0.991	5218	tags=39%, list=29%, signal=54%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.4434192	-1.258531	0.14494681	0.28490672	0.991	3227	tags=34%, list=18%, signal=42%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	-0.347821	-1.2410307	0.0845225	0.30706412	0.999	3346	tags=21%, list=18%, signal=26%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	-0.3517252	-1.2246819	0.11577752	0.32695594	0.999	1962	tags=17%, list=11%, signal=19%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		155	-0.34574327	-1.2192867	0.11173184	0.31852838	0.999	3395	tags=18%, list=19%, signal=22%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	-0.33947998	-1.1889375	0.15242495	0.3706673	0.999	5944	tags=43%, list=32%, signal=64%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	-0.33856687	-1.1795831	0.16878612	0.371839	0.999	4261	tags=31%, list=23%, signal=40%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.42668512	-1.1633588	0.26200274	0.39411807	1.0	3581	tags=31%, list=20%, signal=39%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		121	-0.33904707	-1.1540112	0.20997679	0.3985271	1.0	5669	tags=39%, list=31%, signal=56%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	-0.3467239	-1.1488447	0.22777101	0.392649	1.0	6453	tags=38%, list=35%, signal=58%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		149	-0.32538563	-1.1483501	0.1962096	0.37603393	1.0	3212	tags=22%, list=18%, signal=27%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.31997687	-1.1403275	0.20575221	0.37903273	1.0	7002	tags=45%, list=38%, signal=72%	
