"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CUTAL",69.4740588351005,-2.82224341185858,0.547890770602716,-5.15110595630937,2.58954828473356e-07,0.00470365550439004
"MHCY11",135.729865395105,-3.24201966112788,0.70039616290111,-4.62883698234312,3.67725093284138e-06,0.0333967929720654
"APOA4",125.335503765073,-5.44605639093657,1.20975264652806,-4.50179332656682,6.73824884203685e-06,0.0407978506555858
"LOC121107490",2.83080223506255,4.30670287063812,1.0838364524337,3.97357263724397,7.08025527275996e-05,0.32151439193603
"APOD",22.3130570136513,-0.971125196620611,0.265224735519713,-3.6615182016024,0.000250725044314222,0.910833940984704
"A1CF",518.579320042612,-0.108100277069993,0.340723453171359,-0.31726690975871,0.751041083508998,0.999774961593535
"A2M",2.78059873880671,-1.20675303089623,1.54362480841404,-0.781765766084102,0.434352243448068,0.999774961593535
"A2ML1",59.5010131070312,0.0646824403775471,0.362280683928598,0.178542338156498,0.858297074264246,0.999774961593535
"A2ML2",4.60769287239279,-1.64709304030688,0.770640937631364,-2.13730280845108,0.0325733705882471,0.999774961593535
"A2ML3",0.342172538519802,-0.361474244531858,1.55588544149501,-0.232327030571433,0.816284019368453,0.999774961593535
"A2ML4",54.3854395375495,0.050012086247754,0.215525425366617,0.232047268495963,0.816501300645014,0.999774961593535
"A4GALT",148.643142524836,-0.199344864830234,0.514729543047137,-0.387280791481554,0.698548344344043,0.999774961593535
"AAAS",1236.16032064191,0.0254558428169611,0.222564807543052,0.114374968342814,0.908940556131388,0.999774961593535
"AACS",1625.46004955702,0.245057669505588,0.262065978087962,0.935099135315208,0.349737212146702,0.999774961593535
"AADAC",625.534958093304,-0.340793531541068,0.520117746374962,-0.655223810216589,0.512323666482354,0.999774961593535
"AADACL3A",2.41885906175966,-1.59251195813955,0.913435164447679,-1.74343184948708,0.0812582089650771,0.999774961593535
"AADACL3C",13.6053264412119,0.969303287155624,0.576888081484831,1.68022761825963,0.0929130377526056,0.999774961593535
"AADACL4B",0.999044338208607,1.57490434287422,1.61045126176771,0.977927355060424,0.328110254562068,0.999774961593535
"AADAT",95.7303179751702,-0.119798790236556,0.319270831218957,-0.375226229653275,0.707492224494685,0.999774961593535
"AAED1",248.972662314604,-0.0446253165898794,0.152980587253899,-0.291705747709124,0.770511614233303,0.999774961593535
"AAGAB",1057.31445277469,0.056703820923037,0.127022589243162,0.446407377308989,0.655303004802172,0.999774961593535
"AAK1",724.928035989228,-0.0177050614097045,0.082565154754803,-0.214437452001197,0.830205938382491,0.999774961593535
"AAMDC",163.82526037022,0.12248371652972,0.156639206830023,0.781948012943103,0.434245126556242,0.999774961593535
"AAMP",1101.81137721512,-0.0560605980455047,0.118145694937504,-0.474503942569885,0.635140587178591,0.999774961593535
"AANAT",8.36158873986747,-0.426106363111776,0.374603320776408,-1.13748688139929,0.255334805628423,0.999774961593535
"AAR2",357.731994063063,-0.0864113261145588,0.145618575951634,-0.593408674338771,0.552907685092644,0.999774961593535
"AARS1",2050.59578060255,0.0457060633470807,0.15973992290086,0.286127991782289,0.774780093039527,0.999774961593535
"AARS2",381.067463809438,-0.0376850941058015,0.0946039955262374,-0.398345692443296,0.69037538360716,0.999774961593535
"AARSD1",965.523430423813,-0.0949392339663233,0.109511084466216,-0.866937209407439,0.385976414513642,0.999774961593535
"AASDH",112.618309364252,0.0213168049216796,0.222783369573463,0.0956840044321636,0.923771545217986,0.999774961593535
"AASDHPPT",61.4627061145791,-0.103923342431992,0.175484934637834,-0.592206633842781,0.553712227723855,0.999774961593535
"AASS",148.907801993453,-0.267244597813354,0.419238341437673,-0.637452664507987,0.523830033564781,0.999774961593535
"AATF",161.473953287676,-0.0797027331774615,0.26768136163986,-0.297752270420284,0.765892245720281,0.999774961593535
"AATK",59.6745398791095,-0.19036216740689,0.444658995155668,-0.428108212092385,0.668572338226084,0.999774961593535
"ABAT",670.10824442455,-0.132607086174134,0.313165024752489,-0.423441558580626,0.671973129050504,0.999774961593535
"ABCA1",386.053552984516,-0.169855208104785,0.421709939432228,-0.402777341064027,0.687112031698587,0.999774961593535
"ABCA12",3.00147068294243,0.216548637189196,0.649420497143348,0.333449033625738,0.738795355348069,0.999774961593535
"ABCA13",29.0466757883135,0.244495486138283,0.51341297726979,0.476216022895355,0.633920485507869,0.999774961593535
"ABCA2",2118.23080927596,-0.227162684260642,0.260834835880298,-0.870906232650962,0.383805353405483,0.999774961593535
"ABCA3",8585.28703465822,0.245754117686818,0.26827807351238,0.916042501980608,0.359644603262778,0.999774961593535
"ABCA4",13.1868199061929,-0.329859974683014,0.36857717565624,-0.89495496864587,0.370811160601824,0.999774961593535
"ABCA5",635.46969120805,-0.201365100593411,0.203397502244289,-0.990007735451754,0.322170338096602,0.999774961593535
