"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SCNN1A",6590.07312708714,1.65246423747055,0.305049489492757,5.41703656091445,6.05949536264231e-08,0.000766526163374252
"MCM9",63.7962173624314,-1.08881261477851,0.220242206930576,-4.94370552290061,7.66514603941038e-07,0.00484820486992706
"ALAS1",2767.34224260688,0.813158425187576,0.169495439012482,4.79752393294602,1.60639020580747e-06,0.00523007961171767
"LOC112533600",143.891671900159,-2.16217926074263,0.451234723813489,-4.79169520126809,1.65378011437713e-06,0.00523007961171767
"LRRCC1",105.715877905236,-0.710623676007797,0.151615731090024,-4.68700490970726,2.7723231880907e-06,0.00584498138822457
"PLIN2",2442.90151729681,1.19190092411422,0.252785678134082,4.71506508166186,2.41633502074128e-06,0.00584498138822457
"PI3",184.964293222786,-2.19500591488467,0.472479029755632,-4.64572134771767,3.38890186428853e-06,0.00612422979760712
"NEK2",197.492410960343,-1.02131426516474,0.221304135270999,-4.61498048337004,3.93132257728623e-06,0.00621640382533385
"NPTX2",933.387062457627,2.08057004860299,0.460988768000538,4.51327709702584,6.38335337643836e-06,0.00897215780132726
"CBS",121825.971453874,1.1172426538932,0.251106474841701,4.44927855642718,8.61592119730729e-06,0.00909849742349116
"CCSAP",72.9722721451167,-0.982781609247045,0.225152472679132,-4.36496032023428,1.27145836206702e-05,0.00909849742349116
"CXCL13L3",82.6943181595776,-1.62436291318312,0.369059381983985,-4.40135921880889,1.07574856350547e-05,0.00909849742349116
"FAM234A",4059.6784259932,0.877874769801219,0.197624504267692,4.44213521523674,8.90705555292969e-06,0.00909849742349116
"FSTL3",316.002756363753,1.24643296312382,0.281728991253799,4.42422683436562,9.67882839264258e-06,0.00909849742349116
"INA",350.587809389452,1.72746225484977,0.396115383714944,4.36100774135271,1.29464785472601e-05,0.00909849742349116
"MPZL2",698.182431462458,0.645565020804491,0.147444340977765,4.37836417812634,1.19573423368198e-05,0.00909849742349116
"PPIG",1125.60633102623,-0.378780918071568,0.0867341690804038,-4.36714759693418,1.25879666594966e-05,0.00909849742349116
"S100A12",219.973841207873,-2.12504267716392,0.476231752994903,-4.46220283254961,8.1121383764919e-06,0.00909849742349116
"FBXO22",960.685772269107,-0.380436479298637,0.0878448091303694,-4.33077928069757,1.48582561533454e-05,0.00946099784531016
"IL1B",61.4824249951609,-1.48102035708417,0.342644947968517,-4.32231779824827,1.5439857545769e-05,0.00946099784531016
"LARP7",320.389530972162,-0.480695745299607,0.111309611029927,-4.31854662730216,1.57060043281829e-05,0.00946099784531016
"DEPDC1",127.56151771415,-0.778126248050221,0.181145670012504,-4.2955829305581,1.74234885811554e-05,0.00968380760090372
"EPB41L2",2359.45319737134,0.606766103284422,0.141820178703803,4.27841869069759,1.88225721213553e-05,0.00968380760090372
"LOC124417135",57.0579286012106,1.22744120837268,0.287139709424185,4.27471773525902,1.91379596855805e-05,0.00968380760090372
"POR",3598.74082681806,0.756194250613204,0.176461443208044,4.28532282670763,1.82474020979108e-05,0.00968380760090372
"CYP2C18",278.151944326205,2.15793731408335,0.508045721122959,4.24752581187682,2.1614426925232e-05,0.0102858512848146
"PLA2G7",2571.30924148845,0.741348638774512,0.174680303190984,4.24403109699191,2.19539908845846e-05,0.0102858512848146
"LOC396098",416.176171117142,-1.6420758315794,0.388611616864648,-4.2254934240716,2.38417787525732e-05,0.0107713750435732
"CDCA2",184.481471976867,-0.819690715502302,0.194405049814216,-4.21640649914003,2.48226138331437e-05,0.0108277953444575
"LOC121108878",143.953959703906,-1.48208300094036,0.353865281719741,-4.18826903203847,2.81090183143972e-05,0.0118526360559042
"PON1",1452.78891934339,0.965000349826045,0.231028003556516,4.17698432644758,2.95399371726992e-05,0.0120542001688595
"GPRC5A",8166.75948932481,1.42089482357684,0.340777984440839,4.16956167490778,3.05186022387246e-05,0.0120643849474958
"DDX54",1272.38055456543,-0.486396453272473,0.117212867823594,-4.14968477696923,3.32933441518759e-05,0.0122632724855908
"LOC121110452",103.205709083175,1.17247905834761,0.282842222962344,4.14534663908263,3.39300029245594e-05,0.0122632724855908
"SDR16C5",1569.12199866042,1.01083605990393,0.243825697160853,4.14573226560726,3.38729439885089e-05,0.0122632724855908
"ASPM",400.272946335063,-0.865554143340206,0.210065562217143,-4.12040000371642,3.78215192077483e-05,0.0132487841369625
"TRNP1",460.098867067782,1.30867267910078,0.318040344644831,4.11480084566701,3.87513844322223e-05,0.0132487841369625
"SLC43A2",5479.90366384436,0.885076644450757,0.215686746419634,4.10352819142989,4.06896844810538e-05,0.0135453818075087
"B3GAT2",1010.39702641519,1.34399412915813,0.328045619656911,4.09697325196343,4.18587247468327e-05,0.0135772530268573
"CNNM4",4170.56094903145,0.960931169946498,0.23753343315217,4.04545649509011,5.22212634189631e-05,0.014122006266316
"LOC101751866",34.268188539339,-0.780090435538801,0.191652308687447,-4.0703419691698,4.69441769068972e-05,0.014122006266316
"LOC121108086",110.746776122493,1.06851113119574,0.263349642476857,4.05738591913843,4.96250438316873e-05,0.014122006266316
"LOC430303",97.0562397996434,-0.872502129952855,0.214855484055747,-4.06087903125839,4.88882987750479e-05,0.014122006266316
"PCDH1",3172.44965134665,0.95289507313945,0.235611589555049,4.04434720269486,5.24691141910554e-05,0.014122006266316
"PGM1",2525.13970234206,0.892035306292843,0.219860112250048,4.05728577668662,4.96463196371167e-05,0.014122006266316
"SNX12",1940.18356570339,0.448306025095797,0.110544884581418,4.05542080751472,5.00441258374718e-05,0.014122006266316
"WEE1",366.155061007522,-0.756242589023858,0.186773574499807,-4.04898064969378,5.14411973213486e-05,0.014122006266316
"PLET1",123880.942615209,1.02628188740767,0.254584162258063,4.03120869069369,5.54907440858909e-05,0.0146241231809692
"CENPM",134.182597648403,-0.787015955714116,0.195836503375649,-4.01873982709179,5.8510234635189e-05,0.0148501223757328
"CTPS1",789.579066856263,-0.637156971193653,0.158760476172349,-4.01332237440484,5.98700585899109e-05,0.0148501223757328
"POLA1",355.402517090738,-0.545537639869003,0.1358585347828,-4.01548302240389,5.93241695075182e-05,0.0148501223757328
"BUB1",340.189829865764,-0.88274786437422,0.221320508218553,-3.98854978004348,6.64784538919814e-05,0.0150170078880994
"HMMR",202.75845516226,-1.01557776705213,0.253953572836335,-3.99906863175592,6.35922390144511e-05,0.0150170078880994
"LOC121107841",312.070315160622,0.802670611897674,0.20106486275826,3.9920978777019,6.54913290751842e-05,0.0150170078880994
"MME",135.90789689755,-2.00684834054978,0.502898218689941,-3.99056561738807,6.59159089206263e-05,0.0150170078880994
"NDC80",233.772175371359,-1.01319694267535,0.254004856992028,-3.9888880656607,6.63837348331563e-05,0.0150170078880994
"GINS1",217.457804513395,-0.954389280626877,0.239687787121457,-3.98180187688603,6.839478175193e-05,0.0151788419151213
"BLM",267.289186532253,-0.863894136736793,0.217551974977461,-3.97097813902308,7.15781478270699e-05,0.0156114408622834
"EFHD1",5214.92188696897,0.48828516322182,0.123671386945245,3.94824684417914,7.87256073520778e-05,0.0165979822167297
"NMRK2",636.57070975889,-0.936678275301904,0.23711586002835,-3.9502978636263,7.80539940967133e-05,0.0165979822167297
"CENPA",65.7959691471528,-1.13562388394556,0.288402427471434,-3.9376363573016,8.22881722762007e-05,0.0167048141297962
"PTGER4",1046.66817470151,0.756937573749894,0.192257291335835,3.93710724046181,8.24697574881452e-05,0.0167048141297962
"SLC38A4",6515.25410217664,1.18109314808826,0.300150128703218,3.9350079681495,8.31939359823842e-05,0.0167048141297962
"DNA2",175.497636642735,-0.824991358229069,0.210320508941955,-3.92254356163028,8.76190452338273e-05,0.0170520141878141
"SPINT1",14567.0391519132,0.878968545094463,0.224073959965949,3.92267153768352,8.75725019784092e-05,0.0170520141878141
"ALAD",1488.84457345932,0.857992822884043,0.219555956629308,3.90785490886341,9.31191958934469e-05,0.0176407557464238
"LRRC19",1323.93927962711,0.855872865244794,0.219059087303619,3.907041135703,9.34332517794779e-05,0.0176407557464238
"AICDA",200.466297078742,-1.49485973270946,0.383393001825377,-3.89902717470654,9.65799362576565e-05,0.0179667087302846
"MFGE8",4365.22791650279,0.691084197423789,0.177700923405231,3.88902986085128,0.000100645735347894,0.0184517181471139
"PXN",1965.79235925337,0.28749527622999,0.0740141250604366,3.88432986264763,0.000102612517658629,0.0185435478340236
"NTS",72.4290693137233,0.821586951757357,0.211809680222041,3.87889236646826,0.000104933168142037,0.0186958391126304
"LOC771069",4534.22022508002,0.714613503778677,0.184788282691691,3.86720139052849,0.000110091508296022,0.0193424663881205
"DDX11",197.894473125296,-0.748107407703345,0.1936705857298,-3.86278280144755,0.000112102672472344,0.0193931255010988
"HSPA14",348.625711963426,-0.420135294913351,0.109031143976161,-3.85335124985215,0.000116512058346522,0.0193931255010988
"RBM15",549.759600053507,-0.349555715913533,0.0906805792869109,-3.85480241372905,0.000115823133481022,0.0193931255010988
"SLC30A10",3464.75561683255,1.58555424163586,0.411064842850965,3.85718766567132,0.000114699100497428,0.0193931255010988
"ALDH3A2",4245.37276438887,0.523848863667828,0.136324240362845,3.84266849588552,0.000121703805351834,0.0198743620236146
"ANXA7",2098.93643971528,0.74835978098209,0.194905987916579,3.83959358551053,0.000123238146797827,0.0198743620236146
"DIEXF",210.518074553089,-0.507816021495183,0.132424507508847,-3.83475861868889,0.000125687664971476,0.0198743620236146
"HSPB9",516.452181057151,1.95679567624728,0.510060002142967,3.8364029095126,0.000124849520880408,0.0198743620236146
"FANCF",54.922906863065,-0.880784184745485,0.230464895555659,-3.82177156578177,0.00013249639770137,0.0206923386533621
"EMP1",4809.79318570559,1.21472299391534,0.318251774662885,3.81686165050316,0.000135159907122165,0.0208508881109194
"CA9",2508.90337853657,0.938754796246636,0.24661144232739,3.8066149217861,0.000140881843282636,0.0212634561012115
"HMGN4",4932.24418504994,-0.847427714641817,0.222652009356051,-3.80606362858673,0.000141196072134527,0.0212634561012115
"CEP135",71.7913490981946,-0.654375597330841,0.172573743257664,-3.79186071402423,0.000149522772190955,0.0214938985024497
"KRAS",150.210774241697,0.733965528088296,0.193177841481374,3.79942918121415,0.000145029747152826,0.0214938985024497
"LPAR6",373.843389304557,0.53573719413869,0.141159747893311,3.79525468225971,0.000147491971474922,0.0214938985024497
"UBE2U",911.850639062627,-0.986280528503926,0.260024842236314,-3.79302423576736,0.000148823624933506,0.0214938985024497
"CIDEA",1027.31965498509,0.991163836059649,0.261611202292836,3.78869034419322,0.000151443537063542,0.0215254016163349
"CR2",440.643798775675,-1.30320059768787,0.344830637222585,-3.7792482947119,0.000157302511378407,0.0217616174147703
"LARGE2",1424.01401865791,0.792114299885133,0.2096801400114,3.7777268740953,0.000158266308471057,0.0217616174147703
"RTTN",131.837557149077,-0.771657599150226,0.203971540505254,-3.78316306892014,0.000154847891612452,0.0217616174147703
"MMP9",202.837742311603,-1.53687613038676,0.407681113293572,-3.76979967987885,0.00016337862745986,0.021908887884064
"NCAPD2",802.393214718194,-0.551343196452251,0.146401419143056,-3.76596893445073,0.00016590442111551,0.021908887884064
"TSR1",584.443734162986,-0.50726075270652,0.134715353650125,-3.76542642662652,0.00016626507801345,0.021908887884064
"UGCG",1301.21541268672,0.656217293634695,0.174189719298466,3.76725616343808,0.000165051619536491,0.021908887884064
"CCDC186",1579.91259830023,0.686143987292392,0.182494110593279,3.759814412979,0.000170039452139914,0.0219489700976522
"SWAP70",406.960636330478,-1.06197651209875,0.282321797591094,-3.76158171689203,0.000168842239755663,0.0219489700976522
"LOC101747338",550.333889366856,0.561841281504498,0.149560442400112,3.75661687334029,0.00017222585739312,0.0220066373335653
"CDK1",1526.61749430495,-0.716149249572601,0.191276180748163,-3.74405870491263,0.000181071317408314,0.0224563937766194
"IGF2BP3",425.238177898571,-0.884243663494512,0.235860975168901,-3.74900367838003,0.000177538481848431,0.0224563937766194
"RAD54L",138.667673437292,-0.836701811721318,0.223349242964519,-3.74615915691388,0.000179562692726683,0.0224563937766194
"ABCA3",10174.3798768906,0.83289864287547,0.223450553747326,3.72744049592867,0.000193434210371414,0.0232207402078073
"INCENP",729.146600766014,-0.755763994245722,0.202686009233065,-3.72874278350749,0.00019243745151272,0.0232207402078073
"KLF6",1747.78602749774,0.78878795407898,0.211806636290688,3.72409461711309,0.000196017406331349,0.0232207402078073
"NCF1C",366.912799390489,-1.03050565510024,0.276728950804028,-3.72388090261656,0.000196183501765703,0.0232207402078073
"RIF1",795.241215494455,-0.539049691973565,0.144766263247513,-3.7235864204903,0.000196412585156947,0.0232207402078073
"GCNA",165.21583400315,-0.846137586043579,0.227504544390158,-3.71921179997398,0.000199845426437295,0.0234078207817758
"CENPC",191.008395375757,-0.794111094816502,0.213744786377925,-3.7152302438499,0.000203018748659773,0.0235613501884966
"CASP2",537.68627388063,-0.438984831477512,0.118694190658479,-3.69845254466255,0.000216917894204878,0.0242832863866523
"HMGB2",843.41120074037,-0.94450323256195,0.255217113721492,-3.70078330089042,0.000214934968888163,0.0242832863866523
"LPCAT2",1399.22139405449,0.606192733178993,0.16389763439775,3.69860575112312,0.000216787025909713,0.0242832863866523
"SCPEP1",1942.37235352252,0.871997561551068,0.235669003155942,3.70009441154239,0.000215519272641521,0.0242832863866523
"UHRF1",518.93891548388,-0.747662023053199,0.202365771885025,-3.69460712693046,0.000220227031620052,0.0244374732455584
"OAF",2481.53374193004,0.503503747680567,0.136405263989177,3.69123399607596,0.000223168709514262,0.0245485580465689
"MTMR7",70.9302835211673,-0.485050805638059,0.131946661543024,-3.67611275621321,0.000236814884630057,0.0254626769655999
"NPC1",539.520420735038,0.831584498056437,0.22626546057849,3.67526044819362,0.000237606896431917,0.0254626769655999
"RSPRY1",1507.30702061216,0.760813786593764,0.207125516491793,3.67320163869771,0.000239530320862166,0.0254626769655999
"SNX1",2284.42304139517,0.326983990912797,0.088969688314544,3.67522913822937,0.000237636038657552,0.0254626769655999
"ACVR1C",37.1836372070637,1.02516196956435,0.280223876313946,3.6583676703402,0.000253826740128215,0.0255307698287455
"CENPE",339.817506048489,-0.811557825580478,0.222663739924903,-3.6447686805862,0.000267632410445107,0.0255307698287455
"CLSPN",162.965569801476,-0.775402472181422,0.211868846545583,-3.65982297456174,0.000252389548866779,0.0255307698287455
"FAM135A",1438.58223235561,0.857335938806819,0.23417891451089,3.66102960463997,0.000251203727367783,0.0255307698287455
"KIF11",705.153481697414,-0.770165057675547,0.211157294391102,-3.64735236779962,0.000264956455771852,0.0255307698287455
"LAPTM4A",4961.19308955746,0.454619979209161,0.124758267074543,3.64400684515379,0.000268426275669814,0.0255307698287455
"NUSAP1",504.595827387746,-0.874886666384598,0.239350133068506,-3.65525874236381,0.000256922723115158,0.0255307698287455
"PDLIM1",7589.77653232234,0.529241792151119,0.144788537995171,3.65527409475445,0.000256907348022581,0.0255307698287455
"PIK3AP1",500.22602494674,-1.10342159098298,0.302311618447924,-3.64994768195804,0.000262293726997064,0.0255307698287455
"SLC7A3",640.264750951916,-0.710028346282026,0.194814355462823,-3.64464078940796,0.000267765524639513,0.0255307698287455
"SLC9A4",30.0144371288471,1.27052778662841,0.34835030364664,3.6472705013549,0.000265040859601529,0.0255307698287455
"TFDP2",408.362650367443,-0.561378972842365,0.153300300943273,-3.66195610437905,0.000250296753922305,0.0255307698287455
"UBXN2A",672.24309834488,0.668451608570191,0.183260231052896,3.64755410778267,0.000264748570564031,0.0255307698287455
"ZDHHC9",4860.92247799229,0.590264023788851,0.16145764815684,3.65584430670926,0.000256336903625512,0.0255307698287455
"CCNA2",685.265430875679,-0.85621966248759,0.235533624252848,-3.63523325046971,0.000277729236942382,0.0257473892874819
"GDPD2",1102.30772703394,0.912034930418029,0.251054349662834,3.63281867708285,0.000280342023135487,0.0257473892874819
"LIMK2",737.862412156321,0.735608455592425,0.202372491248876,3.63492316101293,0.000278063499913027,0.0257473892874819
"ORC5",223.257147125111,-0.672015029445728,0.18464966704823,-3.63940558457763,0.000273268106741606,0.0257473892874819
"RBM24",61.5848811400905,-1.10139158074785,0.303386477514508,-3.63032522006583,0.000283064330408271,0.0257473892874819
"SNRPF",413.180335868341,-0.715738023153042,0.19724854013902,-3.62860998945083,0.000284951343893081,0.0257473892874819
"SOCS4",547.877771013011,0.531228477842716,0.146288368978663,3.63137877297817,0.000281911074048884,0.0257473892874819
"MKI67",1231.30262361451,-0.979685725027534,0.270170174023992,-3.62618016058477,0.000287644705904163,0.0258064221963664
