"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SCNN1A",6590.07312708714,1.65246423747055,0.305049489492757,5.41703656091445,6.05949536264231e-08,0.000766526163374252
"MCM9",63.7962173624314,-1.08881261477851,0.220242206930576,-4.94370552290061,7.66514603941038e-07,0.00484820486992706
"LOC112533600",143.891671900159,-2.16217926074263,0.451234723813489,-4.79169520126809,1.65378011437713e-06,0.00523007961171767
"PLIN2",2442.90151729681,1.19190092411422,0.252785678134082,4.71506508166186,2.41633502074128e-06,0.00584498138822457
"PI3",184.964293222786,-2.19500591488467,0.472479029755632,-4.64572134771767,3.38890186428853e-06,0.00612422979760712
"NEK2",197.492410960343,-1.02131426516474,0.221304135270999,-4.61498048337004,3.93132257728623e-06,0.00621640382533385
"NPTX2",933.387062457627,2.08057004860299,0.460988768000538,4.51327709702584,6.38335337643836e-06,0.00897215780132726
"CBS",121825.971453874,1.1172426538932,0.251106474841701,4.44927855642718,8.61592119730729e-06,0.00909849742349116
"CXCL13L3",82.6943181595776,-1.62436291318312,0.369059381983985,-4.40135921880889,1.07574856350547e-05,0.00909849742349116
"FSTL3",316.002756363753,1.24643296312382,0.281728991253799,4.42422683436562,9.67882839264258e-06,0.00909849742349116
"INA",350.587809389452,1.72746225484977,0.396115383714944,4.36100774135271,1.29464785472601e-05,0.00909849742349116
"S100A12",219.973841207873,-2.12504267716392,0.476231752994903,-4.46220283254961,8.1121383764919e-06,0.00909849742349116
"IL1B",61.4824249951609,-1.48102035708417,0.342644947968517,-4.32231779824827,1.5439857545769e-05,0.00946099784531016
"LOC124417135",57.0579286012106,1.22744120837268,0.287139709424185,4.27471773525902,1.91379596855805e-05,0.00968380760090372
"CYP2C18",278.151944326205,2.15793731408335,0.508045721122959,4.24752581187682,2.1614426925232e-05,0.0102858512848146
"LOC396098",416.176171117142,-1.6420758315794,0.388611616864648,-4.2254934240716,2.38417787525732e-05,0.0107713750435732
"LOC121108878",143.953959703906,-1.48208300094036,0.353865281719741,-4.18826903203847,2.81090183143972e-05,0.0118526360559042
"GPRC5A",8166.75948932481,1.42089482357684,0.340777984440839,4.16956167490778,3.05186022387246e-05,0.0120643849474958
"LOC121110452",103.205709083175,1.17247905834761,0.282842222962344,4.14534663908263,3.39300029245594e-05,0.0122632724855908
"SDR16C5",1569.12199866042,1.01083605990393,0.243825697160853,4.14573226560726,3.38729439885089e-05,0.0122632724855908
"TRNP1",460.098867067782,1.30867267910078,0.318040344644831,4.11480084566701,3.87513844322223e-05,0.0132487841369625
"B3GAT2",1010.39702641519,1.34399412915813,0.328045619656911,4.09697325196343,4.18587247468327e-05,0.0135772530268573
"LOC121108086",110.746776122493,1.06851113119574,0.263349642476857,4.05738591913843,4.96250438316873e-05,0.014122006266316
"PLET1",123880.942615209,1.02628188740767,0.254584162258063,4.03120869069369,5.54907440858909e-05,0.0146241231809692
"HMMR",202.75845516226,-1.01557776705213,0.253953572836335,-3.99906863175592,6.35922390144511e-05,0.0150170078880994
"MME",135.90789689755,-2.00684834054978,0.502898218689941,-3.99056561738807,6.59159089206263e-05,0.0150170078880994
"NDC80",233.772175371359,-1.01319694267535,0.254004856992028,-3.9888880656607,6.63837348331563e-05,0.0150170078880994
"CENPA",65.7959691471528,-1.13562388394556,0.288402427471434,-3.9376363573016,8.22881722762007e-05,0.0167048141297962
"SLC38A4",6515.25410217664,1.18109314808826,0.300150128703218,3.9350079681495,8.31939359823842e-05,0.0167048141297962
"AICDA",200.466297078742,-1.49485973270946,0.383393001825377,-3.89902717470654,9.65799362576565e-05,0.0179667087302846
"SLC30A10",3464.75561683255,1.58555424163586,0.411064842850965,3.85718766567132,0.000114699100497428,0.0193931255010988
"HSPB9",516.452181057151,1.95679567624728,0.510060002142967,3.8364029095126,0.000124849520880408,0.0198743620236146
"EMP1",4809.79318570559,1.21472299391534,0.318251774662885,3.81686165050316,0.000135159907122165,0.0208508881109194
"CR2",440.643798775675,-1.30320059768787,0.344830637222585,-3.7792482947119,0.000157302511378407,0.0217616174147703
"MMP9",202.837742311603,-1.53687613038676,0.407681113293572,-3.76979967987885,0.00016337862745986,0.021908887884064
"SWAP70",406.960636330478,-1.06197651209875,0.282321797591094,-3.76158171689203,0.000168842239755663,0.0219489700976522
"NCF1C",366.912799390489,-1.03050565510024,0.276728950804028,-3.72388090261656,0.000196183501765703,0.0232207402078073
"ACVR1C",37.1836372070637,1.02516196956435,0.280223876313946,3.6583676703402,0.000253826740128215,0.0255307698287455
"PIK3AP1",500.22602494674,-1.10342159098298,0.302311618447924,-3.64994768195804,0.000262293726997064,0.0255307698287455
"SLC9A4",30.0144371288471,1.27052778662841,0.34835030364664,3.6472705013549,0.000265040859601529,0.0255307698287455
"RBM24",61.5848811400905,-1.10139158074785,0.303386477514508,-3.63032522006583,0.000283064330408271,0.0257473892874819
"AQP8",42921.8051687128,1.58429299830509,0.439816212217418,3.60217053008932,0.000315571230362681,0.026263000421631
"PLEK",202.714456668168,-1.09386346793836,0.303550735245888,-3.60356059441689,0.000313887528622921,0.026263000421631
"IL1R2",98.6949071842702,-1.58671726184641,0.442797003262207,-3.58339656808116,0.000339155097752181,0.0265971168255456
"LOC422270",6856.12926480898,1.07176787904603,0.298374051986795,3.59202776484553,0.000328114881242194,0.0265971168255456
"PAX5",651.558901860051,-1.57555043898383,0.43946226291576,-3.58517800488787,0.000336848374411473,0.0265971168255456
"LOC101750892",56005.8048341528,1.15155738379489,0.32164165784285,3.58024949727602,0.000343266288911671,0.0266399911333291
"HVCN1",277.883582628367,-1.27154597347941,0.356380178958466,-3.5679480749899,0.000359787779370608,0.026831991980494
"RBM38",120.983244893385,-1.19403640115511,0.335397690292874,-3.56006149032351,0.000370767965419757,0.0271110679916759
"LOC107053028",39.0688558959603,1.09894413907743,0.309260659631317,3.55345597589919,0.000380204828116765,0.0273272220208925
"CHST1",121.387090527365,1.47356338507098,0.418887780330878,3.51779988403343,0.000435140374895498,0.0295942244216562
"ATF3",689.804661551429,1.18446511654409,0.339716651369932,3.48662661005179,0.000489153783238195,0.0312514917068846
"LRP8",148.55333213715,-1.01169189955721,0.291741013569167,-3.46777399303632,0.000524788449490561,0.0320704052466454
"TGM4",194.095218788002,-1.75590132403516,0.505983233967928,-3.47027570511645,0.000519924379998757,0.0320704052466454
"PCDH9",87.8088192601966,1.58694339874592,0.45870473057518,3.4596185584483,0.000540941081076154,0.0324308278465088
"CXCL13",276.79131785741,-1.42709666318926,0.414850608866497,-3.44002547589008,0.000581659432460997,0.0334454173665073
"TTC38L",2513.97015972011,1.14367967116393,0.33271551257318,3.43741012349817,0.00058730559323296,0.0334658367315177
"ADM2",1467.18507300713,1.18250516574663,0.346233354078159,3.41534156608057,0.000637020757054033,0.0345657797241291
"KLHL6",340.370967682879,-1.15588303171279,0.338935780775049,-3.41033050293366,0.000648842001208655,0.0346322840307573
"CALB1",13699.9190093382,1.46421389055383,0.430532683830763,3.4009355051181,0.000671556699690961,0.0348163616847978
"CRYBA1",46.6334457735877,1.15105488393238,0.339364167391078,3.39179852953043,0.000694354762028219,0.0354176924986168
"LOC121109083",61.4833624027204,2.61674750662261,0.772300285698478,3.38825137719067,0.00070339766238249,0.0354632501031948
"IL4I1",66.1001661776024,-1.36821839402398,0.407289892177537,-3.35932322481397,0.00078133621873865,0.035880842884555
"VPREB3",84.7020996948082,-1.64855082440907,0.491109717288845,-3.35678722365715,0.000788537707149397,0.0358813021418701
"LOC107054964",91.8258750997786,1.00990146374673,0.301846925315189,3.34574043678658,0.00082063176570174,0.0361707032617666
"CYP1A1",57.7087822488724,1.52094373837766,0.460631093284153,3.30186945812498,0.000960427573243922,0.0386266063405589
"LOC419333",264.156538361251,-1.38739393835518,0.420659608222104,-3.29813918721346,0.000973278761226664,0.0386266063405589
"METTL11B",40.0837441412077,1.48257393574464,0.450014582942306,3.29450198269399,0.000985962491134804,0.038854908139736
"SELE",69.2243555614468,-1.14524482535541,0.34809663629018,-3.29001979898684,0.00100180333466242,0.0391136178502456
"ENTPD5",740.701884254187,1.03736056462836,0.316222275866719,3.280479092705,0.00103630945202344,0.0397371437919826
"LOC770026",45.1319995686254,-1.27669441695616,0.391461750891198,-3.26135162388063,0.00110882446313776,0.0405488056715494
"ULK4",48.3871198778119,1.13469491641716,0.349245554967535,3.24898885691655,0.00115816014947938,0.0409329928431483
"AOAH",68.2400604218956,-1.21473527544823,0.376432522844591,-3.22696685788154,0.00125109950366854,0.0415365768605752
"POU2AF1",302.485452797042,-1.38305810929079,0.42796235890974,-3.23172839969902,0.00123043946559339,0.0415365768605752
"SCNN1G",1114.33595272331,1.51302438596073,0.468855969217616,3.22705582374374,0.00125071056737594,0.0415365768605752
"MDK",83.3534045847732,-1.55789449374728,0.483268569321426,-3.223661940057,0.0012656271478323,0.0415367409824184
"LOC112529954",39.6810352496335,-1.8400679450407,0.578248092851851,-3.18214269582058,0.00146189772457464,0.0441360530211676
"ZNF555",218.582957450675,1.01580999628345,0.322252873513265,3.15221392817662,0.00162037510310918,0.0455866039596132
"LOC121111295",171.01845378304,1.35496367085414,0.431785559759067,3.13804767257664,0.00170077212792947,0.0462262877729982
"APBB1IP",148.570133393202,-1.02994436665371,0.328554681580498,-3.13477306638641,0.0017198710230518,0.0462901456204369
"LAMP3",659.484323813525,-1.00079002475906,0.319558934369023,-3.13178546153041,0.00173746787021455,0.0464671639708543
"LOC107052157",36.7078239224618,1.46231542601151,0.468080356019844,3.12406920565049,0.00178368498930292,0.046878633283774
"P2RY10",346.048153624713,-1.07389319853876,0.343793938390455,-3.12365367337896,0.00178620563184024,0.046878633283774
"SYK",147.451711268885,-1.16620079314804,0.373327515134945,-3.1238008072523,0.00178531273516081,0.046878633283774
"C3",747.630088185598,-1.16690068046138,0.373809052819275,-3.12164906564084,0.00179841175841063,0.047101260339326
"CD72",428.329369703572,-1.58864368690076,0.509241756990729,-3.11962572804037,0.00181080963184905,0.0471369264228907
"PLIN1",59.6836127706487,1.01743867238635,0.326486573079449,3.1163262329283,0.00183119566945852,0.0473714217150314
"AQP5",41.8476252854881,-1.3542400382565,0.43619030781978,-3.10469997608481,0.00190472121909872,0.0484803288160942
"GSTT1L",3295.12137184439,1.13236763755902,0.365912520270553,3.09464031654822,0.00197051702093566,0.0491657599898148
