NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		172	-0.6996435	-3.141543	0.0	0.0	0.0	2759	tags=71%, list=15%, signal=83%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.67855006	-3.0716996	0.0	0.0	0.0	2698	tags=60%, list=15%, signal=69%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.55387056	-2.489556	0.0	0.0	0.0	4121	tags=57%, list=22%, signal=73%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.62135816	-2.2514338	0.0	0.0	0.0	2715	tags=62%, list=15%, signal=73%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		88	-0.37597528	-1.5036542	0.0031746032	0.019683804	0.122	4627	tags=47%, list=25%, signal=62%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	-0.31135145	-1.4094185	0.0042918455	0.039206013	0.272	2510	tags=32%, list=14%, signal=36%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		141	-0.2972277	-1.2907958	0.038062282	0.088432685	0.572	4439	tags=40%, list=24%, signal=52%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.29428214	-1.263546	0.03018868	0.09518521	0.64	3438	tags=33%, list=19%, signal=40%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		38	-0.3300101	-1.1426501	0.22994652	0.21300499	0.922	4757	tags=39%, list=26%, signal=53%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	-0.22087258	-0.9819709	0.49568966	0.5415479	1.0	2478	tags=22%, list=14%, signal=26%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.27887973	-0.95762205	0.48044693	0.5599369	1.0	3063	tags=27%, list=17%, signal=32%	
