"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENDOV",634.25808925785,-1.1702897725854,0.258790686757448,-4.52214794608221,6.12152476215236e-06,0.0223796735804652
"GLTSCR2",1636.17916471997,-0.726805814010537,0.162436709854301,-4.47439384029911,7.66283863269875e-06,0.0223796735804652
"HEXIM1",3374.2535375242,-0.603922504406012,0.132787542430091,-4.54803585753506,5.41489110563246e-06,0.0223796735804652
"IL17F",15.6000018905407,-1.7247900627924,0.378646216931662,-4.55514933377425,5.23483756680656e-06,0.0223796735804652
"LOC124417418",64.1805253249757,3.71428782089682,0.836940814648856,4.43793366972451,9.08265973233164e-06,0.0223796735804652
"MAATS1",70.3225136118744,-0.678762875635012,0.152906923013516,-4.43905914956523,9.03529847811218e-06,0.0223796735804652
"QPRT",8.88396239243709,4.63525559594643,0.980173563666211,4.72901511300596,2.25611591266253e-06,0.0223796735804652
"BTBD18",17.9042157827017,-1.57685336959028,0.369524139957124,-4.26725401423908,1.9789378736925e-05,0.0341327204454483
"J6367_mgp10",309260.481445663,-0.996697819245573,0.231096416302585,-4.31290902382731,1.61120429462198e-05,0.0341327204454483
"LOC121106462",72.8111452408883,-1.27843168121878,0.298715240363928,-4.27976717780201,1.87088923300968e-05,0.0341327204454483
"LOC112531211",99.8135050831793,-1.44937293544835,0.343097732481495,-4.22437340219532,2.39606495456596e-05,0.0357734261298946
"MIR6607",8.63878435554818,1.54077631194581,0.365476080210756,4.21580616454382,2.48887473074406e-05,0.0357734261298946
"CCS",2418.23247157279,-0.729260813088396,0.174382992932636,-4.18194917304871,2.89020589677215e-05,0.0370871781497469
"J6367_mgp08",178930.773641848,-1.00327802311914,0.241661930280957,-4.15157663415468,3.30192660846228e-05,0.0370871781497469
"LOC121107264",150.285628003384,0.692973414007623,0.166502600305067,4.1619374876906,3.15558745286693e-05,0.0370871781497469
"UAP1L1",750.209272327152,0.471265659768856,0.113772682097203,4.1421688500428,3.44036903058877e-05,0.0370871781497469
"HTR6",55.7007647741577,0.835320011896242,0.207466885599284,4.0262811555847,5.66659288630652e-05,0.0574925847664793
"MRPL58",417.997372575305,-0.464460295246304,0.11617771912142,-3.99784312137241,6.39222918804514e-05,0.0612517605752237
"CHCHD10",2292.04029828322,-0.702338699574285,0.176361336863553,-3.9823847565732,6.82272100481984e-05,0.0619359431005961
"J6367_mgp02",160352.456273475,-0.867712655430279,0.219622132647043,-3.95093447537362,7.78466374832096e-05,0.0639380382528762
"UTP3",758.813861768908,-0.393100772682504,0.0993122355261253,-3.9582310336685,7.55069045568769e-05,0.0639380382528762
"LOC107056801",883.392051508032,-0.88200232172549,0.224633958456387,-3.92639798446472,8.62274389302291e-05,0.0676023121212996
