NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.50800806	-1.9163858	0.0	0.0	0.0	3585	tags=36%, list=20%, signal=44%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.4714122	-1.791701	0.0	0.001731973	0.004	2733	tags=24%, list=15%, signal=28%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.55523866	-1.7305002	0.0	0.0048590736	0.016	4205	tags=40%, list=23%, signal=52%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.4669037	-1.6992984	0.0	0.006005249	0.027	3838	tags=40%, list=21%, signal=50%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		141	-0.4468136	-1.6431457	0.0014409221	0.009023253	0.049	4001	tags=38%, list=22%, signal=48%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	-0.42234126	-1.5781189	0.0	0.020017482	0.131	5018	tags=39%, list=27%, signal=53%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	-0.47567415	-1.569259	0.009287925	0.018714555	0.14	4815	tags=38%, list=26%, signal=52%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	-0.40639043	-1.525709	0.0	0.027522417	0.219	3937	tags=32%, list=21%, signal=40%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	-0.36540192	-1.2900944	0.072289154	0.23375247	0.919	2641	tags=21%, list=14%, signal=24%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	-0.33624208	-1.2737061	0.04229195	0.23941068	0.942	3426	tags=24%, list=19%, signal=29%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	-0.3399051	-1.2528294	0.08610272	0.257049	0.962	2954	tags=20%, list=16%, signal=24%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	-0.39223066	-1.1951638	0.18688525	0.36461085	0.996	1930	tags=19%, list=11%, signal=21%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		133	-0.3244293	-1.1877189	0.14042553	0.35484862	0.998	2749	tags=16%, list=15%, signal=18%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	-0.2964638	-1.1003023	0.26300985	0.5802205	1.0	3780	tags=21%, list=21%, signal=26%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	-0.26246727	-0.96212244	0.54366195	1.0	1.0	5104	tags=32%, list=28%, signal=44%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	-0.24674736	-0.9416894	0.5881561	1.0	1.0	2431	tags=14%, list=13%, signal=16%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	-0.24446292	-0.9271883	0.6433289	1.0	1.0	3433	tags=15%, list=19%, signal=18%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	-0.23990147	-0.9077012	0.6801676	1.0	1.0	2805	tags=15%, list=15%, signal=18%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	-0.23122105	-0.87761784	0.76813656	1.0	1.0	2436	tags=14%, list=13%, signal=16%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		121	-0.23701167	-0.8633219	0.7553957	1.0	1.0	4819	tags=31%, list=26%, signal=41%	
