NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	0.57766753	1.8742996	0.0	0.0044102566	0.003	2668	tags=32%, list=15%, signal=38%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.44440988	1.8062695	0.0	0.0034967947	0.005	5717	tags=54%, list=31%, signal=78%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		173	0.3086465	1.3275859	0.026819924	0.2737256	0.482	4753	tags=39%, list=26%, signal=52%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.3089352	1.3116558	0.029411765	0.23661375	0.531	5005	tags=30%, list=27%, signal=41%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.33991006	1.2902117	0.05421687	0.22458988	0.588	5526	tags=41%, list=30%, signal=59%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	0.3652445	1.1597719	0.225	0.52358085	0.922	4519	tags=43%, list=25%, signal=57%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	0.37911975	1.1580641	0.22738387	0.45372432	0.929	5374	tags=45%, list=29%, signal=63%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.36614034	1.152135	0.23589744	0.41452986	0.936	4537	tags=49%, list=25%, signal=65%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	0.3054368	1.1514648	0.18266253	0.3701641	0.937	3678	tags=21%, list=20%, signal=27%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		176	0.2546058	1.0920547	0.20774648	0.49990177	0.979	5217	tags=38%, list=28%, signal=53%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		163	0.26221773	1.0867734	0.22183098	0.4701351	0.981	3414	tags=23%, list=19%, signal=28%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		155	0.24570712	1.017913	0.39310345	0.67681664	0.999	4732	tags=29%, list=26%, signal=39%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.26033792	0.99724805	0.46884274	0.70440197	1.0	5486	tags=44%, list=30%, signal=63%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		47	0.27724138	0.9305539	0.5736842	0.9091472	1.0	3220	tags=23%, list=18%, signal=28%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		93	0.22699215	0.8756703	0.7522659	1.0	1.0	5486	tags=41%, list=30%, signal=58%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.23003505	0.8715891	0.75609756	0.9818984	1.0	5611	tags=41%, list=31%, signal=59%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		155	0.211609	0.8711093	0.84727275	0.92544657	1.0	3340	tags=19%, list=18%, signal=23%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	0.20591155	0.85334677	0.8776978	0.9184422	1.0	3091	tags=18%, list=17%, signal=21%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		33	0.2321722	0.7239221	0.9059406	1.0	1.0	4913	tags=33%, list=27%, signal=45%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		157	0.17121126	0.71286964	1.0	0.9768156	1.0	5851	tags=37%, list=32%, signal=54%	
