"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"QPRT",8.73685594422131,4.73274233309944,1.04006685868767,4.550421247987,5.35386226896815e-06,0.0972368465289996
"ABCC8",7.4408230627373,2.29403817819625,0.579893769067029,3.95596279968148,7.62270231370483e-05,0.278269734356135
"COL9A1",18.7090679311848,3.43934263959705,0.88099391618017,3.90393460888971,9.46413618567942e-05,0.278269734356135
"CUTAL",71.1223668916833,2.20235145637729,0.553976641830287,3.97553125904537,7.02223189775901e-05,0.278269734356135
"FMO4",169.247563553285,2.12473817031032,0.551076009121659,3.85561725631437,0.000115437981573461,0.278269734356135
"LOC121106926",20.454603402594,2.15243919777007,0.546322642320444,3.93986818600055,8.15263915277152e-05,0.278269734356135
"OPRD1",11.5341854055087,-1.78033791872384,0.453506207936715,-3.92571895944648,8.64710698882539e-05,0.278269734356135
"SEMA6D",221.882160035014,0.99535649809081,0.259145094980983,3.84092354965797,0.000122572286909431,0.278269734356135
"SMIM24",949.454125711021,2.49378757502409,0.657793342524727,3.79114140233238,0.000149956544103509,0.302612306000881
"CYP2C23b",93.5613178667334,2.77869881366216,0.745401243293696,3.72778934655912,0.000193166728624335,0.350829412527518
"APOA4",123.507996539475,4.37287136553106,1.18206298975732,3.69935562099685,0.000216147559013005,0.356879269708564
"KBTBD11",89.9143903045476,2.15549384746075,0.597511311677736,3.60745278848093,0.000309217779846493,0.379802550064174
"LOC107055362",63.9120276317696,2.51610974585907,0.713122499968292,3.52829948006261,0.0004182386852375,0.379802550064174
"LOC112530092",2.76365536140572,2.35282640488462,0.65954635438937,3.56734047459477,0.000360622785188239,0.379802550064174
"LSMEM1",4.59625796709211,-2.11997505679381,0.599851795728883,-3.53416472516819,0.000409066050579751,0.379802550064174
"MALRD1",20.8696842817981,3.38911017693913,0.958231071575788,3.53684020219238,0.000404944595762011,0.379802550064174
"PLD5",18.966306195957,2.90190443941156,0.80237109854437,3.61666122405965,0.000298427469343939,0.379802550064174
"SLC22A13L",62.4724570875979,3.92263786354948,1.08920153013645,3.60138849883736,0.000316522170487116,0.379802550064174
"SNORD20",1.72915228543977,3.21132976517282,0.899121485350326,3.57163054992684,0.000354765631236599,0.379802550064174
"SNRPA1",290.955313837755,-0.495328959317387,0.137975303698951,-3.58998274356509,0.000330699853631576,0.379802550064174
"HIST1H111R",35.4360297355785,-1.1971947960571,0.340647335178674,-3.5144698708098,0.000440632653487695,0.38108429774493
"HIST1H2B5",154.461234603505,-1.15367807969408,0.330255843484388,-3.49328589472367,0.000477115409802246,0.393880457855836
"HIST2H3A",15.3744206429089,-1.51775866132611,0.436830131342627,-3.47448253320159,0.000511839685985003,0.404175320733027
"ABTB1",703.945838743892,0.289675221695859,0.0849208791590397,3.41111896820281,0.000646968562412421,0.419651536804799
"C8A",3.43024028322171,3.24556166931265,0.949128878595271,3.41951629805653,0.00062732574446606,0.419651536804799
"CRAMP1",159.967083091129,0.530293991425058,0.154552459782879,3.43115853458454,0.00060100925028484,0.419651536804799
"H1FOO",6.86689996714998,2.20666064519492,0.642965234392009,3.43200616014884,0.000599133949147116,0.419651536804799
"HIST1H4B",4.04697172068569,-1.61626730956317,0.47282827166257,-3.41829667646567,0.000630143792457647,0.419651536804799
"GYS2",71.8187864223868,1.48611405568553,0.437932168522936,3.39348000101916,0.000690105973591708,0.432196713530089
"CREB3L3",290.978769767924,2.25578394073724,0.666812879603513,3.38293396803993,0.000717158731990135,0.434167896346827
"CYLD",230.34945543848,0.481683058150891,0.144920188074224,3.32378162457384,0.000888057058355497,0.445785650364621
"HIST1H110",288.761604474224,-0.647344169262102,0.194371837903288,-3.33044218877117,0.000867081666899429,0.445785650364621
"LOC101748003",54.1880497170749,2.05197571983803,0.622902232754888,3.29421795578229,0.00098695936988625,0.445785650364621
"LOC112530505",21.3650873956464,1.46214458741758,0.445749185160244,3.28019576051934,0.00103735080611147,0.445785650364621
"LOC121107367",1.66999148805875,2.75510415707313,0.838114744240495,3.28726367839982,0.00101166060114064,0.445785650364621
"LOC121108914",16.8935504489921,-1.50625431573552,0.451581822222967,-3.3355069704108,0.000851440192810444,0.445785650364621
"LOC121110444",1.3277326876436,3.49273303740057,1.06213885686196,3.2883958767121,0.00100760047809823,0.445785650364621
"LOC121111639",11.9272790840668,0.988730800357616,0.301042942744824,3.28435136642849,0.00102217398510605,0.445785650364621
"LOC124416952",8.38322134459122,-2.95116318562779,0.892627287559765,-3.30615389732885,0.000945861215627873,0.445785650364621
"PLACL2",5225.17252765422,-1.08541210342211,0.331391433651108,-3.2753173232741,0.00105543348561164,0.445785650364621
"PROSER2",203.731328523373,0.896493087333753,0.2717378273861,3.2991103813455,0.000969917646508639,0.445785650364621
"SLC4A10",29.520037041105,2.36738149888089,0.721160338605076,3.28273945771901,0.00102803632462583,0.445785650364621
"SLC5A9",285.763899812826,1.92265429389855,0.583365249710669,3.29579846391626,0.000981423925774543,0.445785650364621
"SLC2A5",134.971842846229,1.93341440581924,0.592714512719392,3.26196569230046,0.00110642533222343,0.4567022019055
"LOC107049409",1.93709374733467,3.10036013904449,0.957535086889498,3.2378553867053,0.00120431838833602,0.486062901532418
"ASPDH",2.90782934757541,4.6744750019014,1.45388900953929,3.21515258127074,0.00130375203273409,0.514755313446013
"LOC107055605",9.86642944425268,1.26641158777249,0.40005251641914,3.16561335273705,0.00154756351180162,0.541734119560212
"LOC112533090",4.86196704888763,1.62858481660829,0.513738551253927,3.17006542069553,0.00152404619826269,0.541734119560212
"NEGR1",30.2417756607792,2.18125533470771,0.690238401624367,3.16014775413026,0.0015768914940539,0.541734119560212
"PDK4",213.869867227489,1.37415463129047,0.432542536118103,3.17692369315389,0.00148846193722724,0.541734119560212
"PRTG",14.455146831149,1.2701038008656,0.402006381011975,3.1594120413421,0.00158087811566409,0.541734119560212
"SLC5A3",328.165168391861,0.867270350049579,0.274444474158158,3.16009405075427,0.00157718218414935,0.541734119560212
"TMEM27",8.32179207933313,3.65020194462242,1.15476998217739,3.16097751150383,0.00157240637892788,0.541734119560212
"DGKE",422.648223567196,0.253439824801535,0.0806251018294581,3.14343571729835,0.00166977086292235,0.554878335136877
"SPAG6",128.091192902529,0.676541478043757,0.21535010602357,3.14158878551799,0.00168033853278979,0.554878335136877
"ABCB1",1035.58547524906,1.7879330294595,0.575890078268919,3.10464287704677,0.00190508891596422,0.558068143415195
"GAB1",221.209054303475,0.81275563574691,0.260637207786606,3.11834078736887,0.00181872375412241,0.558068143415195
"LOC121107355",5.73726649149714,1.20993411629124,0.388489819970432,3.11445513909047,0.00184284977858928,0.558068143415195
"MAT2L",65.4636231316858,2.12401612005648,0.683183258873861,3.10899907523736,0.00187722305882314,0.558068143415195
"SLC23A2",563.796697472614,1.24523492137415,0.400010989535782,3.11300177732432,0.00185194902472858,0.558068143415195
