"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC121108210",10.0016260601918,21.6490181165207,2.95823696112585,7.31821635690789,2.51288491984549e-13,4.32970071689379e-09
"HIST1H2A4",11.7672056562778,-1.82073603923131,0.359502326603654,-5.06460154634449,4.09255441089621e-07,0.00235049041665806
"HNF4beta",102.647871242335,4.85348890854541,0.954742805695719,5.08355640869028,3.70432498271446e-07,0.00235049041665806
"LOC124417418",39.7743325328336,2.92795176128306,0.610297440044267,4.79758158754637,1.60592803570698e-06,0.00691753501380782
"SLC7A9",398.705303970363,4.98503822715517,1.04903730038121,4.75201236919189,2.01402048644499e-06,0.00694031459628942
"CYP1A1",71.8816427063048,-1.95944594377126,0.429666877333548,-4.56038397916849,5.1060167479113e-06,0.0123703563097156
"FREM2",6.04920765352371,5.00035390352918,1.1024648009889,4.53561319966308,5.74363612755222e-06,0.0123703563097156
"SLC10A2",177.023781014735,4.31100313979682,0.939283278096771,4.5896730414833,4.43940840074736e-06,0.0123703563097156
"SLC15A1",328.15995170541,6.13074293470622,1.36258142733386,4.49935894598396,6.81586871770337e-06,0.0130486020006699
"ACE2",763.289700628108,4.89044258092603,1.13031796210304,4.32660786158527,1.51423186696499e-05,0.0225483554561411
"HSPB9",287.184035261811,-0.956197599896137,0.221415097975411,-4.31857451745376,1.57040200507077e-05,0.0225483554561411
"SLC13A2",324.275852715632,5.586437406534,1.29267776030522,4.32160092644818,1.54901168135905e-05,0.0225483554561411
"SLC6A19",662.472197350441,6.18515218562654,1.45683677833243,4.24560409073856,2.18005272845008e-05,0.0288940834701499
"LOC121106462",74.7443528626632,-1.22944031124963,0.294102686587964,-4.1803096922133,2.91112355973623e-05,0.0315237049346342
"PPP1R3G",564.016497056926,-0.592116315536581,0.141686924097828,-4.17904700315008,2.92733185695965e-05,0.0315237049346342
"TPD52",4474.43916995984,-0.749852706112912,0.178496729989411,-4.20093245493851,2.6581789505047e-05,0.0315237049346342
"ELL",953.833758854206,-0.379538497116568,0.0922997521380954,-4.11202076197037,3.92211017891832e-05,0.0357777842277973
"ENPEP",667.94022507568,6.91895891828808,1.68216173727654,4.11313535729925,3.90321366997425e-05,0.0357777842277973
"NME1",24.524697249429,-1.14075204545878,0.277510749125066,-4.11065895305079,3.94531573028525e-05,0.0357777842277973
"LOC112531211",101.627668035494,-1.43710471749244,0.353484399346152,-4.06553930003895,4.79215177683625e-05,0.0412843875574443
"MGAM",403.404776174788,3.47016536541947,0.867916440999401,3.99827126379078,6.38068012648291e-05,0.0523519612282384
"LOC107049468",333.19109668822,-0.809877249720935,0.203554680518926,-3.9786717144322,6.93013512514666e-05,0.0542755582755805
"IL8L2",380.963502881557,-1.42940628434054,0.362255415218304,-3.94585208196031,7.95166935227342e-05,0.0595683751911614
"REPS2",199.084364236621,-0.611377324337901,0.156739485972757,-3.90059544053989,9.59563874838029e-05,0.066133142253837
"SCNN1A",4831.49468206674,-1.19447754873008,0.306184934269932,-3.90116369238805,9.57313879935431e-05,0.066133142253837
"IER3",749.793791151948,-0.619186136717998,0.160337764942775,-3.86176105759605,0.000112572637558763,0.0746010209668263
"GPRC5A",6826.28832694456,-1.21952931625287,0.31888769883072,-3.82432223232372,0.000131132319984336,0.0836818471603746
"CYP2C18",194.454978119445,-1.64648929583725,0.432345235594374,-3.80827440731182,0.000139939932134775,0.0861130368100776
"NEGR1",21.4173733942901,1.35745472240335,0.359705635208999,3.773793317457,0.000160783979642541,0.0955278610083097
"HAUS2",272.136225672063,0.285738176378501,0.0760191955472792,3.7587634849515,0.000170755156171838,0.0980703780280259
"HIST2H3A",17.1969356422821,-1.39423519733753,0.372453587229204,-3.74337969922554,0.000181561548525488,0.100913080035295
"CPPED1",213.684182125463,0.468649786283846,0.126417710256658,3.70715294029908,0.000209602371845617,0.112857777090625
"HYAL1",529.032143646854,-0.734657875968321,0.200982506609535,-3.65533243843754,0.000256848925934633,0.131666275126949
"LOC770271",15.7749043475764,-1.42810451133402,0.392586202256016,-3.63768391025296,0.000275100748959382,0.131666275126949
"MALRD1",13.3157679075161,2.50641962322575,0.687422525166053,3.64611215295906,0.000266237814790772,0.131666275126949
"SP6",28.2636771309548,-1.86021678179064,0.510702572672322,-3.64246604840229,0.000270038603336435,0.131666275126949
"LOC107049794",5.64801262721329,-3.06183982322649,0.86136518344411,-3.55463615441703,0.000378502479906579,0.176259398075415
"SH2D4A",44.0469340514009,1.93045128216215,0.54533121324887,3.5399611011834,0.000400186011908659,0.181452762768058
"LOC100858962",39.5905625215081,-0.61860993053426,0.175460571095359,-3.52563499977472,0.000422468792622261,0.184176822555887
"LSMEM1",5.46422159206518,-1.59973605787033,0.45415394864797,-3.52245326201125,0.000427572426130904,0.184176822555887
"ACVR1C",33.3366700872003,-0.957624561264863,0.272580495405636,-3.51318079395149,0.000442776082367914,0.186073948760955
