NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	-0.47402394	-2.0004003	0.0	0.0	0.0	5274	tags=52%, list=28%, signal=72%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.55506766	-1.8841943	0.0	0.0	0.0	2939	tags=38%, list=16%, signal=45%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		173	-0.43099046	-1.7712228	0.0	0.0014196428	0.004	4319	tags=57%, list=23%, signal=73%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.41776627	-1.312103	0.1	0.12356655	0.451	2988	tags=43%, list=16%, signal=51%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.29578725	-1.2297657	0.05940594	0.19325447	0.694	5881	tags=47%, list=32%, signal=68%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.2658539	-1.1111505	0.16517857	0.3897401	0.934	4639	tags=30%, list=25%, signal=39%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.26539406	-1.0780551	0.24087591	0.41493893	0.969	4411	tags=36%, list=24%, signal=46%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.3389886	-1.0324032	0.41269842	0.493142	0.992	3802	tags=45%, list=21%, signal=56%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		107	-0.24182081	-0.9512126	0.5697211	0.7078765	1.0	4694	tags=34%, list=25%, signal=45%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.30085826	-0.9149192	0.59375	0.75730646	1.0	2271	tags=27%, list=12%, signal=30%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.24737148	-0.78646356	0.8369565	0.9371568	1.0	3372	tags=22%, list=18%, signal=26%	
