NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.5808869	-1.8430606	0.0	7.34149E-4	0.002	4486	tags=48%, list=24%, signal=63%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		174	-0.41608796	-1.5950493	0.0	0.016243834	0.078	5638	tags=54%, list=30%, signal=77%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		153	-0.3614397	-1.3595186	0.018302828	0.11645244	0.586	2622	tags=32%, list=14%, signal=37%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.4525481	-1.3423111	0.07706093	0.10446479	0.656	3160	tags=35%, list=17%, signal=42%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		109	-0.36303097	-1.3162516	0.037300177	0.105273224	0.744	4193	tags=30%, list=23%, signal=39%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		123	-0.31703594	-1.167947	0.14788732	0.29230216	0.994	4037	tags=30%, list=22%, signal=38%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.29248518	-1.0939767	0.261343	0.41739246	1.0	4663	tags=32%, list=25%, signal=42%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.3449032	-1.0097224	0.43516874	0.59261894	1.0	5361	tags=54%, list=29%, signal=76%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.3403421	-0.9703155	0.5250501	0.6393263	1.0	2681	tags=27%, list=14%, signal=31%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.33704636	-0.9533206	0.52975047	0.6207229	1.0	5328	tags=52%, list=29%, signal=72%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	-0.23234867	-0.8956953	0.7512777	0.7094198	1.0	3269	tags=13%, list=18%, signal=15%	
