NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.69367796	2.4991717	0.0	0.0	0.0	3794	tags=68%, list=20%, signal=86%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.6214795	2.4485064	0.0	0.0	0.0	2964	tags=39%, list=16%, signal=46%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.6161645	2.3589802	0.0	0.0	0.0	2548	tags=43%, list=14%, signal=50%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.6968626	2.321498	0.0	0.0	0.0	1382	tags=50%, list=7%, signal=54%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.60661036	2.1607172	0.0	0.0	0.0	2603	tags=36%, list=14%, signal=41%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		132	0.5373604	2.0428019	0.0	0.0	0.0	2961	tags=39%, list=16%, signal=47%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.520374	2.033775	0.0	0.0	0.0	3791	tags=45%, list=20%, signal=56%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.49613997	1.9514091	0.0	0.0	0.0	3196	tags=38%, list=17%, signal=45%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.48643276	1.9172779	0.0	0.0	0.0	2961	tags=35%, list=16%, signal=41%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.56524545	1.9069387	0.0	2.1666665E-4	0.001	2039	tags=38%, list=11%, signal=43%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.5158291	1.8610122	0.0	1.9696969E-4	0.001	2325	tags=32%, list=13%, signal=36%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.47151324	1.832262	0.0	1.8055555E-4	0.001	2931	tags=37%, list=16%, signal=43%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.55829835	1.7955842	0.0	4.129721E-4	0.003	2434	tags=42%, list=13%, signal=48%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	0.43902096	1.7228807	0.0	0.0011948433	0.009	2043	tags=25%, list=11%, signal=28%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	0.4427837	1.7097881	0.0	0.0012681283	0.01	2464	tags=27%, list=13%, signal=30%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.43609574	1.7082752	0.0024937657	0.0011888702	0.01	3263	tags=32%, list=18%, signal=38%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		149	0.43901092	1.690018	0.0	0.001811325	0.016	3088	tags=33%, list=17%, signal=39%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	0.43772104	1.686948	0.0	0.0017106959	0.016	1849	tags=23%, list=10%, signal=26%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	0.40241766	1.5636477	0.0	0.0075620986	0.074	2507	tags=24%, list=13%, signal=27%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		177	0.3881504	1.5461291	0.0024509805	0.009367438	0.097	2118	tags=21%, list=11%, signal=24%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		142	0.39674392	1.5200385	0.002247191	0.012525086	0.132	2548	tags=21%, list=14%, signal=24%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.37853003	1.4929848	0.0	0.01614978	0.172	2628	tags=29%, list=14%, signal=33%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	0.36880288	1.4277704	0.0045045046	0.02907307	0.31	3240	tags=29%, list=17%, signal=35%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		70	0.40619388	1.4028736	0.029598309	0.03567675	0.38	2350	tags=24%, list=13%, signal=28%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		158	0.35792413	1.3948073	0.00968523	0.036786437	0.4	2692	tags=24%, list=14%, signal=28%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		123	0.37429062	1.3886881	0.01146789	0.03703208	0.415	2571	tags=23%, list=14%, signal=26%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.38329044	1.3777606	0.043572985	0.03898744	0.447	2624	tags=30%, list=14%, signal=35%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	0.35558063	1.3759878	0.01904762	0.037881408	0.449	2336	tags=24%, list=13%, signal=27%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.4323599	1.3299164	0.085158154	0.05577526	0.597	1103	tags=19%, list=6%, signal=20%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	0.40653405	1.2979878	0.08928572	0.070655555	0.697	3023	tags=36%, list=16%, signal=43%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.35281846	1.2704065	0.08715596	0.08500985	0.772	2744	tags=31%, list=15%, signal=36%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.3434383	1.2522365	0.08888889	0.096092105	0.83	4177	tags=45%, list=22%, signal=58%	
