NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		174	-0.4665181	-1.9583874	0.0	0.0	0.0	4115	tags=55%, list=22%, signal=70%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.4420272	-1.4938546	0.01923077	0.04619804	0.126	2599	tags=26%, list=14%, signal=30%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.45588073	-1.3821034	0.0625	0.08818598	0.307	3104	tags=45%, list=17%, signal=54%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		107	-0.3428477	-1.3330067	0.051671732	0.10347489	0.446	4028	tags=35%, list=22%, signal=44%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	-0.32205	-1.3145659	0.018050542	0.09853553	0.509	2775	tags=34%, list=15%, signal=40%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		34	-0.4173166	-1.3081473	0.104166664	0.08694917	0.53	3023	tags=41%, list=16%, signal=49%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		152	-0.30562007	-1.2766466	0.032967035	0.09590634	0.624	3679	tags=43%, list=20%, signal=53%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		172	-0.29697543	-1.2370069	0.05172414	0.118018545	0.75	5522	tags=37%, list=30%, signal=53%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		122	-0.26976717	-1.0795108	0.26132405	0.32720795	0.985	4955	tags=40%, list=27%, signal=55%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.32063565	-1.0390968	0.38151658	0.3818499	0.997	4669	tags=38%, list=25%, signal=51%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.32916287	-1.013279	0.4117647	0.40894768	0.998	3673	tags=33%, list=20%, signal=42%	
