NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.72048813	2.5067413	0.0	0.0	0.0	3405	tags=66%, list=18%, signal=81%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.655502	2.4633636	0.0	0.0	0.0	4625	tags=72%, list=25%, signal=95%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.64081633	2.3702605	0.0	0.0	0.0	2654	tags=45%, list=14%, signal=52%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.7210153	2.354213	0.0	0.0	0.0	1970	tags=58%, list=11%, signal=65%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.5898419	2.2677617	0.0	0.0	0.0	2677	tags=33%, list=14%, signal=39%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		132	0.6082655	2.2370865	0.0	0.0	0.0	4312	tags=59%, list=23%, signal=77%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.52652866	1.9974799	0.0	0.0	0.0	4113	tags=46%, list=22%, signal=58%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.55820113	1.9676441	0.0	0.0	0.0	3475	tags=40%, list=19%, signal=49%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.56066626	1.9652901	0.0	0.0	0.0	3618	tags=44%, list=20%, signal=54%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.5146561	1.9630768	0.0	0.0	0.0	2236	tags=32%, list=12%, signal=36%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	0.5216836	1.9622896	0.0	0.0	0.0	2040	tags=28%, list=11%, signal=31%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.515996	1.9496106	0.0	0.0	0.0	3914	tags=43%, list=21%, signal=53%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.60349625	1.8996341	0.0	0.0	0.0	3032	tags=50%, list=16%, signal=60%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.49391565	1.8576016	0.0	7.959184E-5	0.001	3229	tags=36%, list=17%, signal=43%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	0.48704186	1.8421351	0.0	7.4285716E-5	0.001	3040	tags=30%, list=16%, signal=36%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	0.4953372	1.8162628	0.0	1.4133404E-4	0.002	2644	tags=31%, list=14%, signal=36%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.54140556	1.7824454	0.0	4.0942285E-4	0.006	3427	tags=47%, list=19%, signal=57%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	0.47596806	1.7787708	0.0	3.8667716E-4	0.006	4083	tags=46%, list=22%, signal=59%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.45040345	1.7004799	0.0	0.001493194	0.025	2591	tags=34%, list=14%, signal=39%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		124	0.46508303	1.6835988	0.0	0.0020966157	0.037	2881	tags=29%, list=16%, signal=34%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	0.43336996	1.6411229	0.0	0.0030290426	0.055	2656	tags=27%, list=14%, signal=31%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.4703611	1.6329064	0.0015267176	0.003033386	0.058	4613	tags=48%, list=25%, signal=63%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.45929027	1.6284691	0.0	0.0030541734	0.06	4313	tags=42%, list=23%, signal=55%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		176	0.40754426	1.5479025	0.0	0.0072824094	0.145	3356	tags=30%, list=18%, signal=36%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		157	0.40741202	1.529189	0.0	0.009181454	0.183	2096	tags=23%, list=11%, signal=26%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	0.5012988	1.5231471	0.022913257	0.009322462	0.193	3246	tags=40%, list=18%, signal=49%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		142	0.40569037	1.5193849	0.0013550136	0.009353444	0.2	2105	tags=19%, list=11%, signal=21%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	0.405415	1.5171515	0.0059435363	0.009314708	0.207	1918	tags=24%, list=10%, signal=26%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		70	0.44434282	1.4914504	0.009160305	0.012302955	0.273	1455	tags=21%, list=8%, signal=23%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.42032394	1.4791352	0.013719512	0.01369835	0.306	3340	tags=33%, list=18%, signal=40%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		154	0.38690072	1.4539925	0.00811908	0.016625103	0.36	2654	tags=25%, list=14%, signal=29%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		155	0.37795228	1.4058883	0.011283498	0.026189148	0.533	2373	tags=26%, list=13%, signal=30%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.45538375	1.32413	0.08045977	0.056034707	0.806	726	tags=19%, list=4%, signal=20%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		164	0.31546333	1.1927109	0.120923914	0.16519757	0.993	1900	tags=17%, list=10%, signal=19%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		33	0.4048389	1.175732	0.23458904	0.18163422	0.999	1838	tags=24%, list=10%, signal=27%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.28507003	1.084543	0.2734694	0.3181983	1.0	4213	tags=26%, list=23%, signal=34%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	0.2790248	0.97999597	0.4969325	0.52934605	1.0	3349	tags=19%, list=18%, signal=23%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	0.24250217	0.89863366	0.6973501	0.7023165	1.0	3580	tags=20%, list=19%, signal=25%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.23713772	0.89405763	0.74314576	0.69535965	1.0	2238	tags=13%, list=12%, signal=14%	
