NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		174	-0.5894446	-2.2553008	0.0	0.0	0.0	4525	tags=57%, list=24%, signal=74%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		154	-0.48067972	-1.8317391	0.0	3.095238E-4	0.002	3316	tags=40%, list=18%, signal=49%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.58396727	-1.675931	0.011182109	0.0057186955	0.05	1812	tags=38%, list=10%, signal=42%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	-0.40680966	-1.4884686	0.0068399454	0.031798378	0.311	3332	tags=34%, list=18%, signal=41%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		108	-0.40738618	-1.4666547	0.018571429	0.03169873	0.372	3678	tags=29%, list=20%, signal=36%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		125	-0.39543936	-1.4470544	0.009536785	0.032749042	0.437	3218	tags=27%, list=17%, signal=33%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.48731124	-1.44066	0.056572378	0.029042538	0.443	1577	tags=29%, list=8%, signal=31%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.44780263	-1.2927278	0.1095679	0.097797036	0.913	2388	tags=27%, list=13%, signal=31%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		156	-0.30457202	-1.147002	0.19565217	0.26798663	1.0	2098	tags=22%, list=11%, signal=24%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.3353015	-1.0051098	0.46884736	0.5382802	1.0	631	tags=14%, list=3%, signal=14%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		167	-0.25961617	-0.98525524	0.47866666	0.53376245	1.0	3825	tags=27%, list=21%, signal=34%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		38	-0.29016173	-0.86694163	0.6965742	0.7521385	1.0	3132	tags=21%, list=17%, signal=25%	
