NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		173	-0.45957196	-1.8260884	0.0	0.0017085714	0.004	4455	tags=55%, list=24%, signal=72%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.57650304	-1.7410207	0.00407332	0.0038856973	0.017	3075	tags=43%, list=17%, signal=52%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		107	-0.37412357	-1.3776647	0.024761904	0.11468041	0.513	3761	tags=33%, list=20%, signal=41%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	-0.35432833	-1.3543553	0.02584493	0.10708394	0.601	3087	tags=33%, list=17%, signal=39%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		152	-0.3430444	-1.3356674	0.025440313	0.099213466	0.66	3017	tags=37%, list=16%, signal=44%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		34	-0.4401126	-1.2997948	0.109311745	0.110777	0.758	3859	tags=50%, list=21%, signal=63%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.44791758	-1.2757754	0.14990513	0.117457464	0.822	3275	tags=41%, list=18%, signal=50%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		90	-0.32586932	-1.171714	0.16502947	0.23707649	0.988	3673	tags=23%, list=20%, signal=29%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.35031697	-1.1390349	0.26223093	0.26249713	0.997	1201	tags=12%, list=6%, signal=13%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		165	-0.2794516	-1.0882107	0.25826445	0.3282444	0.999	2785	tags=22%, list=15%, signal=25%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		121	-0.28042012	-1.0403429	0.37428024	0.397182	1.0	4561	tags=35%, list=25%, signal=46%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	-0.28722608	-1.0269399	0.37816763	0.3921053	1.0	832	tags=11%, list=4%, signal=12%	
