NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.80010056	2.722758	0.0	0.0	0.0	1458	tags=63%, list=8%, signal=69%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.7022803	2.6985965	0.0	0.0	0.0	2434	tags=49%, list=13%, signal=55%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.6367424	2.492724	0.0	0.0	0.0	4447	tags=67%, list=24%, signal=88%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.6473968	2.2999024	0.0	0.0	0.0	3681	tags=61%, list=20%, signal=76%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	0.5742367	2.214192	0.0	0.0	0.0	2586	tags=32%, list=14%, signal=37%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		142	0.56561434	2.1835818	0.0	0.0	0.0	3974	tags=46%, list=21%, signal=59%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		132	0.5604158	2.1435964	0.0	0.0	0.0	3817	tags=49%, list=21%, signal=62%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.53389055	2.094936	0.0	0.0	0.0	3337	tags=42%, list=18%, signal=50%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.52920884	2.0921729	0.0	0.0	0.0	3312	tags=34%, list=18%, signal=42%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.4953162	1.9581804	0.0	0.0	0.0	2096	tags=26%, list=11%, signal=29%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	0.5047694	1.9234593	0.0	0.0	0.0	2980	tags=34%, list=16%, signal=41%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		167	0.484153	1.9185792	0.0	0.0	0.0	2491	tags=31%, list=13%, signal=35%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.5216065	1.8890628	0.0	0.0	0.0	2956	tags=36%, list=16%, signal=42%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.47430596	1.8841013	0.0	0.0	0.0	3683	tags=45%, list=20%, signal=56%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.55142444	1.8522027	0.0	2.473016E-4	0.002	3171	tags=40%, list=17%, signal=48%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.4566641	1.7900103	0.0	6.876009E-4	0.006	3228	tags=35%, list=17%, signal=42%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	0.55523795	1.7578571	0.0	8.2712923E-4	0.008	3804	tags=55%, list=21%, signal=69%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.53672856	1.7298535	0.001934236	0.0011988415	0.013	2645	tags=42%, list=14%, signal=48%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.48237017	1.7267298	0.0	0.0011357446	0.013	2611	tags=35%, list=14%, signal=41%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		123	0.45448428	1.722108	0.0	0.001239804	0.015	3227	tags=33%, list=17%, signal=39%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		70	0.4911977	1.7104465	0.0	0.0014853916	0.019	2124	tags=26%, list=11%, signal=29%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		155	0.4322167	1.6900566	0.0	0.0020662632	0.028	3286	tags=37%, list=18%, signal=45%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	0.42428476	1.6819836	0.0	0.0021804336	0.031	2185	tags=25%, list=12%, signal=29%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		145	0.40450248	1.5702277	0.0	0.008651446	0.122	3032	tags=34%, list=16%, signal=40%	
