NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		141	-0.56467676	-2.1237202	0.0	0.0	0.0	4578	tags=55%, list=25%, signal=72%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	-0.50948465	-1.9611113	0.0	0.0	0.0	5568	tags=63%, list=31%, signal=90%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.50275743	-1.9372258	0.0	0.0	0.0	5743	tags=62%, list=32%, signal=89%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.44624206	-1.7125953	0.0	0.0072228336	0.034	4574	tags=46%, list=25%, signal=61%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		145	-0.45722184	-1.709397	0.0	0.005778267	0.034	3991	tags=37%, list=22%, signal=47%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		70	-0.4830642	-1.6347866	0.00729927	0.01154733	0.078	4282	tags=41%, list=24%, signal=54%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.4332439	-1.608244	0.0	0.013137247	0.101	3841	tags=36%, list=21%, signal=45%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.503836	-1.5984348	0.007633588	0.012742221	0.109	3774	tags=42%, list=21%, signal=53%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	-0.36588588	-1.3895812	0.015483871	0.10613351	0.687	3902	tags=30%, list=21%, signal=37%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	-0.3683681	-1.3592281	0.025641026	0.12832804	0.789	2901	tags=20%, list=16%, signal=24%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		168	-0.34829623	-1.3258538	0.039011702	0.15561506	0.879	4095	tags=32%, list=23%, signal=40%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	-0.39752558	-1.2357535	0.1694153	0.28190267	0.988	3541	tags=29%, list=19%, signal=35%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		155	-0.3248732	-1.2322448	0.0944149	0.26718852	0.99	4705	tags=27%, list=26%, signal=36%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	-0.317649	-1.208874	0.105405405	0.29609123	0.995	2419	tags=15%, list=13%, signal=18%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.40082717	-1.20113	0.21331316	0.2931033	0.995	2408	tags=14%, list=13%, signal=16%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		122	-0.29225877	-1.0895517	0.27659574	0.5525979	1.0	4211	tags=25%, list=23%, signal=33%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		107	-0.29381362	-1.0642173	0.32103825	0.59536994	1.0	2717	tags=15%, list=15%, signal=17%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	-0.28031108	-1.0461179	0.3638814	0.61683595	1.0	4234	tags=28%, list=23%, signal=37%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.26541895	-1.010242	0.44052288	0.6932045	1.0	3990	tags=23%, list=22%, signal=29%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	-0.24761769	-0.9492967	0.56201553	0.8505071	1.0	5199	tags=32%, list=29%, signal=45%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		169	-0.24342561	-0.92145133	0.618543	0.89491504	1.0	5021	tags=27%, list=28%, signal=37%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	-0.25676897	-0.9201949	0.6136364	0.8580682	1.0	5279	tags=32%, list=29%, signal=45%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		163	-0.22789088	-0.8680534	0.75	0.9656518	1.0	4759	tags=31%, list=26%, signal=41%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	-0.26420048	-0.86785626	0.67983073	0.925828	1.0	3554	tags=15%, list=20%, signal=19%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	-0.21954717	-0.84367746	0.8242894	0.9441908	1.0	4461	tags=29%, list=25%, signal=38%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.27525192	-0.7790021	0.7916667	1.0	1.0	1334	tags=10%, list=7%, signal=11%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		34	-0.25800186	-0.776994	0.82802546	0.9984807	1.0	2768	tags=21%, list=15%, signal=24%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	-0.19349305	-0.74411964	0.96103895	1.0	1.0	1997	tags=11%, list=11%, signal=12%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		90	-0.20458367	-0.7213034	0.9396783	0.9865987	1.0	5370	tags=34%, list=30%, signal=49%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		90	-0.20289451	-0.7074647	0.95152354	0.963448	1.0	5219	tags=27%, list=29%, signal=37%	
