NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	0.6162585	2.7938466	0.0	0.0	0.0	3387	tags=58%, list=19%, signal=71%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.5791985	2.610454	0.0	0.0	0.0	3380	tags=58%, list=18%, signal=71%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.38581958	1.7412442	0.0	0.0044333334	0.007	4180	tags=30%, list=23%, signal=39%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.34919694	1.5733763	0.0	0.019673906	0.047	4307	tags=37%, list=24%, signal=48%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.28134665	1.256424	0.021052632	0.18056817	0.434	2546	tags=21%, list=14%, signal=24%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		90	0.26075253	1.0790669	0.28143713	0.54263556	0.874	2914	tags=23%, list=16%, signal=28%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		173	0.23142183	1.0332919	0.4	0.6357251	0.942	4917	tags=42%, list=27%, signal=57%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	0.28156424	1.0152794	0.3911111	0.6259488	0.954	1893	tags=22%, list=10%, signal=24%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.23883654	0.9614529	0.57653064	0.7467192	0.986	1814	tags=17%, list=10%, signal=18%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.24431552	0.8449318	0.712	1.0	0.998	4129	tags=32%, list=23%, signal=42%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.17557478	0.7508323	0.991453	1.0	1.0	4591	tags=30%, list=25%, signal=40%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	0.20279482	0.66310793	0.9372694	0.987604	1.0	4125	tags=33%, list=23%, signal=43%	
