NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.60025024	-1.7164336	0.0032102729	0.021277893	0.029	5354	tags=55%, list=29%, signal=78%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		107	-0.4043481	-1.4914687	0.017316017	0.15699711	0.339	6277	tags=61%, list=35%, signal=92%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	-0.36940184	-1.4138521	0.020804439	0.2238181	0.587	4279	tags=30%, list=24%, signal=39%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.46132913	-1.3857557	0.07559055	0.2181551	0.688	5643	tags=49%, list=31%, signal=70%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		172	-0.3529299	-1.3738011	0.019607844	0.19591726	0.734	6327	tags=45%, list=35%, signal=69%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		163	-0.34804717	-1.3471756	0.032697547	0.20679204	0.809	4719	tags=34%, list=26%, signal=46%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.4424795	-1.3425714	0.09409888	0.18414515	0.817	2525	tags=32%, list=14%, signal=38%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		168	-0.34962583	-1.3414806	0.024216523	0.16231427	0.82	5361	tags=41%, list=30%, signal=58%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		146	-0.34189293	-1.2845749	0.05485232	0.23065102	0.94	5020	tags=34%, list=28%, signal=47%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		156	-0.31210124	-1.2050464	0.12201963	0.3671597	0.997	4298	tags=32%, list=24%, signal=42%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		142	-0.303014	-1.1310974	0.23141655	0.54152274	1.0	4527	tags=27%, list=25%, signal=35%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	-0.3165347	-1.1050656	0.28751975	0.5817122	1.0	2656	tags=21%, list=15%, signal=25%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		164	-0.28427377	-1.0941745	0.27656674	0.57012	1.0	2126	tags=16%, list=12%, signal=18%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	-0.3075201	-1.0827844	0.3001464	0.5642501	1.0	3845	tags=26%, list=21%, signal=33%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		70	-0.31950888	-1.074439	0.32388058	0.5512825	1.0	4957	tags=34%, list=27%, signal=47%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		121	-0.2892021	-1.0682151	0.32959327	0.5320235	1.0	6130	tags=48%, list=34%, signal=72%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	-0.27929658	-1.0490199	0.33472222	0.5523508	1.0	5066	tags=37%, list=28%, signal=51%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		155	-0.2718576	-1.0314877	0.38062757	0.56873524	1.0	1911	tags=13%, list=11%, signal=14%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.3278413	-0.98458225	0.48183253	0.6688236	1.0	7004	tags=54%, list=39%, signal=88%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		29	-0.33545825	-0.9638492	0.5040783	0.69062513	1.0	7011	tags=62%, list=39%, signal=101%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		150	-0.24239284	-0.9175772	0.6389646	0.7836462	1.0	2503	tags=13%, list=14%, signal=15%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	-0.23007298	-0.86854905	0.7636612	0.876167	1.0	2882	tags=19%, list=16%, signal=22%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	-0.24067855	-0.85541993	0.74425286	0.8684679	1.0	3244	tags=18%, list=18%, signal=22%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	-0.22458601	-0.8420044	0.7922438	0.859507	1.0	4476	tags=23%, list=25%, signal=31%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		176	-0.20888405	-0.81740755	0.86290324	0.8716022	1.0	3143	tags=19%, list=17%, signal=23%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		33	-0.26900166	-0.7940521	0.7846656	0.87684536	1.0	5290	tags=33%, list=29%, signal=47%	
