NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.5268335	2.2528567	0.0	0.0	0.0	4044	tags=47%, list=22%, signal=60%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.45972985	1.9474286	0.0	0.0	0.0	5070	tags=42%, list=28%, signal=58%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.39288327	1.6935817	0.0	0.008748488	0.016	4231	tags=39%, list=23%, signal=51%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.40721238	1.6134092	0.003003003	0.01958351	0.046	4816	tags=42%, list=27%, signal=57%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	0.4432905	1.5167223	0.021447722	0.041545108	0.123	3752	tags=43%, list=21%, signal=54%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.35106128	1.5149888	0.008658009	0.035462197	0.126	2541	tags=21%, list=14%, signal=24%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.34196845	1.4540414	0.003875969	0.051891327	0.206	3259	tags=30%, list=18%, signal=36%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.36232153	1.3231604	0.058651026	0.13577034	0.484	3909	tags=42%, list=22%, signal=53%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	0.3284489	1.3013147	0.06542056	0.14182654	0.546	4933	tags=43%, list=27%, signal=59%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		146	0.30611417	1.2968732	0.035714287	0.13203397	0.558	3610	tags=31%, list=20%, signal=38%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		131	0.30429256	1.284592	0.04942966	0.13305978	0.59	3124	tags=27%, list=17%, signal=33%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		172	0.296247	1.283838	0.03265306	0.1224957	0.591	5805	tags=44%, list=32%, signal=64%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	0.35289243	1.2139314	0.17318435	0.1963176	0.801	2862	tags=22%, list=16%, signal=26%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.27824044	1.194082	0.06692913	0.21165718	0.851	6201	tags=47%, list=34%, signal=71%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		47	0.30647907	1.0753703	0.3472222	0.45389047	0.992	3064	tags=30%, list=17%, signal=36%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.29467183	1.0715613	0.32551318	0.43862173	0.994	5844	tags=47%, list=32%, signal=69%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.23388897	1.0136946	0.41132075	0.5861388	1.0	2883	tags=21%, list=16%, signal=25%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	0.2374711	0.9839865	0.5035461	0.657023	1.0	2608	tags=19%, list=14%, signal=22%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.2509736	0.98173666	0.53333336	0.62954473	1.0	3122	tags=24%, list=17%, signal=29%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.21631199	0.9366028	0.63374484	0.7393519	1.0	4152	tags=26%, list=23%, signal=33%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	0.22184865	0.9360914	0.66548043	0.7052761	1.0	5519	tags=39%, list=30%, signal=56%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		121	0.20285815	0.8268784	0.8942308	0.94546866	1.0	4275	tags=31%, list=24%, signal=41%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.18891189	0.81187606	0.9522059	0.9278509	1.0	3790	tags=24%, list=21%, signal=31%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.19330637	0.7637441	0.96330273	0.9446138	1.0	3131	tags=20%, list=17%, signal=24%	
