NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	-0.76896954	-3.078545	0.0	0.0	0.0	1836	tags=66%, list=10%, signal=73%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.7178778	-2.8501346	0.0	0.0	0.0	2691	tags=60%, list=15%, signal=69%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.69523865	-2.780217	0.0	0.0	0.0	2935	tags=58%, list=16%, signal=69%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.73825854	-2.4292707	0.0	0.0	0.0	2736	tags=70%, list=15%, signal=82%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		141	-0.54378986	-2.1124063	0.0	0.0	0.0	3654	tags=52%, list=20%, signal=64%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.4764809	-1.855721	0.0	2.625E-4	0.002	2552	tags=35%, list=14%, signal=40%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	-0.4247211	-1.677997	0.0	0.0028949399	0.025	1176	tags=27%, list=6%, signal=28%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		90	-0.45091507	-1.6487429	0.0	0.0038899437	0.037	3313	tags=32%, list=18%, signal=39%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	-0.32289144	-1.2964647	0.025531914	0.12331346	0.734	3832	tags=35%, list=21%, signal=44%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		70	-0.37134844	-1.2942804	0.07528958	0.113649	0.745	2427	tags=26%, list=13%, signal=30%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	-0.314812	-1.2256144	0.08801498	0.18717428	0.906	3953	tags=37%, list=22%, signal=46%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	-0.28628448	-1.1497881	0.13717695	0.30910313	0.99	3830	tags=38%, list=21%, signal=47%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	-0.28667754	-1.120423	0.17928287	0.35010266	0.995	3828	tags=28%, list=21%, signal=36%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	-0.2908215	-1.0746608	0.30705395	0.43806064	0.999	3829	tags=33%, list=21%, signal=41%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	-0.2640602	-1.0452483	0.34226805	0.48997816	1.0	3408	tags=25%, list=19%, signal=30%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		34	-0.30376133	-0.9225332	0.5781893	0.8497685	1.0	2418	tags=26%, list=13%, signal=30%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.26693526	-0.8286048	0.73991936	1.0	1.0	4908	tags=34%, list=27%, signal=47%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		107	-0.21656711	-0.80940676	0.88911706	1.0	1.0	3908	tags=20%, list=21%, signal=25%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		38	-0.25331396	-0.78275424	0.86166006	1.0	1.0	6400	tags=50%, list=35%, signal=77%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.23826173	-0.7310332	0.9057377	1.0	1.0	4284	tags=35%, list=23%, signal=46%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.21188559	-0.6249258	0.9655172	0.9958833	1.0	4284	tags=30%, list=23%, signal=39%	
