NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		47	0.6562739	2.1297657	0.0	0.0	0.0	2644	tags=51%, list=14%, signal=60%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.56872535	2.0811608	0.0	0.0	0.0	3209	tags=40%, list=17%, signal=49%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	0.5428872	2.0143447	0.0	0.0	0.0	5287	tags=60%, list=29%, signal=84%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	0.5061365	2.0063715	0.0	0.0	0.0	2269	tags=30%, list=12%, signal=34%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		146	0.48747915	1.8937389	0.0	0.0	0.0	3358	tags=37%, list=18%, signal=45%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		132	0.47984517	1.8503224	0.0	0.0	0.0	2460	tags=30%, list=13%, signal=34%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.45039478	1.7909957	0.0	6.3099933E-4	0.004	2462	tags=24%, list=13%, signal=28%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.5038388	1.7532433	0.0	0.0011025692	0.008	3411	tags=42%, list=19%, signal=51%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.43481514	1.69602	0.0020325202	0.0027870205	0.021	3209	tags=37%, list=17%, signal=45%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		177	0.42004398	1.6739557	0.0	0.0034499108	0.029	2148	tags=25%, list=12%, signal=29%	
