NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	0.48736313	1.9423487	0.0	0.0	0.0	3032	tags=34%, list=17%, signal=40%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		47	0.59262365	1.932475	0.0	0.0	0.0	2884	tags=49%, list=16%, signal=58%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.5127488	1.9044399	0.0	4.1935482E-4	0.001	5418	tags=54%, list=30%, signal=77%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		169	0.4539478	1.8181702	0.0	0.0020054153	0.007	2711	tags=30%, list=15%, signal=35%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		122	0.47605646	1.8014086	0.0	0.001604332	0.007	2006	tags=26%, list=11%, signal=29%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	0.46135014	1.7970064	0.0	0.0013369434	0.007	2879	tags=33%, list=16%, signal=39%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	0.43166026	1.7382873	0.0	0.0027767157	0.018	5417	tags=45%, list=30%, signal=63%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		146	0.42752376	1.671831	0.0	0.006835107	0.049	2592	tags=29%, list=14%, signal=33%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		157	0.42149973	1.6662246	0.0	0.006565473	0.053	2847	tags=29%, list=16%, signal=34%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.40632513	1.6356589	0.0	0.0087982025	0.079	6554	tags=50%, list=36%, signal=77%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		132	0.4188173	1.617151	0.0	0.00916969	0.088	4691	tags=39%, list=26%, signal=53%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.47622955	1.613636	0.0061068702	0.0090364395	0.094	2415	tags=28%, list=13%, signal=33%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.43688387	1.6103792	0.0057803467	0.008507995	0.096	2056	tags=26%, list=11%, signal=29%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.4334806	1.6048455	0.0	0.008541518	0.103	4206	tags=36%, list=23%, signal=47%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		177	0.4032792	1.6029993	0.0	0.007972083	0.103	2648	tags=27%, list=14%, signal=31%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.3884392	1.5660367	0.001344086	0.011218343	0.152	4282	tags=37%, list=23%, signal=48%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.44026735	1.5363336	0.0122887865	0.0136976	0.192	5548	tags=50%, list=30%, signal=71%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	0.4766468	1.5201294	0.026397515	0.015352539	0.226	2549	tags=26%, list=14%, signal=30%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		152	0.38712445	1.5148414	0.0013586957	0.015652949	0.24	3345	tags=24%, list=18%, signal=29%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		156	0.37892473	1.4906425	0.0026809652	0.019744935	0.306	1272	tags=16%, list=7%, signal=17%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.3472647	1.3654609	0.025065962	0.064722985	0.725	3391	tags=31%, list=18%, signal=38%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		158	0.34137142	1.3288875	0.036939315	0.086968035	0.832	2191	tags=20%, list=12%, signal=23%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		34	0.41898343	1.288421	0.13665594	0.118618004	0.93	1266	tags=18%, list=7%, signal=19%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		172	0.31279752	1.24235	0.07001321	0.16787258	0.974	1300	tags=10%, list=7%, signal=11%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		170	0.31167042	1.2390115	0.07751938	0.1658573	0.977	2240	tags=19%, list=12%, signal=22%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		71	0.3439028	1.2160351	0.15781488	0.18909276	0.988	2311	tags=20%, list=13%, signal=22%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.32143793	1.1871489	0.16784203	0.22460115	0.994	5260	tags=42%, list=29%, signal=59%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	0.28104603	1.0982964	0.26891893	0.38295722	1.0	3368	tags=22%, list=18%, signal=27%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	0.36675334	1.0870724	0.34860885	0.3934501	1.0	1002	tags=10%, list=5%, signal=11%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	0.2723127	1.069245	0.32453826	0.4195225	1.0	4325	tags=27%, list=24%, signal=35%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.2879271	1.0576484	0.34649122	0.4332258	1.0	3841	tags=31%, list=21%, signal=39%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		166	0.26688224	1.0563824	0.34428385	0.4223387	1.0	3422	tags=22%, list=19%, signal=27%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		108	0.27209643	1.0244291	0.3974719	0.48394534	1.0	2849	tags=19%, list=16%, signal=22%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	0.25872403	1.0022249	0.44474393	0.52062535	1.0	5492	tags=38%, list=30%, signal=54%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		123	0.2570705	0.9805258	0.51586205	0.55898815	1.0	1975	tags=13%, list=11%, signal=14%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.24506322	0.95450926	0.5681512	0.6062819	1.0	3342	tags=22%, list=18%, signal=26%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	0.2764901	0.85667884	0.6887836	0.8142502	1.0	3020	tags=20%, list=16%, signal=24%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.22716881	0.83788705	0.79741377	0.8306137	1.0	3302	tags=22%, list=18%, signal=26%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	0.20755224	0.62295854	0.9509494	0.99340725	1.0	2916	tags=17%, list=16%, signal=20%	
