NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	-0.6522218	-2.7753153	0.0	0.0	0.0	3831	tags=65%, list=21%, signal=81%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.59195507	-2.4915295	0.0	0.0	0.0	4093	tags=52%, list=22%, signal=66%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.55032223	-2.3266957	0.0	0.0	0.0	3813	tags=55%, list=21%, signal=69%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.55655026	-1.937442	0.0	2.9545455E-4	0.001	4276	tags=60%, list=24%, signal=78%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.43656164	-1.8052775	0.0	0.00161487	0.006	2717	tags=35%, list=15%, signal=41%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.3571536	-1.5306882	0.0	0.015417475	0.079	4244	tags=38%, list=23%, signal=49%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	-0.26698467	-1.1398207	0.14285715	0.33305308	0.89	3594	tags=24%, list=20%, signal=30%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		141	-0.2573013	-1.0770574	0.25862068	0.45098892	0.97	4395	tags=28%, list=24%, signal=37%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	-0.26873872	-1.0451082	0.36090225	0.49370873	0.988	3558	tags=25%, list=20%, signal=31%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	-0.28504795	-1.0288746	0.36458334	0.48975143	0.993	4825	tags=40%, list=27%, signal=54%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	-0.28021032	-0.9418902	0.5660377	0.72195846	1.0	4711	tags=36%, list=26%, signal=48%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.2942951	-0.91016257	0.5884058	0.7560269	1.0	3968	tags=33%, list=22%, signal=43%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	-0.18165106	-0.76685685	0.9786096	0.94200236	1.0	2714	tags=15%, list=15%, signal=18%	
