NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.57319975	1.9551753	0.0013386881	0.0022094473	0.002	2667	tags=39%, list=15%, signal=45%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.57670414	1.9363	0.0	0.0011047237	0.002	3386	tags=39%, list=19%, signal=48%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	0.6292242	1.8512053	0.0046875	0.0031145965	0.009	3099	tags=49%, list=17%, signal=59%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	0.62855685	1.7823275	0.0	0.003343257	0.013	4031	tags=38%, list=22%, signal=49%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	0.4311984	1.5810472	0.0	0.027437484	0.132	3270	tags=24%, list=18%, signal=29%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		92	0.45641744	1.552711	0.0026560426	0.031331763	0.18	4762	tags=43%, list=26%, signal=59%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		163	0.42249668	1.5313432	0.0012315271	0.035852876	0.23	2466	tags=18%, list=14%, signal=21%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	0.42377093	1.5247148	0.0	0.03462117	0.249	3514	tags=26%, list=19%, signal=33%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		107	0.4384405	1.5161644	0.00538358	0.033171345	0.268	2159	tags=20%, list=12%, signal=22%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	0.4838115	1.499226	0.022692889	0.036369137	0.313	3686	tags=38%, list=20%, signal=47%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		175	0.40667456	1.4782084	0.004830918	0.04091277	0.368	1964	tags=20%, list=11%, signal=22%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		146	0.392413	1.4070497	0.020539153	0.08029549	0.647	2787	tags=26%, list=15%, signal=30%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	0.48688504	1.4009718	0.07035928	0.07886949	0.668	1876	tags=20%, list=10%, signal=22%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		131	0.39079922	1.3933339	0.024358975	0.07968245	0.695	3171	tags=28%, list=17%, signal=34%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.3799953	1.2844932	0.096317284	0.19488877	0.956	4195	tags=30%, list=23%, signal=39%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	0.34641835	1.2480471	0.09888752	0.24249843	0.983	3374	tags=24%, list=19%, signal=29%	
