NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		157	-0.4724416	-1.8861357	0.0	0.0039587137	0.004	2757	tags=29%, list=15%, signal=34%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	-0.51227474	-1.7469677	0.0018518518	0.007092163	0.013	4166	tags=52%, list=23%, signal=67%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		169	-0.41619346	-1.7013621	0.0	0.00874471	0.023	3814	tags=33%, list=21%, signal=41%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	-0.41870493	-1.6845077	0.0	0.0076608867	0.027	2897	tags=27%, list=16%, signal=31%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		134	-0.4051511	-1.5858189	0.0	0.02579821	0.112	3193	tags=28%, list=17%, signal=34%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	-0.416937	-1.4465284	0.03142329	0.08954629	0.382	3210	tags=23%, list=18%, signal=28%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		152	-0.3638353	-1.441888	0.0069204154	0.07969296	0.391	2388	tags=20%, list=13%, signal=23%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		121	-0.35783654	-1.3783057	0.016363636	0.1284849	0.599	2474	tags=21%, list=14%, signal=25%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	-0.3297767	-1.3357277	0.015570934	0.16757417	0.754	3764	tags=25%, list=21%, signal=31%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.3213276	-1.3008872	0.047058824	0.20458366	0.855	3877	tags=26%, list=21%, signal=33%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		133	-0.32922578	-1.279313	0.070689656	0.2190621	0.902	1349	tags=13%, list=7%, signal=14%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		146	-0.30209392	-1.1945379	0.12520868	0.36775312	0.992	1639	tags=14%, list=9%, signal=15%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.3913562	-1.1937388	0.21296297	0.3421557	0.993	4972	tags=37%, list=27%, signal=50%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	-0.2966298	-1.1881846	0.11714771	0.32943884	0.996	2999	tags=22%, list=16%, signal=27%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	-0.3597829	-1.1436248	0.24380952	0.41223785	1.0	4772	tags=43%, list=26%, signal=58%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		171	-0.28086677	-1.1366427	0.16949153	0.40399858	1.0	2452	tags=15%, list=13%, signal=17%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		172	-0.27801588	-1.1343446	0.191453	0.38638514	1.0	3132	tags=13%, list=17%, signal=16%	
