NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.5472763	2.2981658	0.0	0.0	0.0	4681	tags=58%, list=26%, signal=78%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		38	0.6979423	2.2715888	0.0	0.0	0.0	2765	tags=47%, list=15%, signal=56%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	0.5065536	2.1288369	0.0	0.0	0.0	4672	tags=65%, list=26%, signal=86%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.40710416	1.6916597	0.0	0.008864494	0.04	4672	tags=47%, list=26%, signal=62%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	0.4533812	1.5513511	0.01754386	0.030502593	0.165	4540	tags=58%, list=25%, signal=77%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	0.3832056	1.4638077	0.018181818	0.052891534	0.309	3350	tags=31%, list=18%, signal=38%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.334288	1.4047476	0.023529412	0.076874696	0.465	3376	tags=32%, list=18%, signal=38%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		90	0.3636681	1.3798417	0.039647575	0.08057155	0.522	3044	tags=29%, list=17%, signal=34%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.3188366	1.3150705	0.036764707	0.12119769	0.711	3136	tags=26%, list=17%, signal=32%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.3109849	1.2479824	0.05882353	0.18160672	0.894	5780	tags=44%, list=32%, signal=64%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		92	0.31987965	1.2345892	0.0921659	0.18008912	0.909	1466	tags=15%, list=8%, signal=16%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.25133336	0.95912266	0.5506608	0.85473216	1.0	4826	tags=43%, list=26%, signal=58%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	0.29917872	0.9516974	0.5235955	0.8155709	1.0	1615	tags=19%, list=9%, signal=21%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.24720685	0.9496421	0.57427937	0.7644574	1.0	2762	tags=19%, list=15%, signal=22%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	0.31128427	0.9463093	0.5262055	0.72534704	1.0	1818	tags=17%, list=10%, signal=19%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		155	0.2317286	0.9328178	0.6099291	0.7213223	1.0	2967	tags=21%, list=16%, signal=24%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		177	0.21636596	0.90042627	0.73417723	0.771734	1.0	2810	tags=18%, list=15%, signal=21%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		166	0.21326567	0.88542616	0.7451923	0.76828074	1.0	4383	tags=27%, list=24%, signal=35%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	0.21505538	0.67321604	0.93333334	0.98632735	1.0	2386	tags=17%, list=13%, signal=20%	
