"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC121106528",16.0941421140267,-5.13813108223223,1.24680196711708,-4.12104826407429,3.77152396547692e-05,0.67812000899275
"CBX2",11.147070061544,-1.08615618839562,0.292582399821938,-3.71230870023844,0.000205377279124515,0.761187565150115
"CR2",115.891590859817,1.84948806028205,0.503371095527163,3.67420393565734,0.000238592116336392,0.761187565150115
"DPYSL4",5.53700488597465,2.39583397708026,0.662577941625611,3.61592776723319,0.000299273825275196,0.761187565150115
"KCNQ1",33.7194762837046,1.15205393057373,0.324257843107087,3.55289457159949,0.000381017134947221,0.761187565150115
"LOC107049904",4.76238566511533,2.07558133168037,0.568068058488974,3.65375468777683,0.000258433191732195,0.761187565150115
"LOC107053703",184.014889945747,-0.969008595673862,0.253825264187994,-3.81762075092797,0.000134744842949746,0.761187565150115
"STC2",9.65562479797467,3.05418243433507,0.807025271731106,3.78449416804967,0.000154021519066847,0.761187565150115
"THNSL2",1346.90569464467,-0.554241292567004,0.155837662833484,-3.55652980473162,0.000375785864272968,0.761187565150115
"LOC100858322",37.4224133114304,-1.10889736979838,0.314674056772359,-3.52395548960229,0.000425155661950678,0.764429880187319
"GRTP1",381.924773419342,-0.621742480438038,0.180057514394163,-3.45302156663668,0.000554344681336448,0.777957538729464
"LOC107051453",12.2047861234446,2.44623912765542,0.708540325177603,3.45250515846397,0.000555406856487611,0.777957538729464
"TSNAXIP1",6.07866662063865,-1.57008741672186,0.455218127914071,-3.44908807546046,0.000562483203753228,0.777957538729464
"A1CF",2158.94423524417,-0.407328824767779,0.235478288130331,-1.72979355337565,0.0836671666515982,0.998317807583015
"A2M",5.34342792211695,-0.795302618629482,0.478385172235037,-1.66247338920183,0.0964178946529395,0.998317807583015
"A2ML1",20.1456511441386,0.433810295518357,0.393872576243524,1.10139756277457,0.270723665720421,0.998317807583015
"A2ML2",3.41619311399166,-0.760082086073467,0.60226666476872,-1.26203579001895,0.206935908213891,0.998317807583015
"A2ML3",2.22563967866857,1.70491241526043,0.811591381971498,2.10070295610939,0.035667049675442,0.998317807583015
"A4GALT",90.9594516312762,0.168459813267921,0.358416128925109,0.470011809382385,0.6383465803676,0.998317807583015
"AAAS",1142.84172618621,0.184357564231964,0.218332409572983,0.844389362955927,0.398451864400966,0.998317807583015
"AACS",1445.46435452983,-0.105159980488146,0.209678152589271,-0.5015304608017,0.615997845725889,0.998317807583015
"AADAC",802.927453527217,-0.556937657711874,0.619607259674475,-0.898855926905172,0.36872940607075,0.998317807583015
"AADACL3C",1.74978033977959,0.39447530241772,0.908060146252428,0.434415389823816,0.663986824084728,0.998317807583015
"AADACL4B",2.89504321481303,1.39717882832896,1.03493849345753,1.35001146170654,0.177012306369985,0.998317807583015
"AADAT",50.5371673384484,0.136304138604759,0.317947801702974,0.428699735851907,0.668141752901143,0.998317807583015
"AAED1",249.088690036102,-0.122939035714534,0.143216564465134,-0.858413523419374,0.39066416278336,0.998317807583015
"AAGAB",875.533031111644,-0.0749028288305923,0.0949122670632,-0.789179640822573,0.430007019514967,0.998317807583015
"AAK1",1312.43443361702,-0.166262229027112,0.148609260509413,-1.11878780943521,0.263230673591594,0.998317807583015
"AAMDC",180.349427407082,-0.172198460819666,0.229905829156721,-0.748995627693644,0.453859840736111,0.998317807583015
"AAMP",1204.92805628331,0.0751780878664045,0.0819073368780516,0.917843147291359,0.358700989493576,0.998317807583015
"AANAT",4.52431773155976,0.551242332238744,0.551238788371388,1.00000642891507,0.317307396654438,0.998317807583015
"AAR2",338.563156736561,0.152293351430538,0.120477255585647,1.26408383632438,0.206199937518749,0.998317807583015
"AARS2",404.734378296299,0.0626151461387439,0.11655095098112,0.537234107586877,0.591105914167357,0.998317807583015
"AARSD1",2037.60536682913,-0.227377500350232,0.16705128017664,-1.36112396211392,0.173474518332934,0.998317807583015
"AASDH",100.937564259039,-0.0498599259661291,0.172249556224548,-0.289463305792967,0.77222685624468,0.998317807583015
"AASDHPPT",56.9761815482786,-0.21992308963326,0.164549359266324,-1.33651744749314,0.181380201580847,0.998317807583015
"AASS",73.110526857009,0.160058021207785,0.333811162371301,0.479486725580947,0.631592409483485,0.998317807583015
"AATF",163.778517089935,0.331773925281648,0.149020718234871,2.22636106718222,0.0259900060846016,0.998317807583015
"AATK",44.8380190942918,0.195079030814789,0.344743459209416,0.565867243028061,0.571484030949695,0.998317807583015
"ABCA1",480.392119046312,-0.0794679887417768,0.19305072701779,-0.411643043097444,0.680601077803784,0.998317807583015
"ABCA12",2.41271424769004,-0.517301619231002,0.74181454882603,-0.697346284256174,0.485586109079793,0.998317807583015
"ABCA13",1.63377049236096,-0.713500211035574,1.19585174508037,-0.596646042430304,0.550743724243488,0.998317807583015
"ABCA2",1203.46882181622,-0.0872441503704926,0.130983109024157,-0.666071763149263,0.505365231936215,0.998317807583015
"ABCA4",7.11269110470129,0.20706908461471,0.506226600855137,0.40904425856903,0.682507181681445,0.998317807583015
"ABCA5",514.734713897135,-0.0918843452410672,0.139376261626268,-0.659253908584889,0.509732734658755,0.998317807583015
"ABCA7",125.580049687094,-0.600178674996882,0.288272661203591,-2.08198263578317,0.0373440558193509,0.998317807583015
"ABCA8",33.2215252174295,-0.371095864054239,0.542224386379215,-0.684395378327203,0.493725533628705,0.998317807583015
"ABCA9",147.355928696942,0.510407861290612,0.431878356923813,1.18183246070988,0.237272185006737,0.998317807583015
"ABCB1",6658.92995037055,-0.103194528538592,0.200610570852014,-0.514402247599987,0.606970788162981,0.998317807583015
"ABCB11",33.5649416349394,-0.196600083555172,0.302128526228957,-0.6507167198313,0.515229368083759,0.998317807583015
"ABCB1LA",40.3870253707363,-0.183935260503782,0.338447296519182,-0.543467956150028,0.586807647799786,0.998317807583015
"ABCB5",331.837461550747,0.900792363045364,0.37760717627411,2.38552765848779,0.0170546398906998,0.998317807583015
"ABCB6",1076.72707318062,-0.088194742719318,0.21467911027279,-0.410821260658524,0.681203602328695,0.998317807583015
"ABCB7",734.990703776236,-0.192452961325155,0.20261517087268,-0.949844774684165,0.342191131226946,0.998317807583015
"ABCB8",1147.51380345266,0.0903923684654435,0.165540645428268,0.546043349242663,0.585036139603195,0.998317807583015
"ABCB9",885.363926649522,-0.197055739870173,0.222591374807929,-0.885280213755853,0.376005518819711,0.998317807583015
"ABCC1",538.420510963035,0.218527732970216,0.172751729447303,1.26498144863364,0.205877978098439,0.998317807583015
"ABCC10",3183.47662318812,-0.302229161593082,0.192794620893665,-1.56762237552143,0.116969287024537,0.998317807583015
"ABCC13",179.00559702213,-0.132421381332904,0.150390394509042,-0.880517547448434,0.378579003487374,0.998317807583015
"ABCC2",2207.91685790172,-0.24136790983298,0.267132506586823,-0.903551248468263,0.366233401897599,0.998317807583015
"ABCC4",408.97839482039,0.197454014701057,0.120582245837239,1.63750486922908,0.101525022367769,0.998317807583015
"ABCC5",1700.86231782022,-0.0858966629165082,0.15433030743996,-0.556576762797712,0.57781663389993,0.998317807583015
"ABCC6",309.545427811921,-0.281178568645048,0.269714283158278,-1.04250529616944,0.297177471303563,0.998317807583015
"ABCC9",88.0492480622266,0.366364846549071,0.454937091128037,0.805308807951123,0.420641500298535,0.998317807583015
"ABCD2",1815.41096516642,-0.649915922901394,0.472616209686053,-1.37514522265988,0.169086426610604,0.998317807583015
"ABCD3",3493.51577551782,-0.308350663708007,0.287495151607875,-1.07254213500121,0.283476599303391,0.998317807583015
