NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	-0.40090606	-1.5493323	0.0	0.068677455	0.147	5430	tags=46%, list=30%, signal=66%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	-0.4361739	-1.5489502	0.0058479533	0.034338728	0.147	2892	tags=30%, list=16%, signal=36%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	-0.36623523	-1.2624419	0.14772727	0.2900252	0.852	3987	tags=35%, list=22%, signal=45%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	-0.29957366	-1.2512193	0.066	0.23514025	0.87	3834	tags=31%, list=21%, signal=39%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.34508532	-1.1335052	0.25858587	0.44524202	0.994	4031	tags=41%, list=22%, signal=52%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		156	-0.26723528	-1.1144061	0.19417475	0.42168167	0.998	3260	tags=27%, list=18%, signal=33%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		173	-0.23576352	-0.9937989	0.46072188	0.72848076	1.0	3422	tags=21%, list=19%, signal=25%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.2974393	-0.9657674	0.5186722	0.73313385	1.0	3697	tags=34%, list=21%, signal=43%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		91	-0.24145976	-0.93729204	0.59	0.7409073	1.0	3513	tags=25%, list=20%, signal=31%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		96	-0.23106037	-0.89737284	0.668	0.774455	1.0	4866	tags=38%, list=27%, signal=51%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.12015649	-0.5044535	1.0	0.9993515	1.0	6814	tags=38%, list=38%, signal=60%	
