"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GVINP1",1578.59950336085,2.36859469816633,0.278213400465307,8.51358954746569,1.68630159374559e-17,2.83534749972383e-13
"LY6E",9416.01448137353,3.06802830082757,0.364148805493326,8.42520490125239,3.60119490562798e-17,3.02752455716144e-13
"NEURL1B",4927.23413725459,2.40089915330606,0.295546293785603,8.12359756758696,4.52564620999564e-16,2.53647384582889e-12
"BATF3",619.772666203616,2.0677135752865,0.257918154589423,8.01693691775235,1.08414764125363e-15,4.55721461000962e-12
"IFI27L2",9481.21586407127,2.52402880207987,0.318361064343399,7.92819563939307,2.2235283030638e-15,7.47728097754294e-12
"NAALAD2",152.87945565173,-1.83245704173582,0.248961556757229,-7.36040160418304,1.83357747722748e-13,4.4042531003004e-10
"SERPING1",2665.34140673407,2.04121817257135,0.277138539366075,7.36533495933269,1.76702615160069e-13,4.4042531003004e-10
"TGM4",927.11175320784,3.78674228057171,0.52108486508553,7.26703562950376,3.67461910611839e-13,7.72313070628432e-10
"IRF8",6798.30579334604,1.1415546661058,0.161415322954155,7.07215799103549,1.52542598987931e-12,2.84983473264786e-09
"LOC112533405",11.7168274784491,5.45145793527282,0.773493167792982,7.04784238861156,1.81713290901509e-12,3.05532727321798e-09
"KRT13",18.7856260371025,7.1109186252533,1.0117193349004,7.02854870906796,2.08692771983125e-12,3.18996388011297e-09
"BCL2L10",1565.193495018,1.19175326511053,0.172811749939105,6.89625135750592,5.33926893554449e-12,6.90572829863424e-09
"IFI6",19313.6211000845,2.52915020581972,0.366563436408423,6.89962487966681,5.21400361426032e-12,6.90572829863424e-09
"LOC420368",2311.08398655004,1.88896947454131,0.277061029816334,6.81788223985712,9.23923255354024e-12,1.10963182968018e-08
"SLC13A3",24.0891399078978,-3.25371495645822,0.492655206464387,-6.60444650490753,3.99005255284485e-11,4.47258290823556e-08
"J6367_mgp09",1400.6320944805,-3.87221602110955,0.59257901230141,-6.53451428539623,6.381630379269e-11,6.70629582481431e-08
"LOC101749758",36.8681698460859,-2.62391359029584,0.407070784374036,-6.445841094518,1.14961063637607e-10,1.13703254353101e-07
"PLCXD3",68.4710127661116,-2.22201906155444,0.346376335167754,-6.4150429343803,1.40783179658612e-10,1.31507132376661e-07
"KRT24",53.8105666413483,5.47646550163394,0.860986363532948,6.36068785010945,2.00852250457443e-10,1.77743670483761e-07
"LYGL",636.12178588626,3.08921809543854,0.487567078834815,6.33598581516443,2.35828485507571e-10,1.98261007766215e-07
"GIMAP1-GIMAP5",2796.31851887459,1.47250382232075,0.234876572152625,6.26926648675675,3.62752849906526e-10,2.90444115158492e-07
"RNF19B",1358.87791135172,1.35069495096609,0.217236762919561,6.21761681960905,5.04762348707613e-10,3.85776096871355e-07
"SOCS3",963.440034378254,2.21553364693709,0.361222344333115,6.13343466065864,8.60017499870309e-10,6.28710184470408e-07
"APOA2",17.0138997002915,4.50413229190578,0.735517249796648,6.12376160198969,9.13916075455642e-10,6.40274370529632e-07
"C1R",952.456926738778,1.37346802735481,0.225377698087573,6.09407247926161,1.100737830757e-09,7.4031223545393e-07
"NRG4",171.893750485787,-1.78341909863803,0.298037526868657,-5.98387430393615,2.17891487890809e-09,1.35689906570224e-06
"RORA",212.326122939835,-0.977319798098812,0.163299623950576,-5.98482577274401,2.16621611406983e-09,1.35689906570224e-06
"ETNPPL",68.4546756967934,-2.9648063966438,0.496225012638268,-5.97472179179538,2.30483170738237e-09,1.38405144028311e-06
"F3",162.787336346353,3.00656237497094,0.50676600331759,5.93284149940644,2.97736250115798e-09,1.7262542446369e-06
"IRF1",5331.08128989097,1.21169974464046,0.206897274177656,5.85652831559305,4.72643035082345e-09,2.64900666395818e-06
"J6367_mgp05",4731.70509025635,-2.85899693011029,0.49209686936861,-5.80982547964298,6.25379996720865e-09,3.39198040802085e-06
"SERPINB5",287.009939294578,2.95803573037679,0.510034553909652,5.79967711540732,6.64427284120738e-09,3.4911501110019e-06
"FOS",1019.30593451764,1.64694635677096,0.287564463306005,5.72722490754501,1.02086788832939e-08,5.20147656799104e-06
"PLACL2",6570.25727563816,2.12525978746869,0.372279234149863,5.70877876742691,1.13789683843956e-08,5.62723454162435e-06
"LOC121110055",2630.43012694736,1.72159878421655,0.302072117575915,5.69929723415762,1.20302316043913e-08,5.77932326274956e-06
"LOC101750426",11.3247568297588,-3.12340805797423,0.554023724387933,-5.63767925538725,1.72357153108365e-08,8.05003658990013e-06
"GIMAP6",2553.1293860887,1.17017436425,0.20773980071472,5.63288479253404,1.77219852388535e-08,8.05344485962386e-06
"SAMHD1",2059.97593601079,1.26685645648352,0.225546090730471,5.61684067491738,1.94480596319939e-08,8.60525459611435e-06
"ART1L1",229.852029748032,3.83377004940454,0.68648110517303,5.58466944030197,2.34145137617727e-08,9.8534147930732e-06
"CDKN1A",672.332981080883,1.91723623929263,0.343315510577877,5.58447311647963,2.34409772643588e-08,9.8534147930732e-06
"MMP7",62.1204311365955,4.3333603183951,0.779096355334454,5.56203387260726,2.66648518369114e-08,1.09351907020934e-05
"CLDN3",2865.2130774177,1.51151690526882,0.272674505846129,5.54330116260217,2.9682169546901e-08,1.1882761875276e-05
"LRRC34",39.5855950752371,-1.57460631056147,0.284606685088473,-5.532569658622,3.15573051415488e-08,1.23396402011628e-05
"STC2",16.992929150243,-4.16387370577428,0.756797031454747,-5.50196886709546,3.75573285709563e-08,1.43520209680014e-05
"FGFBP1",1401.60970804311,1.56432981012425,0.285115324651895,5.48665636276892,4.09612854879026e-08,1.51820883866957e-05
"KCNB1",66.8611849953797,-1.71380559374422,0.312498964855776,-5.48419606616993,4.15353910900442e-08,1.51820883866957e-05
"MIDN",1258.38830595172,0.925287451734701,0.168938669480501,5.47706131805128,4.32447396023223e-08,1.53721209652604e-05
"TRIM8",1465.86341478927,0.835933627770199,0.152696889196639,5.47446403242509,4.38837758018616e-08,1.53721209652604e-05
"FKBP14",194.215311120001,-0.973373542826395,0.178172647743984,-5.46309186708071,4.67912291842164e-08,1.60560760714983e-05
"MVP",3528.214355169,0.844160553423688,0.155107527701582,5.44242156349627,5.25611064988866e-08,1.76752488934456e-05
"NTS",5877.62074892197,-1.97595489377146,0.36334541862228,-5.43822707676848,5.38133625857087e-08,1.77415270297276e-05
"KRT23",47.699100646752,4.31706439156233,0.797685482447576,5.41198816645889,6.2328809003333e-08,2.01537806650392e-05
