NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.5424965	-1.5690584	0.014379085	0.05209118	0.132	2716	tags=27%, list=15%, signal=32%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	-0.33866978	-1.124951	0.26393628	1.0	1.0	2655	tags=13%, list=15%, signal=15%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	-0.36786404	-1.0125241	0.4357616	1.0	1.0	2877	tags=19%, list=16%, signal=23%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	-0.29553443	-1.0118638	0.44232923	1.0	1.0	6787	tags=49%, list=37%, signal=77%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		123	-0.2923176	-0.99366766	0.47806525	1.0	1.0	4875	tags=33%, list=27%, signal=44%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.35181746	-0.9920096	0.49041095	1.0	1.0	3559	tags=20%, list=19%, signal=25%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.3391376	-0.9588234	0.5376486	1.0	1.0	5444	tags=41%, list=30%, signal=58%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		155	-0.27532175	-0.94197005	0.5997819	1.0	1.0	3232	tags=19%, list=18%, signal=23%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		91	-0.2809503	-0.9212114	0.6098131	1.0	1.0	2380	tags=14%, list=13%, signal=16%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		164	-0.252882	-0.88067603	0.723127	1.0	1.0	4107	tags=23%, list=22%, signal=30%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		91	-0.26736173	-0.8739188	0.71718377	1.0	1.0	1283	tags=10%, list=7%, signal=11%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	-0.25207782	-0.8645218	0.7673378	0.99075866	1.0	3006	tags=15%, list=16%, signal=18%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		28	-0.30828366	-0.83105356	0.729364	0.9868984	1.0	7013	tags=57%, list=38%, signal=93%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		171	-0.21956833	-0.763772	0.9327549	1.0	1.0	7778	tags=47%, list=43%, signal=81%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		157	-0.2166984	-0.75668055	0.925	0.9681377	1.0	3448	tags=18%, list=19%, signal=22%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	-0.2055956	-0.62297	0.98236775	0.99034214	1.0	2704	tags=13%, list=15%, signal=15%	
