"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC13A3",23.1044799309799,-3.5630874002525,0.449544564793173,-7.92599372632124,2.26329019799439e-15,3.65362936662234e-11
"PLCXD3",63.8534660265232,-2.67670621822097,0.361935772489233,-7.39552821709713,1.40847245067451e-13,1.13684853856193e-09
"ASIC4",12.8324176522988,-3.30904112777233,0.45271188807777,-7.30937537740092,2.68387037325155e-13,1.44419064784666e-09
"ETNPPL",66.1569627131737,-3.1144824760826,0.459474915862065,-6.77835148027444,1.21554844009847e-11,4.90564961712738e-08
"SERPING1",2461.4062042993,1.93913519993121,0.295741107230581,6.55686731577468,5.49498636577797e-11,1.77411129805508e-07
"TGM4",632.126216195978,3.22527333357934,0.496705083022162,6.4933366776829,8.39557753192017e-11,2.25883013496312e-07
"LOC101749758",38.0230653011038,-2.18513140581593,0.341233494049595,-6.40362521241347,1.51730308921706e-10,3.49911768131871e-07
"BATF3",626.644267606847,2.12352313677313,0.339303481820492,6.25847729407203,3.88754483277999e-10,7.84457952944593e-07
"ABCC13",234.949580921176,-1.17494212226228,0.191376868431805,-6.13941555157674,8.28256404783912e-10,1.45291719373194e-06
"PM20D2",258.344009808339,-1.40521744113901,0.229378333582395,-6.12619953764833,9.00029234796467e-10,1.45291719373194e-06
"IFI27L2",6988.4691064616,2.04112130012984,0.338685881044337,6.02659105196841,1.67453992085861e-09,2.45746344931096e-06
"NRG4",175.259224215676,-1.56072364076762,0.265096814860734,-5.88737228543288,3.92384171983971e-09,5.27854807361436e-06
"PTAFR",105.491060186441,1.58573543732271,0.272127781075798,5.82717218746962,5.63744393324278e-09,7.00040441648755e-06
"MINAR1",18.5606433519622,-3.03943861824046,0.531131754090586,-5.7225699552546,1.04924617901736e-08,1.20985579056267e-05
"KLHL38",57.9167749337728,-1.91193303784887,0.338438849403157,-5.64927177013099,1.61128950484771e-08,1.73406976511711e-05
"AHRR",268.518137764692,-1.45734057981918,0.258750004063458,-5.63223403645539,1.7789005290532e-08,1.79479945253161e-05
"P3H3",635.386883580269,-1.69398819457788,0.303079131357165,-5.58926042513166,2.28038741206074e-08,2.16542905840567e-05
"KRT13",5.6908715207468,5.42602767226377,0.992980801771598,5.46438326157272,4.64518951278004e-08,4.01625724288775e-05
"LY6E",6006.76221473624,2.36416616358461,0.432895741410622,5.4612830236694,4.72705740041301e-08,4.01625724288775e-05
"CDR2L",50.3718819714551,-1.17528814683692,0.217377343266192,-5.40667269724476,6.42063180139853e-08,5.18241295849882e-05
"NTS",5714.18121903521,-2.0516929621484,0.383087086290127,-5.35568291277397,8.52338711278997e-08,6.55204943627469e-05
"LOC420368",1965.70490924579,1.63619513102398,0.30605796058367,5.34603030061254,8.9904164221404e-08,6.59692237739148e-05
"LOC112533405",8.03974248446112,4.90338520925753,0.921823743643755,5.31922207804671,1.04211869950544e-07,7.31431398526798e-05
"GVINP1",1062.7693105839,1.70599311872357,0.322396747187182,5.29159532038664,1.21253963968079e-07,8.15584475140294e-05
"LRP2BP",79.5187650821524,-1.23574496003323,0.234907307227446,-5.26056415451025,1.43614084388467e-07,9.27344865713209e-05
"LOC101749423",132.152782615801,-2.00499057108241,0.382655894075686,-5.23966990218591,1.6086408294863e-07,9.98780342707593e-05
"APOA2",11.2869734394688,3.93672988721651,0.762645204136589,5.1619414452011,2.44401746313063e-07,0.000146125088545622
"C2CD4C",45.5916498980135,-2.00655555837568,0.390623086422155,-5.13680739342465,2.79445095219472e-07,0.000161110077575998
"KCNK12",21.4815487971858,-1.63356920917529,0.320772958643945,-5.09260261862826,3.53181441958586e-07,0.000196600276466809
"LAG3",126.642960883632,1.47165593874886,0.290406323675941,5.06757538927098,4.02914944172821e-07,0.000203257998243183
"RORA",206.891676896657,-1.00739007454488,0.198596168645854,-5.07255543454772,3.92508741103595e-07,0.000203257998243183
"SLC25A19",265.09558920315,-1.00350378248968,0.197932498698441,-5.06992933999465,3.97963423604957e-07,0.000203257998243183
"PCGF3",592.300082265967,-1.22058459220542,0.241974683191053,-5.04426568973621,4.55266335431818e-07,0.00022270801372351
"ARHGAP36",246.931080391565,-1.69835109510521,0.337464821672367,-5.03267595919696,4.83680306609328e-07,0.000229648564399835
"EBF3",18.6323115324556,-2.540336012652,0.508070133836978,-4.99997115253996,5.73388926108332e-07,0.000264463355261909
"BCL2L10",1345.44871498585,0.921779351851207,0.184770674740444,4.9887751568049,6.07633182178171e-07,0.000272472846108395
"C1R",860.594177268258,1.21498538355835,0.244934942159129,4.96044122103656,7.03332416708359e-07,0.000283847380073076
"LRRC34",38.5147271782406,-1.59093447149057,0.320420774359803,-4.96514146022286,6.8651011634075e-07,0.000283847380073076
"TRDMT1",182.575247808578,-0.86166230050333,0.173529065418773,-4.96552147286627,6.85167110446212e-07,0.000283847380073076
"ZDBF2",558.147651705565,-0.79176553576927,0.159414523249441,-4.96670892733136,6.80986812946404e-07,0.000283847380073076
"LOC101750420",22.2876395761329,-3.21369921308413,0.648597825745683,-4.95484117509859,7.2389394335292e-07,0.000285019998232834
"EFCAB4B",1156.37690978528,-1.05774320530639,0.214179233801982,-4.93858898703654,7.86898685271234e-07,0.000302450130388893
"VSIG10",547.79983428461,-0.915808969506208,0.185661698282235,-4.9326758183265,8.11107128840855e-07,0.000304504706532045
"IFI6",15557.691314254,2.199906063219,0.446562888978995,4.92630739703602,8.37981321013388e-07,0.000307443919661798
"CAB39L",1294.7958056391,-1.62420378768719,0.330213051375403,-4.91865412624383,8.71412888451077e-07,0.000312604850183683
"LOC112532793",134.725485859343,-1.45947761730051,0.298566552611549,-4.88828237635636,1.01719558841533e-06,0.000356969312691058
"PCGF6",377.57038801096,-0.598945458066342,0.122849850479078,-4.87542683797034,1.08573431540637e-06,0.000372915086246915
"SSTR5",40.5326468811494,-1.58949656040272,0.326823906457062,-4.86346478638505,1.15348554586533e-06,0.000387931607643835
"NBEA",11.9417477911654,-2.19443256354051,0.45421382552173,-4.8312764610806,1.35660474719803e-06,0.000446932049673832
"LOC100857497",37.1720605105206,-1.80795788123678,0.375270422942204,-4.81774680525575,1.45188445461914e-06,0.000459564132370917
"LOC101750929",9.54808627055864,-2.52555493783473,0.524104368568976,-4.81880153895788,1.44423124164488e-06,0.000459564132370917
"ABCA2",1146.34933374147,-0.831248814559616,0.173538730054766,-4.78999019007046,1.66789467136427e-06,0.000508015541128933
"ALKBH3",335.366427219909,-0.832168461701884,0.173705167332041,-4.79069491416553,1.66204678746668e-06,0.000508015541128933
"LOC121107297",371.155756261364,-1.88100334692503,0.393061647214221,-4.78551738704711,1.70547420546012e-06,0.000509842038865607
"LOC101750426",11.0140401252474,-3.19779420951709,0.674251109883535,-4.74273480998712,2.10852210307442e-06,0.00060328344613555
"LOC121106615",60.1089829609235,-1.51557140881306,0.319695823725996,-4.74066689751951,2.13015898096552e-06,0.00060328344613555
"TUBGCP5",453.389653889309,-0.876153977832477,0.184739412837823,-4.74264784310876,2.10942778307218e-06,0.00060328344613555
"IL23R",73.5364937605534,-1.36781444609233,0.289467744670138,-4.72527413253251,2.29805135069979e-06,0.000639611085419772
"CDH3",884.403681763066,2.11320172898269,0.447566871240345,4.72153294797346,2.34073702722331e-06,0.000640449454753658
"P2RX1",876.53327664515,-1.2005065211215,0.254940885901311,-4.70896034144253,2.48983504875524e-06,0.000669890119867597
"ADH1C",160.034243570816,-2.2822490847939,0.4852908798921,-4.70284767210407,2.56557830570918e-06,0.000678952960476446
