NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	0.7372882	3.2331216	0.0	0.0	0.0	2644	tags=65%, list=14%, signal=75%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	0.6787642	3.060925	0.0	0.0	0.0	2604	tags=60%, list=14%, signal=69%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	0.6407995	2.8742394	0.0	0.0	0.0	2702	tags=53%, list=15%, signal=61%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	0.65008545	2.860755	0.0	0.0	0.0	2687	tags=53%, list=15%, signal=62%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	0.61907876	2.7265244	0.0	0.0	0.0	2529	tags=48%, list=14%, signal=55%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		133	0.6318106	2.693852	0.0	0.0	0.0	975	tags=25%, list=5%, signal=26%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	0.6834748	2.495248	0.0	0.0	0.0	2520	tags=50%, list=14%, signal=58%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.60209715	2.3146644	0.0	0.0	0.0	2555	tags=35%, list=14%, signal=41%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	0.62175417	2.1782656	0.0	0.0	0.0	2372	tags=52%, list=13%, signal=60%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	0.4805438	2.0760605	0.0	0.0	0.0	3549	tags=39%, list=19%, signal=47%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		142	0.47660333	2.069218	0.0	0.0	0.0	3334	tags=32%, list=18%, signal=39%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	0.47248304	2.0282872	0.0	0.0	0.0	2113	tags=33%, list=12%, signal=37%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		124	0.45382842	1.9361447	0.0	0.0011605629	0.003	3050	tags=38%, list=17%, signal=45%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		172	0.43672374	1.9187961	0.0	0.0014252996	0.004	3028	tags=37%, list=17%, signal=44%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.46681914	1.9052265	0.0	0.0013302796	0.004	3590	tags=52%, list=20%, signal=64%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	0.42164087	1.8839613	0.0	0.0016729888	0.005	3353	tags=37%, list=18%, signal=45%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	0.4614033	1.7421539	0.0	0.003195352	0.011	3013	tags=45%, list=16%, signal=54%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		133	0.3999171	1.7118518	0.0	0.0036329515	0.013	4515	tags=50%, list=25%, signal=65%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		68	0.44257742	1.7044874	0.0	0.0034417438	0.013	3816	tags=40%, list=21%, signal=50%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		155	0.38809088	1.6891893	0.0	0.0036103376	0.014	2139	tags=20%, list=12%, signal=22%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		146	0.3704981	1.5789971	0.0	0.008917047	0.037	3941	tags=32%, list=22%, signal=41%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.3333531	1.4908736	0.0	0.01863212	0.078	2006	tags=21%, list=11%, signal=23%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	0.33156365	1.4820093	0.0	0.019480176	0.083	3210	tags=31%, list=18%, signal=37%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		154	0.3176226	1.4117947	0.0	0.030835683	0.133	2227	tags=19%, list=12%, signal=22%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		170	0.31347492	1.4026119	0.0	0.03092074	0.138	2828	tags=22%, list=15%, signal=26%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	0.30555514	1.3521265	0.011627907	0.041497417	0.189	1761	tags=20%, list=10%, signal=22%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.32370725	1.3183023	0.02877698	0.05427836	0.246	1262	tags=20%, list=7%, signal=21%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	0.3106906	1.2662091	0.044198897	0.079972215	0.35	4461	tags=46%, list=24%, signal=61%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		110	0.2821195	1.1621389	0.15037593	0.17107075	0.618	2065	tags=17%, list=11%, signal=19%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		155	0.2646681	1.1514096	0.07777778	0.17913899	0.653	3282	tags=25%, list=18%, signal=30%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		161	0.24666923	1.0906082	0.14864865	0.26647002	0.798	2441	tags=19%, list=13%, signal=22%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	0.2603632	1.0394384	0.35031846	0.37133765	0.905	4156	tags=33%, list=23%, signal=43%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	0.2668529	0.87396127	0.7125506	0.81544876	0.994	4271	tags=37%, list=23%, signal=48%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		177	0.16571847	0.73652714	1.0	0.96222574	0.997	3255	tags=18%, list=18%, signal=22%	
