NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.44454083	-1.27972	0.1407767	0.7492272	0.923	2933	tags=24%, list=16%, signal=29%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		95	-0.3359896	-1.1284668	0.23723723	1.0	0.999	2244	tags=14%, list=12%, signal=16%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	-0.3093755	-1.094095	0.26801154	0.9420899	1.0	1076	tags=12%, list=6%, signal=12%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		91	-0.30630624	-1.0260962	0.4303216	1.0	1.0	1582	tags=12%, list=9%, signal=13%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		153	-0.28089795	-1.0238354	0.40462428	0.81694365	1.0	4662	tags=35%, list=25%, signal=46%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	-0.25419128	-0.9356726	0.61484593	1.0	1.0	3067	tags=19%, list=17%, signal=23%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	-0.3071352	-0.85453165	0.6624406	1.0	1.0	3887	tags=32%, list=21%, signal=41%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		132	-0.2246705	-0.80580485	0.88534105	1.0	1.0	4275	tags=29%, list=23%, signal=37%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		90	-0.22433612	-0.7582669	0.9303405	1.0	1.0	1743	tags=11%, list=9%, signal=12%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.26540345	-0.7559979	0.8379205	0.9343192	1.0	3257	tags=24%, list=18%, signal=29%	
