"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BATF3",921.864237647701,2.78591187376986,0.226544887083254,12.2973946118945,9.35429549189028e-35,1.51885695901822e-30
"LY6E",8886.92995301409,3.02259473413263,0.340090995169617,8.88760589684282,6.24397003053193e-19,5.06916706928735e-15
"TGM4",1447.83000303367,4.5077571510276,0.52129392073735,8.64724672916107,5.27568230869746e-18,2.85537512154402e-14
"IFI27L2",10163.2134340372,2.68825141739243,0.327574159921277,8.2065429643122,2.27648107874358e-16,9.24080581888988e-13
"TNFRSF6B",567.617620425978,2.02480240264166,0.250911583897902,8.0697844682435,7.04223725952929e-16,2.28689612765954e-12
"ETNPPL",61.8424188357408,-4.09913503483978,0.511353034745732,-8.01625248372303,1.09020290516882e-15,2.95027076187101e-12
"GIMAP6",2960.70048649882,1.51705159529247,0.196652771695236,7.71436670947885,1.21584424731565e-14,2.46770788045802e-11
"LYGL",807.921281126098,3.51266816032619,0.454402714147093,7.73029748935241,1.072955483733e-14,2.46770788045802e-11
"SERPING1",2733.59738172851,2.13526789612685,0.280158746502036,7.62163567187198,2.504811784486e-14,4.51895877163324e-11
"ABCC13",219.958761467413,-1.43469299175926,0.192183504397524,-7.46522442837577,8.31577531445653e-14,1.35023243780831e-10
"P3H3",565.871957655168,-2.41722070182608,0.326001682421117,-7.41474916286968,1.21855214658308e-13,1.7986937458245e-10
"LOC420368",2619.48886846324,2.16287195361582,0.292659108806122,7.39041392710812,1.46372427035618e-13,1.98054091481444e-10
"SOCS3",1376.57556547444,2.86004269241054,0.388625368840727,7.35938238139748,1.84763070981523e-13,2.30769075655922e-10
"F3",206.881628710949,3.43059820994717,0.472078122911427,7.26701374931291,3.67521411280258e-13,4.26246082496968e-10
"MMP7",151.943551369674,5.70271287001133,0.786043535701421,7.25495804112497,4.01786366971501e-13,4.3492034936775e-10
"BCL2L10",1686.36721394207,1.39589462966887,0.193928826143772,7.19797390324017,6.11138371586607e-13,6.20190858715734e-10
"CDKN1A",823.413038639308,2.32256933853545,0.32328580197151,7.18426025631686,6.75720398051063e-13,6.45392476656183e-10
"IFI6",19702.3767021731,2.61301507290805,0.366010366639472,7.13918323379601,9.38871117970187e-13,8.46913907915663e-10
"RHOV",101.09548348439,2.27715830666716,0.328888099889089,6.92380875876957,4.3965935984548e-12,3.75723632937424e-09
"CNP",1469.86975373676,0.95102302278567,0.138229554999832,6.8800266541177,5.98413629175713e-12,4.85822104846302e-09
"LOC121111519",49.228144227737,-3.79708304066707,0.55499062708865,-6.84170660788574,7.82552356523229e-12,6.05062029184175e-09
"SERPINB5",379.332218113342,3.44860642419216,0.508687712690423,6.77941758402746,1.2066130509643e-11,8.90535277659427e-09
"KRT13",10.9355927250466,6.3649838857388,0.949482644851015,6.70363373175456,2.03299463991812e-11,1.43520582471089e-08
"PRDM8",182.213582065132,4.53714034911143,0.682089373460023,6.65182676295917,2.89477315076554e-11,1.95843465204084e-08
"CD36",287.614703911803,-1.97880828707305,0.298293504992602,-6.63376256590676,3.2723606779572e-11,2.09158462762014e-08
"MMP1",493.036028454772,5.79109006757194,0.873423194408448,6.63033693706076,3.34921477601303e-11,2.09158462762014e-08
"GVINP1",1333.80889024843,2.13046742893838,0.322554217951841,6.60499013922821,3.97543804570024e-11,2.33618712046745e-08
"SLC13A3",23.9464783781447,-2.94276854354833,0.445670097335967,-6.60301994937285,4.02865303769714e-11,2.33618712046745e-08
"PTAFR",104.937179272735,1.60382213224144,0.243354342544868,6.59048084151506,4.38404371737764e-11,2.45461095996761e-08
"LOC121107791",1336.72552778144,1.80566513610744,0.275975363681239,6.5428490138455,6.03577607413027e-11,3.26676320385511e-08
"APOA2",28.6652470336247,5.3314614000742,0.81810819390998,6.51681701731109,7.18149417035975e-11,3.76148131755262e-08
"MCF2",195.248808918951,-1.94438833189978,0.299244651278515,-6.49765442286914,8.15819360775529e-11,4.13951842528508e-08
"SLC22A16",15.9109828307146,-4.68510320256869,0.729696765346018,-6.42061665210623,1.3572341908861e-10,6.67800350224777e-08
"LOC112533405",11.9700931736066,5.51490550794318,0.860925824173285,6.40578474137298,1.49597906025991e-10,7.1441800004236e-08
"LAG3",166.707142238744,1.99244701994219,0.31258406386024,6.37411579892005,1.84021513046682e-10,8.53702087811138e-08
"ARID5A",475.907342796801,1.87426466191082,0.296335344765729,6.32480969623297,2.53544858185909e-10,1.14355773954572e-07
"KRT24",36.3981812187048,4.95473297814428,0.784052191384573,6.31939178614451,2.62594755429416e-10,1.15236514700201e-07
"PLACL2",8709.48654540394,2.65517129606677,0.422343720412241,6.28675452656218,3.24171338718695e-10,1.38515000704617e-07
"ACAT1",905.457291022189,1.1397205773384,0.181428107268472,6.28194051350529,3.34372798529077e-10,1.39210541787606e-07
"GNB3",22.9940172308319,-2.6458886509661,0.421666895636876,-6.2748313380632,3.50013502335816e-10,1.42079230935666e-07
"ALDOC",5220.08086163053,1.73707351215758,0.278312966902986,6.24143938202884,4.33562460156381e-10,1.71701308916077e-07
"WDFY3",848.480232719106,-1.00336272278541,0.161349991939434,-6.21854832916288,5.01775402403603e-10,1.93983981162555e-07
"GIMAP1-GIMAP5",2867.25585211864,1.57618838713612,0.254817206930799,6.18556496290364,6.18804448319558e-10,2.3366343784569e-07
"VASP",577.512731977192,0.982250222618495,0.158936729104525,6.18013361765183,6.40473702904547e-10,2.36349352592298e-07
"ANKRD9",171.393981030608,1.64401556675553,0.266283589038354,6.17392747593895,6.66141067505323e-10,2.37477132941886e-07
"SOCS1",622.57999723475,2.00120329239159,0.324220121791086,6.17235994279552,6.727811858919e-10,2.37477132941886e-07
"MVP",3615.15534617942,0.956862320341761,0.15655922813696,6.1118231849271,9.84992836909389e-10,3.4028358921059e-07
"PTCHD3",7017.53666902686,1.75424812452987,0.288181622307802,6.08730046864747,1.14830346959095e-09,3.88437571578089e-07
"C1R",967.593895801616,1.4595996312948,0.240529613480324,6.06827413130234,1.29292084563708e-09,4.18175647796015e-07
"CLDN3",3070.61759618105,1.69737584469406,0.279829994611506,6.06573947532167,1.31347897010512e-09,4.18175647796015e-07
"LOC121110055",3164.32524801387,2.10700750071727,0.347024198358101,6.07164431381527,1.2660711128976e-09,4.18175647796015e-07
"LOC100859636",127.399075991032,-1.41536385875584,0.233472825494086,-6.06222097051585,1.34254589693203e-09,4.19007689027483e-07
"NEURL1B",4016.05629207311,2.10140580786305,0.346810411012888,6.05923507811003,1.36770385652871e-09,4.19007689027483e-07
"IRF1",5317.88054816353,1.26558437032829,0.209130934993495,6.05163636057792,1.43381841071928e-09,4.29946711846743e-07
"MIDN",1392.12584344526,1.19416265459436,0.197410891231073,6.04912245290747,1.45636935096205e-09,4.29946711846743e-07
"ARHGAP8",226.660665267189,0.997740382328155,0.165752361197661,6.01946406747318,1.74995497135779e-09,5.07393194106008e-07
"EHF",1544.26407104178,1.20990799728449,0.202051192431031,5.98812599285936,2.12272604067499e-09,6.04678995130523e-07
"UBE2L6",636.080180751294,1.72640324496006,0.28905119469664,5.97265562860559,2.33422291610525e-09,6.53461680841397e-07
