NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		37	-0.5300316	-1.5881108	0.011428571	0.045687817	0.136	1263	tags=19%, list=7%, signal=20%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	-0.37848067	-1.3130522	0.062189054	0.38260847	0.915	2755	tags=19%, list=15%, signal=22%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		155	-0.34814885	-1.2765191	0.072839506	0.35759234	0.962	5381	tags=46%, list=29%, signal=65%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		171	-0.34593135	-1.2691478	0.07611241	0.2857491	0.972	5663	tags=50%, list=31%, signal=71%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		132	-0.33142596	-1.1872375	0.15133172	0.4268053	0.998	6150	tags=51%, list=34%, signal=76%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	-0.30264565	-1.0205884	0.42599744	0.92941576	1.0	1828	tags=12%, list=10%, signal=14%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	-0.35812855	-1.0124818	0.44192636	0.82584614	1.0	2125	tags=23%, list=12%, signal=26%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		164	-0.2689065	-0.98535705	0.4871795	0.80904484	1.0	3821	tags=27%, list=21%, signal=34%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		122	-0.250201	-0.88247865	0.7081807	1.0	1.0	5995	tags=43%, list=33%, signal=63%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		91	-0.25189444	-0.85365164	0.760101	0.9931641	1.0	844	tags=9%, list=5%, signal=9%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.2863013	-0.8451236	0.7038082	0.92186046	1.0	2856	tags=22%, list=16%, signal=26%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		29	-0.2650054	-0.7392131	0.8459384	1.0	1.0	7184	tags=72%, list=39%, signal=119%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	-0.21957563	-0.63864756	0.95212036	0.9889738	1.0	5831	tags=46%, list=32%, signal=67%	
