"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC101752077",31.6748504533005,2.03510184887039,0.406089220255223,5.01146483915862,5.40172544086215e-07,0.00786923362224797
"ATP13A4",40.5649659767176,2.19019526668387,0.473765590276727,4.62295133212307,3.78318506365987e-06,0.0257601354389905
"CCR5",52.0579188279113,-1.02251094238248,0.239457408098402,-4.27011613673814,1.95371207229416e-05,0.0257601354389905
"FZD5",4728.12026323123,0.729183110389374,0.171997391982638,4.23950097140414,2.24017224433339e-05,0.0257601354389905
"GSTA3",1775.96797997062,-1.03222834524415,0.245480227012246,-4.20493478357692,2.6115744980695e-05,0.0257601354389905
"GSTT1L",518.678884263163,-1.29290847871886,0.306349549329865,-4.22037010188875,2.43901565004734e-05,0.0257601354389905
"HIST1H2B7",40.1049518758195,-1.21243733269835,0.277857166489471,-4.36352730439398,1.27981958610605e-05,0.0257601354389905
"HSD17B3",10.7159926200358,1.40959274778554,0.336675963067576,4.18679354160668,2.82922959242071e-05,0.0257601354389905
"LOC101750453",289.343196756838,1.22091992437995,0.290530704762864,4.2023782834812,2.6412527256578e-05,0.0257601354389905
"MCM2",625.367608934454,-0.931119628393384,0.217741142815539,-4.2762686755171,1.90051839870013e-05,0.0257601354389905
"NUF2",142.221036452405,-1.08483576866122,0.258090577848338,-4.20331411439088,2.63035170782997e-05,0.0257601354389905
"PRIM2",105.522631418719,-0.727844541987495,0.166591673582347,-4.36903313554696,1.2479783179324e-05,0.0257601354389905
"SLC26A1",38.1666267782639,-2.03258458288462,0.451931792893491,-4.49754722913165,6.87418939368383e-06,0.0257601354389905
"SMC2",759.420581964694,-1.12214843901092,0.267170051258047,-4.20012809716867,2.66764012131384e-05,0.0257601354389905
"STMN1",1601.6205938009,-0.991059078873875,0.225403218887564,-4.39682753318726,1.09844555817749e-05,0.0257601354389905
"THYN1",886.394096400929,-0.83720247435753,0.198457935603824,-4.21853866316948,2.45890810796967e-05,0.0257601354389905
"CDC20",374.993140954526,-1.02858410562277,0.246911384708954,-4.1658026697927,3.10258988291032e-05,0.0265873702436692
"CCNB1",443.09431795795,-1.03771338424183,0.24994688246323,-4.15173565685298,3.29963259835688e-05,0.026705026496035
"MCM6",322.109779195574,-0.797259299863756,0.193756183411765,-4.11475538909353,3.87590215623219e-05,0.0297179697957845
"LOC422513",2718.45149139294,0.824688756521362,0.201955858576723,4.0835099428822,4.43605303217917e-05,0.0297611980625114
"MRPL9",23.2527662136104,-1.43748358689475,0.352522801587404,-4.07770385467772,4.5482646824445e-05,0.0297611980625114
"MYO1D",5637.06300662605,0.640227714306666,0.157299111846847,4.07012923842837,4.69870644863923e-05,0.0297611980625114
"RPL36A",51.4442739370287,-2.02379973810788,0.494691816813139,-4.09103136402261,4.2945904086955e-05,0.0297611980625114
"ATP8A2",42.9727271445648,-2.14351558405692,0.533648926733802,-4.01671487878051,5.90150533710915e-05,0.0347514742347518
"RRM2",565.98546320501,-1.0998625388822,0.273989964428609,-4.01424388362508,5.96366595187256e-05,0.0347514742347518
"C1D",165.007041541227,-0.619091404843586,0.161237265647475,-3.83962976770613,0.000123219986783227,0.0377681018403264
"C20orf112",1352.62284828791,0.530759257775778,0.135957735199857,3.9038548045506,9.46725907854988e-05,0.0377681018403264
"CENPK",178.531111175932,-0.994778333360058,0.256557030099309,-3.87741599976815,0.000105571759459218,0.0377681018403264
"DDX18",417.683544035775,-0.478407934620719,0.120870272769874,-3.95802808794486,7.55710727538347e-05,0.0377681018403264
"DIMT1",166.695717160131,-0.464049933949075,0.12061266360897,-3.8474395645016,0.000119358707658983,0.0377681018403264
"DNAJC9",276.082782046531,-0.888514854036918,0.223335676013342,-3.97838298787444,6.93855436054378e-05,0.0377681018403264
"FANCC",92.9843382173414,-0.840134520744286,0.215123643177429,-3.90535651188913,9.40865727553211e-05,0.0377681018403264
"IRS2",166.468955564628,0.913659089086567,0.237697304199476,3.84379239034121,0.000121147504272621,0.0377681018403264
"KPNA2",784.304377036919,-0.937444295557829,0.2428713726552,-3.85983858578796,0.000113461947196028,0.0377681018403264
"LOC101749368",16.0603913844835,2.2661939367786,0.581266880081351,3.89871505574417,9.6704491633413e-05,0.0377681018403264
"LSM6",167.732599611088,-0.547267585908859,0.138050236820359,-3.96426401369381,7.36227365968063e-05,0.0377681018403264
"MCM3",508.490964581281,-0.900683887547456,0.230755439223451,-3.9031967808797,9.49304589027299e-05,0.0377681018403264
