NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.7328813	-3.043396	0.0	0.0	0.0	2684	tags=58%, list=15%, signal=67%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	-0.69744986	-2.9238756	0.0	0.0	0.0	2234	tags=50%, list=12%, signal=57%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.6907826	-2.8445053	0.0	0.0	0.0	1656	tags=45%, list=9%, signal=49%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.71011406	-2.428511	0.0	0.0	0.0	4271	tags=72%, list=24%, signal=94%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.5206285	-2.0855856	0.0	0.0	0.0	3286	tags=35%, list=18%, signal=42%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.44549537	-1.8239056	0.0	6.7267823E-4	0.005	4896	tags=45%, list=27%, signal=61%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	-0.48219857	-1.81439	0.0017574693	8.178512E-4	0.007	2982	tags=36%, list=16%, signal=43%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	-0.42955402	-1.7923396	0.0	0.0011460326	0.011	3881	tags=34%, list=21%, signal=43%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		171	-0.42597458	-1.7549208	0.0	0.0014496589	0.016	4347	tags=49%, list=24%, signal=64%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		152	-0.3911635	-1.5986593	0.0	0.0073983693	0.083	3422	tags=37%, list=19%, signal=45%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		140	-0.38259536	-1.5329062	0.0017825312	0.013924223	0.158	3232	tags=30%, list=18%, signal=36%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	-0.34243473	-1.4305032	0.0051369863	0.037062664	0.404	1756	tags=21%, list=10%, signal=23%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		124	-0.35415462	-1.4173269	0.014336918	0.038816545	0.449	2779	tags=29%, list=15%, signal=34%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		157	-0.30862477	-1.2727166	0.057921637	0.1266015	0.868	4051	tags=40%, list=22%, signal=51%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	-0.2912931	-1.213221	0.09780776	0.19006167	0.962	2646	tags=20%, list=15%, signal=23%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	-0.30971617	-1.193841	0.15567766	0.20450136	0.975	3167	tags=22%, list=17%, signal=26%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	-0.32349813	-1.0678937	0.34416825	0.43778157	1.0	3359	tags=29%, list=19%, signal=35%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		28	-0.35568768	-1.0583445	0.39543727	0.43850687	1.0	4328	tags=46%, list=24%, signal=61%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.31722152	-0.99821573	0.48054475	0.57260484	1.0	3059	tags=32%, list=17%, signal=39%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		91	-0.25935718	-0.98132664	0.50617284	0.5923197	1.0	2522	tags=14%, list=14%, signal=17%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		133	-0.24481598	-0.9793659	0.4920354	0.5696067	1.0	2190	tags=15%, list=12%, signal=17%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		170	-0.22570099	-0.9322277	0.63129497	0.66798973	1.0	3338	tags=25%, list=18%, signal=30%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		109	-0.22854905	-0.8876726	0.72983116	0.7544712	1.0	4077	tags=27%, list=23%, signal=34%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.2778934	-0.8334955	0.7300178	0.8392299	1.0	1175	tags=17%, list=6%, signal=18%	
