"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC101752077",31.6748504533005,2.03510184887039,0.406089220255223,5.01146483915862,5.40172544086215e-07,0.00786923362224797
"ATP13A4",40.5649659767176,2.19019526668387,0.473765590276727,4.62295133212307,3.78318506365987e-06,0.0257601354389905
"CCR5",52.0579188279113,-1.02251094238248,0.239457408098402,-4.27011613673814,1.95371207229416e-05,0.0257601354389905
"GSTA3",1775.96797997062,-1.03222834524415,0.245480227012246,-4.20493478357692,2.6115744980695e-05,0.0257601354389905
"GSTT1L",518.678884263163,-1.29290847871886,0.306349549329865,-4.22037010188875,2.43901565004734e-05,0.0257601354389905
"HIST1H2B7",40.1049518758195,-1.21243733269835,0.277857166489471,-4.36352730439398,1.27981958610605e-05,0.0257601354389905
"HSD17B3",10.7159926200358,1.40959274778554,0.336675963067576,4.18679354160668,2.82922959242071e-05,0.0257601354389905
"LOC101750453",289.343196756838,1.22091992437995,0.290530704762864,4.2023782834812,2.6412527256578e-05,0.0257601354389905
"NUF2",142.221036452405,-1.08483576866122,0.258090577848338,-4.20331411439088,2.63035170782997e-05,0.0257601354389905
"SLC26A1",38.1666267782639,-2.03258458288462,0.451931792893491,-4.49754722913165,6.87418939368383e-06,0.0257601354389905
"SMC2",759.420581964694,-1.12214843901092,0.267170051258047,-4.20012809716867,2.66764012131384e-05,0.0257601354389905
"CDC20",374.993140954526,-1.02858410562277,0.246911384708954,-4.1658026697927,3.10258988291032e-05,0.0265873702436692
"CCNB1",443.09431795795,-1.03771338424183,0.24994688246323,-4.15173565685298,3.29963259835688e-05,0.026705026496035
"MRPL9",23.2527662136104,-1.43748358689475,0.352522801587404,-4.07770385467772,4.5482646824445e-05,0.0297611980625114
"RPL36A",51.4442739370287,-2.02379973810788,0.494691816813139,-4.09103136402261,4.2945904086955e-05,0.0297611980625114
"ATP8A2",42.9727271445648,-2.14351558405692,0.533648926733802,-4.01671487878051,5.90150533710915e-05,0.0347514742347518
"RRM2",565.98546320501,-1.0998625388822,0.273989964428609,-4.01424388362508,5.96366595187256e-05,0.0347514742347518
"LOC101749368",16.0603913844835,2.2661939367786,0.581266880081351,3.89871505574417,9.6704491633413e-05,0.0377681018403264
"MFAP5",68.9632382679849,-2.30448419595925,0.597468400416549,-3.85708130229579,0.000114749003542372,0.0377681018403264
"PBK",344.941053571209,-1.20266606866721,0.306530712700046,-3.92347656805296,8.72802579095196e-05,0.0377681018403264
"PTTG2",183.446373687732,-1.08780219578399,0.279665055845884,-3.88966076756994,0.000100384448537417,0.0377681018403264
"HAUS1",81.2828796750858,-1.24419491352977,0.32489446417776,-3.82953558989862,0.000128385315525826,0.0379637479345196
"SMOC1",32.4512952504256,-1.54330039184364,0.403898180910097,-3.82101347514401,0.000132904389391852,0.0379637479345196
"BLEC1",62.515813738735,-1.72491171584947,0.453721594830156,-3.80169631664802,0.000143708804896484,0.0389781288378423
"PLAC9",50.5209750643619,-1.10597222153295,0.292518994459996,-3.7808560896178,0.000156290002097333,0.0399444342202447
"SERF2",68.3078781503679,-1.38258248908809,0.367268964008982,-3.7644958452146,0.000166885442873648,0.0405197855297218
"J6367_mgp09",388.40608818036,-1.46431543935138,0.39024711592474,-3.7522774149951,0.000175235396834342,0.0415241374792946
"SLC23A1",383.31999117119,1.38567503125216,0.369497708154873,3.75015866315297,0.000176722715796009,0.0415241374792946
"LOC121110497",32.8228094556102,1.25097505632139,0.334896677867979,3.73540598934977,0.000187412584661731,0.0420034851284937
"LOC428250",87.4561696792262,1.58620900216044,0.428152145829769,3.70477882129104,0.000211575266410954,0.0428087289038164
"KLHL14",9.07242594144518,-2.20041120902063,0.594981964333839,-3.69828220168703,0.000217063487522006,0.0433175463865833
"SLC35D2",19.7629997683704,1.29758203860606,0.352270689847082,3.68347999423208,0.000230071348188813,0.0441010447422977
"BIRC5",332.505029287764,-1.07860897732245,0.293187419529759,-3.67890606988671,0.000234236510948596,0.0443163310584305
"LOC121110004",36.9311650093173,1.8223151509746,0.498363115830811,3.65660116707605,0.00025558156916058,0.0458566918741359
"LOC419389",346.18370861172,-1.97712963041362,0.543040159183019,-3.64085343777913,0.000271735798158667,0.0465769656522877
"SHC4",40.5941475466935,-1.34703467122399,0.369980334827423,-3.64082775332455,0.000271762910519252,0.0465769656522877
"CDKN3",132.594666599567,-1.08949036582769,0.301210027504596,-3.6170454710744,0.000297984971520731,0.0471852724468915
"EXO1",55.8401946180648,-1.19469114336473,0.332649505091971,-3.5914412168881,0.000328854356041896,0.0486187436551314
