"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GPR37L1",242.071908413262,0.814315919570434,0.179188289881996,4.54447062420597,5.50734867767792e-06,0.06425917407274
"TCF24",7.43332761449875,2.39849740370353,0.533960780039236,4.49189808196641,7.05912051771284e-06,0.06425917407274
"GSTA4",59.9806002409392,-1.76594014149822,0.405513167960459,-4.35482810676673,1.33171376046191e-05,0.078812017940866
"LOC112529954",214.038224166403,-2.93192863994656,0.690318082654382,-4.24721402150271,2.16445177251637e-05,0.078812017940866
"SMTNL1",43.3857587705484,1.66863172984153,0.388467095278201,4.2954261766921,1.74358053431907e-05,0.078812017940866
"J6367_mgt12",28.5222592313003,-2.3678626286231,0.586034840612015,-4.04048098258163,5.33416906014866e-05,0.161856469848444
"MINAR1",10.8431454547604,2.23860738071457,0.5767074717859,3.88170344625886,0.000103727322244657,0.269779946969462
"DPYS",7.67627298660905,-1.86523885510114,0.501383773988484,-3.72018192823284,0.000199079320593345,0.408129148093343
"HSPD1",2509.55199860443,-0.874457384388594,0.24503124578368,-3.56875867643667,0.00035867661043027,0.408129148093343
"KIF19",45.064471448685,1.28119124786617,0.347291099830271,3.68909899646813,0.00022504964339877,0.408129148093343
"LOC101751084",37.7878121184738,0.989350915596204,0.272204584557433,3.63458579217082,0.000278427597071357,0.408129148093343
"LOC107049267",45.5135466355899,1.61802521594912,0.453035532837879,3.57151944752233,0.000354916188317262,0.408129148093343
"LOC121107334",8.56326660028972,2.23021468481177,0.617234099085183,3.61323959275293,0.000302395040123956,0.408129148093343
"LOC121107733",196.769040596681,1.53872643936633,0.414347791407077,3.7136108150619,0.000204322934380117,0.408129148093343
"MOG",65.4732595664581,1.35433096185043,0.369677641158543,3.66354577898209,0.000248747734118321,0.408129148093343
"SLC16A13",291.022767289203,1.06872513841502,0.297263353394026,3.59521322158543,0.000324126001117045,0.408129148093343
"ABCA2",1128.40036357526,0.547875086784391,0.155803162971446,3.51645676721467,0.000437347877533971,0.422632733134067
"HIST1H2B7",41.5381497111382,-0.952226264981041,0.271492413007789,-3.50737707338335,0.000452547386197004,0.422632733134067
"PDZD7",21.4678889813414,1.27008881413003,0.360347282964505,3.52462436703079,0.000424083689955748,0.422632733134067
"PLCXD3",30.6839924501176,1.08228887289068,0.30917576212485,3.50056183399536,0.000464278516021165,0.422632733134067
"LOC107054939",13.443151412663,1.36470594655292,0.395850617783302,3.44752764109614,0.000565742514382888,0.468177646220676
"SPNS3",12.1340651826746,-1.11033043739111,0.321760255545623,-3.45080045858454,0.000558926644499793,0.468177646220676
"LOC107051263",499.692004071784,0.687908086696311,0.202781266334866,3.39236507952526,0.000692920479660037,0.510068975631881
"LOC107051737",5.57574712745712,1.9254644328558,0.567157911710588,3.39493533123512,0.000686448126156992,0.510068975631881
"LOC124417369",100.805669317875,0.515697928003662,0.152149434691886,3.38941731231528,0.000700413291815722,0.510068975631881
"LOC107054051",21.6785429235303,0.874143848077459,0.259403826748928,3.3698186300217,0.00075217673820909,0.526697295993642
"DHDH",1768.57467667562,1.46446844643974,0.438706206158831,3.33815301876432,0.000843372907634926,0.529463695048326
"INSRR",1417.2598159459,0.986651971831693,0.294350361137577,3.35196453647475,0.000802402966279075,0.529463695048326
"MYBBP1A",326.88410857195,-0.520781307660538,0.155570648118742,-3.34755504305056,0.000815277956606598,0.529463695048326
"LOC100857766",1.87610399905544,3.42045910818999,1.02930540468815,3.32307504906798,0.000890309581467085,0.540299208006325
"BPNT1",697.005827735599,-0.93738562863097,0.282974458778562,-3.31261567802665,0.000924278941539923,0.540448231870201
"LOC101747919",23.4483502920571,1.1616722762526,0.351494410045408,3.3049523493205,0.000949925487193587,0.540448231870201
"LOC121109066",125.491157300019,1.12648780196781,0.343086258741585,3.28339527820114,0.00102564743122261,0.565846579782998
"LOC112533001",13.585506481078,1.16348827087231,0.355331893378595,3.27437050417722,0.00105897663407509,0.567050841175618
"LOC121106447",26.2579769672159,4.31389271013344,1.32176351840636,3.263740185033,0.00109951943898332,0.571938597318009
"IPO5",980.488098623369,-0.449635460208279,0.139936844005424,-3.21313134795901,0.00131296230218115,0.583019309109999
"LOC107055203",12.8844061621232,1.32203491488455,0.41056672782888,3.22002448146642,0.0012817964983786,0.583019309109999
"LOC112532660",97.1972778161722,1.34564587852897,0.415650753299734,3.2374436178601,0.00120605769001907,0.583019309109999
"PTAFR",133.73596976501,-0.772036968070058,0.238205296437755,-3.2410571033285,0.00119087326167283,0.583019309109999
"SMARCA5",898.599224991857,-0.42531159420729,0.132185372489664,-3.21753902263691,0.00129295437457859,0.583019309109999
"TBCK",186.561168994376,-0.693804927619837,0.214697196933578,-3.23155093559271,0.0012312037842855,0.583019309109999
"SNORD12C",12.2896485789732,1.16307100838398,0.363260080700297,3.20175838242893,0.00136591514677493,0.592091694337725
"PARG",627.290327541487,-0.329594407535627,0.103297494866265,-3.19072992004637,0.00141913873647161,0.600856740376794
"AP4B1",732.977900596552,0.311877946491101,0.0981967135058135,3.17605279603005,0.00149293777706691,0.604009448206225
"SET",1714.40813319539,-0.529448846791121,0.166439467309986,-3.18102944781147,0.00146752711581275,0.604009448206225
"CA13",55.5773962280033,1.34619833425285,0.427721967542518,3.14736776786904,0.00164747603637796,0.641841507541514
"CDK5R1",281.850596333485,0.897788828176824,0.289554463488731,3.10058707905832,0.00193137415286799,0.641841507541514
"L3MBTL1",116.536015336422,0.919556525265141,0.294700702031617,3.12030653108688,0.00180662931291615,0.641841507541514
"LOC100859645",551.626249853814,-0.904687386355022,0.293866692506476,-3.07856388432005,0.0020800092796303,0.641841507541514
"LOC107052719",15.3421064361723,1.69483260395668,0.547002425902971,3.09840052566296,0.00194568275977058,0.641841507541514
"LOC107053028",82.2262965924905,0.813813593330609,0.261322871093871,3.11420730196354,0.00184439853296333,0.641841507541514
"LOC121107469",170.730083272555,1.10176874477785,0.352207346031223,3.12818218357145,0.00175891119280712,0.641841507541514
"LOC121110747",24.3962681529504,0.919679751537679,0.298630399969515,3.07965884126855,0.00207237830171817,0.641841507541514
"LOC121111955",238.43628890757,0.485665376094017,0.15725202910153,3.08845220547485,0.00201202054416127,0.641841507541514
"MCCC2L",299.653870458709,-0.516014576450125,0.164541736507378,-3.13607105044128,0.0017122771546086,0.641841507541514
"SRI",1603.97715708242,-0.526608659181539,0.170912733047332,-3.08115521759109,0.00206199127719415,0.641841507541514
"TMC6",2658.08909841885,0.580102212846082,0.18704111973717,3.10146888374728,0.00192563109242658,0.641841507541514
"TRIM3",3072.89004052083,0.563786517170889,0.179330409501613,3.14384224481358,0.00166745304242867,0.641841507541514
"TUBB4B",323.679519951257,-0.601347071796908,0.19418877321526,-3.09671389257045,0.00195678635446261,0.641841507541514
"ADAMTSL2L",204.098507417717,0.729698270427408,0.239774979618014,3.04326277741695,0.00234027875289665,0.710118582920607
"CRYBA2",36.9392752169886,0.748060329744742,0.246501153409473,3.03471330416905,0.00240764435440501,0.713361165216871
"CSRNP2",274.790026729139,0.558916554281761,0.18436525592604,3.03157203603469,0.00243283862602399,0.713361165216871
"LOC112531053",42.2565464590459,1.1120729681472,0.367363339116725,3.02717459728297,0.00246851331476782,0.713361165216871
"LOC121106852",8.87961366924911,-2.53519172326102,0.839549961565449,-3.01970322115652,0.00253022483612946,0.719769896352701
"AAMP",1224.99172835268,0.244638452909386,0.0953990928632065,2.56436875411567,0.0103363663008363,0.735727775537622
"ABCA7",130.331868298067,0.76967401195548,0.336195804055442,2.28936233787306,0.0220583084890163,0.735727775537622
