NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.75279313	-3.3503125	0.0	0.0	0.0	2471	tags=67%, list=14%, signal=77%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.70550853	-3.199868	0.0	0.0	0.0	3351	tags=72%, list=18%, signal=87%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	-0.6582046	-2.9402006	0.0	0.0	0.0	2172	tags=47%, list=12%, signal=53%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	-0.63256305	-2.6098754	0.0	0.0	0.0	2943	tags=46%, list=16%, signal=55%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.70529765	-2.5369232	0.0	0.0	0.0	2714	tags=58%, list=15%, signal=68%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		172	-0.5566981	-2.4675953	0.0	0.0	0.0	1794	tags=36%, list=10%, signal=40%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		91	-0.5643237	-2.3032677	0.0	0.0	0.0	4120	tags=52%, list=23%, signal=66%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.5185142	-2.278403	0.0	0.0	0.0	3194	tags=44%, list=18%, signal=53%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		133	-0.523485	-2.2688491	0.0	0.0	0.0	3293	tags=42%, list=18%, signal=51%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		171	-0.47862706	-2.158327	0.0	0.0	0.0	4894	tags=53%, list=27%, signal=71%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.4594402	-1.9963667	0.0	0.0	0.0	2244	tags=30%, list=12%, signal=33%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	-0.42288205	-1.9001094	0.0	2.6388888E-4	0.001	4904	tags=48%, list=27%, signal=65%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	-0.52085775	-1.831318	0.0	4.8717947E-4	0.002	4464	tags=55%, list=25%, signal=72%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	-0.42458892	-1.7148799	0.0	0.0026943353	0.012	1704	tags=25%, list=9%, signal=27%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		146	-0.3889427	-1.7142164	0.0	0.0025147127	0.012	4755	tags=42%, list=26%, signal=57%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		124	-0.3925513	-1.6807069	0.0	0.0041415584	0.024	2095	tags=24%, list=12%, signal=27%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		91	-0.37796775	-1.5556065	0.003322259	0.01364855	0.082	4917	tags=44%, list=27%, signal=60%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	-0.35762614	-1.4476098	0.014492754	0.03266311	0.192	2064	tags=27%, list=11%, signal=31%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		180	-0.28633335	-1.284607	0.025751073	0.11627783	0.551	3059	tags=24%, list=17%, signal=28%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		157	-0.2877807	-1.2650046	0.03862661	0.12660903	0.597	5313	tags=43%, list=29%, signal=61%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		90	-0.2943963	-1.227634	0.10958904	0.16271836	0.706	4057	tags=32%, list=22%, signal=41%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		28	-0.3736891	-1.1965609	0.18469657	0.19678971	0.775	5809	tags=54%, list=32%, signal=79%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		170	-0.26779038	-1.1918515	0.060465116	0.19583516	0.794	7094	tags=58%, list=39%, signal=94%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		60	-0.30336645	-1.159391	0.18550725	0.24247192	0.873	4790	tags=47%, list=26%, signal=63%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	-0.25803563	-1.142384	0.14522822	0.26614377	0.906	4780	tags=35%, list=26%, signal=47%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		110	-0.25263104	-1.0571434	0.3043478	0.4613861	0.995	4195	tags=29%, list=23%, signal=38%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		157	-0.23217098	-1.0187856	0.4170616	0.5621717	0.999	2839	tags=20%, list=16%, signal=24%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		142	-0.22748992	-1.0042989	0.41295546	0.592317	1.0	2620	tags=20%, list=14%, signal=23%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	-0.22649612	-0.98776966	0.50220263	0.6298636	1.0	5428	tags=43%, list=30%, signal=61%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		134	-0.21026427	-0.92622423	0.6732283	0.8280358	1.0	1421	tags=10%, list=8%, signal=10%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		154	-0.20312342	-0.89935386	0.7719298	0.89302444	1.0	4209	tags=31%, list=23%, signal=40%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		165	-0.19580236	-0.87865025	0.8558952	0.922941	1.0	4862	tags=32%, list=27%, signal=43%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		48	-0.24705558	-0.8724746	0.7005988	0.9102847	1.0	4500	tags=33%, list=25%, signal=44%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		161	-0.18586455	-0.83040386	0.9276596	0.97270197	1.0	4043	tags=24%, list=22%, signal=31%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		169	-0.17380363	-0.7651673	0.99545455	1.0	1.0	4510	tags=26%, list=25%, signal=34%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		147	-0.16332327	-0.71290284	0.9958848	1.0	1.0	4500	tags=22%, list=25%, signal=30%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.18987173	-0.6484009	0.97243106	1.0	1.0	3208	tags=16%, list=18%, signal=20%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.1919014	-0.6385209	0.96825397	0.9934574	1.0	14719	tags=100%, list=81%, signal=521%	
