NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		35	0.54154134	1.6755589	0.0059701493	0.011762686	0.036	1747	tags=26%, list=10%, signal=28%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		168	0.27258852	1.0771374	0.29948586	1.0	1.0	2204	tags=14%, list=12%, signal=16%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		156	0.2570682	1.0039514	0.4756899	1.0	1.0	6666	tags=42%, list=37%, signal=66%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		154	0.24980722	0.9815018	0.5006485	1.0	1.0	3044	tags=16%, list=17%, signal=19%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		177	0.2370841	0.94083583	0.60784316	1.0	1.0	2750	tags=15%, list=15%, signal=17%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		94	0.24688783	0.90826494	0.6509434	1.0	1.0	885	tags=7%, list=5%, signal=8%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		124	0.22455901	0.8554141	0.7962963	1.0	1.0	3815	tags=25%, list=21%, signal=31%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		60	0.23776141	0.8195266	0.7970588	1.0	1.0	4867	tags=25%, list=27%, signal=34%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		38	0.24005109	0.76233405	0.8533123	1.0	1.0	1370	tags=13%, list=8%, signal=14%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		68	0.20316346	0.70074964	0.9623734	1.0	1.0	2472	tags=12%, list=14%, signal=14%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	0.22086166	0.6652285	0.93558776	1.0	1.0	4946	tags=32%, list=27%, signal=44%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		164	0.15878849	0.6260432	1.0	0.99293673	1.0	1863	tags=8%, list=10%, signal=9%	
