"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MELTF",1778.18726126495,0.880027564811342,0.196860400372323,4.47031278584694,7.81052866668265e-06,0.141487726796956
"HESX1",166.178910736238,0.987767910803004,0.23972686321711,4.12038891906922,3.78233389587568e-05,0.342098835113423
"LOC124417815",96.7263092532431,-0.73046662870908,0.184548492575843,-3.95812839494684,7.55393508392874e-05,0.342098835113423
"VASP",712.495983742279,-0.547005570834468,0.136901025982099,-3.99562798679093,6.45229872196609e-05,0.342098835113423
"C19orf44",93.9511996749257,0.586255769630937,0.153175248114827,3.82735315820382,0.000129528609086763,0.391068458934452
"LOC428250",50.7419968100139,1.11547980039092,0.290880367919093,3.83484044788194,0.00012564582909488,0.391068458934452
"EIF5A",1693.24419537632,-0.511571703095619,0.135825373081646,-3.76639276954613,0.000165623169591084,0.428609102448927
"LOC121106730",1.39686081153976,-3.55138539736887,0.967662509992515,-3.67006612397988,0.000242487733285405,0.549083161058139
"J6367_mgt12",21.463649829147,-2.40471365687247,0.661007548466205,-3.63795188489502,0.000274814747534798,0.553141016843652
"RFLNA",127.2448229133,1.38022070053865,0.38637761873105,3.57220665387298,0.000353985898710116,0.641245455513376
"J6367_mgp09",366.00710401993,-1.67667268339381,0.490132979207115,-3.42085261454177,0.000624251525722126,0.94951089960048
"LOC770405",3.07964361264556,-2.60001206500963,0.760505187840977,-3.41879596165661,0.000628988727309178,0.94951089960048
"A1CF",1640.51607064637,0.29527502729908,0.231110500907395,1.27763570300683,0.201377905705144,0.999193376575569
"A2M",4.12274032881735,-0.211751256365958,0.551627456179564,-0.38386641925421,0.701077456663651,0.999193376575569
"A2ML1",20.2530351379395,0.308490837628732,0.342902069780953,0.899647056157452,0.368308106825328,0.999193376575569
"A2ML2",4.03034233419869,-1.15704662350872,0.795873002569875,-1.45380810728925,0.1459995151411,0.999193376575569
"A2ML3",3.45613387356337,-0.0860664600987504,0.922677970821265,-0.093278980121465,0.925681930698999,0.999193376575569
"A2ML4",46.5196655004145,-0.00318085900379755,0.278418762396276,-0.0114247293408704,0.990884583145447,0.999193376575569
"A4GALT",98.9198601377145,-0.154722947107824,0.441113046952119,-0.350755771512282,0.725771580784028,0.999193376575569
"A4GNT",2.57321889197324,0.407502541755766,0.677161293665562,0.60178061795278,0.547320178393821,0.999193376575569
"AAAS",1265.58758271063,-0.188652855816752,0.207387610058679,-0.90966309782621,0.363000211167954,0.999193376575569
"AACS",1454.33462348014,-0.196052552545897,0.223001189290606,-0.879154739800107,0.379317380911035,0.999193376575569
"AADAC",439.044034067266,1.37169438522545,0.561743534176921,2.4418516667669,0.0146121490823403,0.999193376575569
"AADACL3C",2.8177684986063,-0.9414680436896,0.807221184602966,-1.16630740328336,0.243490181029623,0.999193376575569
"AADACL4B",4.57198718594037,-0.351011974798309,0.931971253857895,-0.376633907264087,0.706445685912351,0.999193376575569
"AADAT",57.0744845310765,-0.282341270213573,0.379700885936972,-0.743588652728189,0.457125370185809,0.999193376575569
"AAED1",225.5756625364,0.0819447703770173,0.176676721789441,0.463811924667004,0.642782499088503,0.999193376575569
"AAGAB",840.512159260647,-0.0365497111006256,0.104746403542183,-0.34893523657742,0.727137930804645,0.999193376575569
"AAK1",1150.05664860591,0.137800911269851,0.149183989893831,0.923697719627414,0.355643719721595,0.999193376575569
"AAMDC",161.901823224429,0.063782531683491,0.243709237013287,0.261715692294477,0.793540641409761,0.999193376575569
"AAMP",1170.60229933034,0.0817569085312383,0.081725976621649,1.00037848320532,0.31712737881429,0.999193376575569
"AANAT",4.96657158274281,0.111165243923579,0.623235695690346,0.178367902692807,0.858434055009283,0.999193376575569
"AAR2",345.991081490806,0.00913166265285932,0.155150245137823,0.0588569012233754,0.953066086347677,0.999193376575569
"AARS1",2815.00980209278,-0.111966014230161,0.130699993499613,-0.856664267779725,0.391630456422747,0.999193376575569
"AARS2",398.967279892439,0.024581183719277,0.0912136975203749,0.269490047958928,0.787552599615286,0.999193376575569
"AARSD1",1847.27222974094,-0.0300923886363645,0.184916715402345,-0.162734821299897,0.870727228998048,0.999193376575569
"AASDH",83.4854468143531,0.449697008829659,0.262045176158438,1.71610489237841,0.086142845968798,0.999193376575569
"AASDHPPT",52.3643131110637,-0.0749774881374539,0.171071517233978,-0.438281540666443,0.661182205509677,0.999193376575569
"AASS",76.0533063127117,-0.0444915977432977,0.424978147828123,-0.104691495246696,0.916620610685955,0.999193376575569
"AATF",162.688463442905,0.25879753316749,0.198405161276958,1.30438911720764,0.192100943853014,0.999193376575569
"AATK",40.6797154160438,0.413171688302133,0.448207921083151,0.921830402514199,0.356617046478965,0.999193376575569
"ABAT",434.921413659825,0.476251635751383,0.276284471629912,1.72377272215766,0.0847488808073249,0.999193376575569
"ABCA1",413.175435465541,0.288741626816901,0.184319841021268,1.56652493414197,0.117225775961083,0.999193376575569
"ABCA12",1.58522101174854,0.625081594086143,0.922410714452699,0.677660812360607,0.497986778598722,0.999193376575569
"ABCA13",2.08620649665895,-1.31795549861083,1.02610316545667,-1.28442786552,0.198992288113013,0.999193376575569
"ABCA2",1081.58298146575,0.145024036783747,0.152891478961421,0.948542310983469,0.3428534436308,0.999193376575569
"ABCA3",4396.29014030534,0.157945613518082,0.199562816836587,0.791458128431894,0.428676700878177,0.999193376575569
"ABCA4",7.95290990779642,-0.209114439981385,0.638057762352256,-0.327735907812587,0.743111351029963,0.999193376575569
"ABCA5",452.742808445667,0.207646329121251,0.173370966243008,1.197699555012,0.231034002633252,0.999193376575569
"ABCA7",119.73070247017,-0.549624822298599,0.254676236198506,-2.15813155755214,0.0309176048204116,0.999193376575569
"ABCA8",34.0035226152245,-0.499546665175015,0.765556408542377,-0.652527572888005,0.514060891431062,0.999193376575569
"ABCA9",145.950222494331,0.448031698580438,0.436604025633831,1.02617399812111,0.304809575320984,0.999193376575569
"ABCB1",5783.5586805825,0.234767716406098,0.188139132694038,1.24784096240036,0.212089304424028,0.999193376575569
"ABCB10",507.27202832747,0.107974160810684,0.145926032118548,0.739923913801529,0.459346163103778,0.999193376575569
"ABCB11",29.084981419852,0.140186667099628,0.305659764562915,0.45863631184854,0.64649535614448,0.999193376575569
"ABCB1LA",34.4979781045186,0.192706232853978,0.331359503563595,0.581562414180144,0.560861466029985,0.999193376575569
"ABCB5",404.760444587751,0.112770976426887,0.422641430393085,0.266824235196258,0.789604493543328,0.999193376575569
"ABCB6",1022.34956901389,-0.0162370750962423,0.234845022798261,-0.0691395325426609,0.944878553882316,0.999193376575569
"ABCB7",625.134475916489,0.198811543572618,0.160469141125674,1.23893941338488,0.215367936150053,0.999193376575569
"ABCB8",1231.77394732787,-0.186812857732805,0.17480025830653,-1.06872186312912,0.285195016939488,0.999193376575569
"ABCB9",712.589720430596,0.366964173841713,0.249071064735157,1.47333121264774,0.140661748340521,0.999193376575569
"ABCC1",554.430650046458,0.0463840161715867,0.216052263032219,0.214688869816048,0.830009900851401,0.999193376575569
"ABCC10",2891.08261081076,-0.115618638298672,0.233234419634533,-0.495718592821081,0.620092967323298,0.999193376575569
"ABCC13",151.125848266698,0.27824663189938,0.129687064338635,2.14552340527063,0.0319110221311407,0.999193376575569
"ABCC2",1691.88525601822,0.480517944998505,0.239386137038527,2.00729228076048,0.0447185506063485,0.999193376575569
"ABCC3",673.174554896278,0.0307277339081584,0.172687667636555,0.177938206756195,0.858771504964625,0.999193376575569
"ABCC4",419.395170900014,0.0383918244890438,0.137167271529621,0.279890560342255,0.779561469657346,0.999193376575569
"ABCC5",1441.8692498823,0.329749260432161,0.213413917437684,1.54511600926143,0.122318205289604,0.999193376575569
"ABCC6",248.132903477904,0.280107673729732,0.271573371072721,1.03142540309935,0.302341373301569,0.999193376575569
"ABCC8",10.5855056717858,-0.0782659473469658,0.487611858226998,-0.160508703852175,0.872480365836431,0.999193376575569
"ABCC9",108.258401171377,-0.313728919117039,0.568308105148258,-0.552040198397655,0.5809208123561,0.999193376575569
"ABCD2",993.805319622199,1.17423570638146,0.387776846222132,3.02812227656526,0.00246078494796938,0.999193376575569
"ABCD3",2787.63161185533,0.262606763729122,0.258347312051144,1.01648730789634,0.309397388440617,0.999193376575569
"ABCD4",631.229641268558,0.495252902909732,0.271997750577571,1.82079778916587,0.068637600506518,0.999193376575569
"ABCE1",1179.86619363117,-0.0535192338294079,0.106123925523293,-0.504308840494793,0.614044366046831,0.999193376575569
"ABCF2",804.418405534284,-0.0856727774571944,0.148676025882334,-0.576238011130308,0.564454315945424,0.999193376575569
"ABCF3",2237.88646912384,0.226195337291292,0.120104387848652,1.88332284392748,0.0596566294402256,0.999193376575569
"ABCG1",75.9961701083755,0.0917647446873668,0.336435617330809,0.272755736789713,0.785040986708903,0.999193376575569
"ABCG2",1106.20596183659,0.244719175450021,0.233796063664123,1.04672068303764,0.295228421571736,0.999193376575569
"ABCG4",7.5106587692705,0.912077309339843,0.571330412205532,1.59640952040153,0.11039739196099,0.999193376575569
"ABCG5",945.316225950648,0.209988470030152,0.308935434305275,0.679716363719713,0.496684072694695,0.999193376575569
"ABCG8",806.011322646264,0.135822709100304,0.259408622228993,0.523585946886557,0.600566557973652,0.999193376575569
"ABHD1",1463.49159569622,-0.26010850788262,0.215739560071549,-1.20565976771416,0.22794870374724,0.999193376575569
"ABHD10",93.0938935504882,0.110760288556086,0.190613577671837,0.58107239740693,0.561191661000309,0.999193376575569
"ABHD11",254.63283823881,-0.209050594512337,0.182597144355678,-1.14487329607484,0.252261647327222,0.999193376575569
"ABHD12",1309.92925393558,0.0807216963927423,0.146479189140986,0.551079623434067,0.581579093084025,0.999193376575569
"ABHD12B",178.966682458055,0.00687771307514033,0.22795967293265,0.0301707446175023,0.975930880318784,0.999193376575569
"ABHD13",612.275583801567,-0.0120540800104899,0.100954246352937,-0.119401416443135,0.904957339164853,0.999193376575569
"ABHD14A",483.555359110711,-0.129043772404654,0.184755019961259,-0.698458815526167,0.48489030525628,0.999193376575569
"ABHD17A",917.344414907627,-0.164461830645782,0.111668628879131,-1.47276663371407,0.140813972215816,0.999193376575569
"ABHD17B",235.381610648703,-0.133564201547783,0.132831658107864,-1.00551482568503,0.314649014221245,0.999193376575569
"ABHD17C",1975.54306663965,-0.154165746375415,0.232230457633316,-0.663848092737419,0.506787541279675,0.999193376575569
"ABHD18",65.5589016539499,0.389660817097467,0.37801798196962,1.03079968594929,0.30263476557791,0.999193376575569
"ABHD2",3950.36810676691,0.253766610198215,0.321523449573911,0.789263148720603,0.429958220278976,0.999193376575569
"ABHD3",861.3165716814,0.51499741354836,0.408472753822591,1.26078767489113,0.207385355556683,0.999193376575569
"ABHD4",951.131481289886,0.0753490369477457,0.260642401312027,0.289089712834337,0.772512725641324,0.999193376575569
"ABHD6",5026.52361760985,0.404863323377057,0.238574874750565,1.6970073810176,0.0896952650924128,0.999193376575569
"ABHD8",28.5078249915316,-0.066408062129348,0.341637958226052,-0.194381392729808,0.845877258499689,0.999193376575569
"ABI1",1886.47390195434,0.0637462466610164,0.150932268468022,0.422350020363752,0.672769552782438,0.999193376575569
"ABI3",983.402780278462,-0.155379891616163,0.177423583808231,-0.875756696382063,0.381162315952061,0.999193376575569
"ABI3BP",77.2238956982061,-0.540603638534944,0.671366073589918,-0.80522930752851,0.420687367112906,0.999193376575569
"ABL1",1012.44046540833,0.0356528420223624,0.192899807805544,0.184825700076917,0.853365749385103,0.999193376575569
"ABL2",193.931608801971,0.404624944714618,0.224721886472324,1.80055868641193,0.0717724658112025,0.999193376575569
"ABLIM1",369.645121987006,0.14098881054507,0.157479157957413,0.895285524597469,0.370634476313656,0.999193376575569
"ABLIM2",179.643686234701,0.0356182975561015,0.22948848051399,0.15520734407377,0.876657858717066,0.999193376575569
"ABLIM3",36.3272634795292,0.226049190240128,0.447778070287037,0.504824164558182,0.613682341900041,0.999193376575569
"ABR",2026.9208496646,-0.0681525267871959,0.145577339839367,-0.468153401225745,0.639674893188667,0.999193376575569
"ABRA",3.40467514963506,-0.188308512954955,0.576266539631311,-0.326773289796477,0.743839363006572,0.999193376575569
"ABRACL",1031.92125618093,-0.163371435385059,0.144107790001519,-1.13367525366489,0.256930793607263,0.999193376575569
"ABTB1",572.12909431592,0.134032150379705,0.11312432067122,1.18482170398398,0.236087949322535,0.999193376575569
"ABTB2",334.661388166746,-0.305007873229413,0.305660452398327,-0.997865019292507,0.318344816456401,0.999193376575569
"ACAA1",1467.63190634675,0.142550637630772,0.232388164855197,0.613416082181277,0.539601254929811,0.999193376575569
"ACAA2",2223.69327512898,0.107527125872182,0.226150192892912,0.475467761033922,0.634453606752991,0.999193376575569
"ACACA",1540.69381813257,-0.0149016389841287,0.137052800787128,-0.108729182465042,0.91341729480875,0.999193376575569
"ACACB",16.4574763084968,0.192911414022861,0.503915346044621,0.382825043009861,0.701849491800641,0.999193376575569
"ACAD11",686.895820601966,0.388106469350436,0.327776275402308,1.18405906246289,0.236389683746337,0.999193376575569
"ACAD8",281.894331712922,-0.144008710895392,0.204760097785446,-0.703304562035757,0.481865968266363,0.999193376575569
"ACAD9",1859.04078695363,0.313530609839542,0.236433192574148,1.32608542153495,0.184811404442785,0.999193376575569
