"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC121106978",29637.3803191178,-0.606967783645059,0.119014595618061,-5.09994409083175,3.39753824011885e-07,0.000544965133715063
"LOC121107015",2622.67769913529,-0.460913420595632,0.103018445528116,-4.47408634670029,7.67387290468405e-06,0.00615444606955661
"AOC1",4029.27575341055,1.41372126758676,0.364409617380467,3.87948396573393,0.000104678300793813,0.0320114382055117
"NME2",5886.32642508063,-0.437519815734117,0.114578815870938,-3.81850530055172,0.000134262700142639,0.0320114382055117
"RPL39L",4385.09253133667,-0.387659337074922,0.100438534713681,-3.85966738941401,0.000113541460842761,0.0320114382055117
"RPS14",7794.31328115144,-0.422806031129487,0.111010664735013,-3.80869740883674,0.000139700790173679,0.0320114382055117
"RPS25",6904.29704263491,-0.375870718512334,0.0971578418074302,-3.86866064045886,0.000109434827643506,0.0320114382055117
"TOMM5",2368.54067127605,-0.396651197695127,0.106731860924092,-3.71633356957233,0.000202134683059449,0.0405280039534196
"RPL29",3143.03238948783,-0.390620667529982,0.106053120731943,-3.68325481451229,0.000230274766615547,0.0410400806279264
"RPL10A",2865.44020790653,-0.391825266658245,0.107712439542639,-3.63769745000657,0.000275086291691513,0.0441238411873187
"RPL18A",6134.30002471623,-0.392715583101863,0.110338445663991,-3.55919082182637,0.00037199917998624,0.0517164967636103
"RPL24",4634.71245992734,-0.33021163485935,0.0933110299153553,-3.53882745864977,0.00040190845647066,0.0517164967636103
"RPS2",11392.8004424963,-0.457770531675129,0.129763697018129,-3.52772418013934,0.000419148664542976,0.0517164967636103
"RPS3A",13169.4620891983,-0.398984367795167,0.116357128234107,-3.42896369006652,0.000605890580068696,0.0569945173335671
"RPS4Y1",9275.56298771734,-0.38847729659666,0.113781304131423,-3.41424542074109,0.00063958934663604,0.0569945173335671
"RPS8",13228.9718526715,-0.407679131545616,0.119310842910293,-3.41694955463636,0.000633270126833104,0.0569945173335671
"TRANK1",4158.68755832289,0.835479431445663,0.240037859668826,3.48061523543975,0.000500263573993498,0.0569945173335671
"UBA52",7744.17553208381,-0.34846881745956,0.100706895141483,-3.46022799104268,0.000539718208533013,0.0569945173335671
"RPL5",7317.2145919564,-0.397983868087664,0.117518339846098,-3.38656816126625,0.000707726932201839,0.0573630872342108
"__alignment_not_unique",1469043.73927389,-0.319665435771298,0.0944731155044991,-3.38366564989671,0.000715250464266967,0.0573630872342108
"MAFB",4171.81230535139,0.770711303750892,0.229737793135167,3.35474321935983,0.000794386857294893,0.0606760247190956
"RPL7A",9499.30291194474,-0.373279207150746,0.112163512413691,-3.32799142179131,0.000874745599222808,0.0637769064160629
"RPL37",5384.59809483831,-0.298130646339341,0.0909900478829993,-3.27651928178669,0.00105095136417227,0.0690497719132292
"RPS23",9645.77423714527,-0.409746797058688,0.124961674041408,-3.27897973680244,0.00104183116393346,0.0690497719132292
"RPS29",4187.41429087075,-0.411196712790934,0.125755685890996,-3.26980613144885,0.00107621215575482,0.0690497719132292
"RPL23A",5125.86227784656,-0.35239840950197,0.109330041800471,-3.22325322206591,0.00126743455756635,0.073404979059965
"RPS11",7498.04634050389,-0.363138374161343,0.112771801216026,-3.22011682216296,0.00128138367436348,0.073404979059965
"RPS3",9131.27362606268,-0.368248088184526,0.11417609734768,-3.22526427806659,0.00125856430541311,0.073404979059965
"OST4",1922.63173517205,-0.294733020603952,0.0926012278254,-3.18281979111198,0.00145848357850953,0.0754647632235252
"RPL14",4813.60782223106,-0.329498195324836,0.103490588320359,-3.18384696301911,0.00145331825395591,0.0754647632235252
"RPL3",10428.9549666733,-0.412625376987403,0.129081637437791,-3.19662335540376,0.0013904635809441,0.0754647632235252
"ITGB1BP3",6111.9476780109,-0.425929129064684,0.134935472995666,-3.15653934142556,0.00159653348744659,0.0767663104582519
"RPL31",5792.88470011502,-0.320985739994376,0.101768520251885,-3.15407691101246,0.00161006647650224,0.0767663104582519
"RPL9",7726.26005430895,-0.291465422277853,0.0924998209362974,-3.15098363788811,0.00162721605709512,0.0767663104582519
"RPL6",8771.34807464404,-0.354159846891964,0.113522062963477,-3.11974463506629,0.00181007886971523,0.0829533287720924
"CALB1",46450.5287512283,1.23777836412792,0.398839673600349,3.10344844321634,0.00191279559222925,0.0848393466009068
"MELTF",2378.53270476547,0.634954855063611,0.205043814977221,3.09667889828401,0.00195701734677902,0.0848393466009068
"RIN2",1914.94476696837,0.359062996103178,0.116285987559302,3.08775806646581,0.00201672581998563,0.0849008462135581
"RPL38",2735.59908342956,-0.372855345083759,0.121024615118153,-3.08082239897851,0.00206429738299798,0.0849008462135581
"FUT9",2758.8543561413,0.538471896539329,0.177665866596146,3.03081231558864,0.0024389680229992,0.0869356601975715
"LOC107051395",4257.21889345243,0.877777448913237,0.288640515538562,3.04107497617038,0.00235735121697287,0.0869356601975715
"LOC112533601",9192.01275300654,-0.52135157444611,0.170842096983144,-3.0516575460763,0.00227581582649444,0.0869356601975715
"RPL4",14734.7785053338,-0.421872862250552,0.139123861946155,-3.03235445270941,0.00242654085522419,0.0869356601975715
"RPL7",7433.38332270769,-0.393103628804721,0.128632042042239,-3.05603193857124,0.00224287363140962,0.0869356601975715
"TMEM258",2065.92578728005,-0.268278984809853,0.0883111725513036,-3.0378827169801,0.00238246659857492,0.0869356601975715
"CNPY3",3079.97815902661,-0.297253546688026,0.099106187438332,-2.9993439801424,0.00270561654962434,0.0893061692327818
"NPM1",4123.52151127524,-0.514676941544336,0.171741432854406,-2.99681290059257,0.00272818098030319,0.0893061692327818
"RPL13",9946.85019780498,-0.374737370866455,0.124331315369387,-3.01402241063013,0.00257808761368609,0.0893061692327818
"RPLP2",6656.45058219357,-0.287243995215429,0.095720165305585,-3.00087232714661,0.00269207412936726,0.0893061692327818
"OAF",2438.18111573296,0.411230474924497,0.138316901462268,2.97310358009053,0.00294804946600386,0.0937334256703063
"RPL19",11437.4969069891,-0.323290202404762,0.108860631022366,-2.96976234078911,0.00298030218777158,0.0937334256703063
"RPL37A",6133.66586103616,-0.30772337007011,0.104174790433274,-2.95391398235846,0.00313771449829123,0.0967864241395986
"ETNK1",4471.28788621281,0.565598287490079,0.192139355604009,2.94368785464105,0.00324326927348298,0.0969770675232155
"RPL21",6960.68557059883,-0.291930500682641,0.0992407993791902,-2.94163794033138,0.00326481399392371,0.0969770675232155
"NACA",3070.95639493903,-0.323307767152506,0.110446765557915,-2.92727238791771,0.00341949252372,0.0997248365099433
"C1QBP",2022.35540619342,-0.484435884211943,0.167939101044797,-2.88459257670267,0.00391920507601747,0.112257231105929
"FGFR4",1910.86999335048,0.249787619355045,0.0883871728703062,2.82606187349795,0.00471241605364709,0.12266759605511
"HNF4A",2691.23467430055,0.304708368282669,0.107667218837475,2.83009416954134,0.00465343053477387,0.12266759605511
"NCL",4442.59796268905,-0.410686357093001,0.145485213730659,-2.82287351794606,0.00475953443949882,0.12266759605511
"RPL12",8405.5182017126,-0.253208081148783,0.0892459553430193,-2.83719391176408,0.00455119616787085,0.12266759605511
"RPLP0",14443.462400496,-0.370474670419235,0.131658859699956,-2.81389851973143,0.00489446767302183,0.12266759605511
"RPLP1",9269.19742500293,-0.356773254925763,0.125494585029589,-2.84293744500326,0.00446998427684741,0.12266759605511
"RPS26",8965.27776517025,-0.277824219930252,0.0977740623813534,-2.84149203954153,0.00449029729767401,0.12266759605511
"SLC30A10",12682.1433378783,0.623863886948903,0.221636239738123,2.81480992316978,0.00488060916008345,0.12266759605511
"RPL26L1",2039.4478599756,-0.374715090215373,0.133632089345333,-2.80408015807513,0.00504603581723352,0.12452063770527
"MANF",3627.47875468737,-0.331284946747352,0.118769047635077,-2.78932056241825,0.00528187562997932,0.126449679260997
"NUDT16L1",2638.27716036765,-0.369609366415174,0.132427954720779,-2.79102223691733,0.00525418624043283,0.126449679260997
"CCT7",1981.05607492213,-0.377511413618966,0.136332002524299,-2.7690594037279,0.00562183840932304,0.127805531203963
"RPL8",9352.14855009159,-0.349195682220472,0.125980839240381,-2.77181581203932,0.00557445688996101,0.127805531203963
"RPS10",10091.7013063934,-0.305766531554509,0.110504138589203,-2.76701429881453,0.00565722737872904,0.127805531203963
"RPS15",8210.83273932377,-0.338648672733752,0.122172896647663,-2.77188052363518,0.0055733488663184,0.127805531203963
"RPS6",15119.9175995205,-0.370805451824561,0.134681488073843,-2.75320281300468,0.00590153238221392,0.131473026959321
"EDEM1",2191.78326295401,0.36604878732965,0.133497678798837,2.74198615753639,0.00610689151218329,0.133030814169347
"RPS15A",5951.41500281983,-0.308336459462367,0.112517078359605,-2.74035252210267,0.00613733182576787,0.133030814169347
