NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		172	-0.77766275	-3.05636	0.0	0.0	0.0	2527	tags=62%, list=14%, signal=72%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		173	-0.6619658	-2.6317444	0.0	0.0	0.0	3969	tags=65%, list=22%, signal=83%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		50	-0.78618395	-2.5499623	0.0	0.0	0.0	2294	tags=66%, list=13%, signal=75%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		168	-0.6336184	-2.485587	0.0	0.0	0.0	3269	tags=54%, list=18%, signal=66%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		132	-0.49260303	-1.8791535	0.0	1.905242E-4	0.002	2603	tags=34%, list=14%, signal=40%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		165	-0.43418056	-1.6941136	0.0	0.0028954912	0.034	4522	tags=45%, list=25%, signal=59%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		87	-0.4607707	-1.6238055	0.0017123288	0.0049784523	0.065	3760	tags=43%, list=21%, signal=53%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	-0.3753966	-1.3787595	0.020442931	0.05597568	0.569	3215	tags=32%, list=18%, signal=39%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		170	-0.33956018	-1.3524927	0.02728732	0.06407005	0.668	3940	tags=35%, list=22%, signal=44%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		124	-0.35109696	-1.3370174	0.048442908	0.06636028	0.715	2450	tags=24%, list=14%, signal=28%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		140	-0.32821867	-1.2716917	0.07540395	0.105483174	0.893	3738	tags=26%, list=21%, signal=33%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		37	-0.36843947	-1.142329	0.25765765	0.24872257	0.996	2382	tags=32%, list=13%, signal=37%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		174	-0.28005806	-1.106561	0.22377622	0.28743988	0.999	944	tags=11%, list=5%, signal=11%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		30	-0.35343674	-1.0406239	0.4157088	0.3925017	1.0	2603	tags=23%, list=14%, signal=27%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		42	-0.30436996	-0.9537697	0.54428047	0.5599224	1.0	4862	tags=36%, list=27%, signal=49%	
